"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1358","ActionBarSherlock","com.actionbarsherlock.ActionBarSherlock","L336","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\ActionBarSherlock.java","42","1","800","2","0.115884","1","8","2","0.0289855","0.0840336","22","20","16","4","3","92","15","14","176","11","57","0.952381","0.678125","434","429","40","2","0.652047","446","0","0","2","2","0","206","726","8","3","8","3","46","2","41","12","46","117","2","41","12","238","759","10","3","10","3","56","2","49","12","56","117","2","49","12","0","0","74","0","0","0","0","0","14","0","1","1","0","1","0","39","0","5","0","0","0","0","0","13","0","0","0","0","0"
"L133","ActionBar","com.actionbarsherlock.app.ActionBar","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\ActionBar.java","59","1","956","2","0","0","0","0","0","0","0","0","0","0","0","51","4","57","43","0","51","1","0.893654","521","521","52","0","0.835928","698","0","0","2","2","0","62","637","8","12","8","12","51","8","51","25","51","1","8","51","25","137","898","11","18","11","18","79","10","79","35","79","13","10","79","35","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","30","0","0","0","0","0"
"L376","SherlockActivity","com.actionbarsherlock.app.SherlockActivity","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\SherlockActivity.java","21","1","276","2","0","0","0","0","0","0","0","0","6","1","1","50","12","58","66","33","75","0.176471","0.0886699","18","18","6","28","0.0886699","18","1","5","25","28","5","185","256","1","3","1","3","42","0","33","8","42","65","0","33","8","185","256","1","3","1","3","42","0","33","8","42","65","0","33","8","0","0","85","0","0","0","0","0","0","0","1","0","0","2","0","75","0","2","0","0","0","0","0","5","0","0","0","0","0"
"L1542","SherlockDialogFragment","com.actionbarsherlock.app.SherlockDialogFragment","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\SherlockDialogFragment.java","15","1","68","2","0","0","0","0","0","0","0","0","3","1","1","10","9","3","0","3","12","0","0.0681818","3","0","0","10","0.0681818","3","1","3","3","3","3","41","54","1","1","1","1","9","0","9","0","9","11","0","9","0","41","54","1","1","1","1","9","0","9","0","9","11","0","9","0","0","0","19","0","0","0","0","0","0","0","1","0","0","0","0","17","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L5006","SherlockExpandableListActivity","com.actionbarsherlock.app.SherlockExpandableListActivity","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\SherlockExpandableListActivity.java","21","1","265","2","0","0","0","0","0","0","0","0","6","1","1","48","12","0","0","31","71","0.176471","0.0932643","18","18","6","28","0.0932643","18","1","5","0","0","5","175","245","1","3","1","3","40","0","33","8","40","61","0","33","8","175","245","1","3","1","3","40","0","33","8","40","61","0","33","8","0","0","80","0","0","0","0","0","0","0","1","0","0","2","0","71","0","1","0","0","0","0","0","5","0","0","0","0","0"
"L1618","SherlockFragment","com.actionbarsherlock.app.SherlockFragment","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\SherlockFragment.java","15","1","68","2","0","0","0","0","0","0","0","0","3","1","1","10","9","14","1","3","12","0","0.0681818","3","0","0","10","0.0681818","3","1","3","14","14","3","41","54","1","1","1","1","9","0","9","0","9","11","0","9","0","41","54","1","1","1","1","9","0","9","0","9","11","0","9","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","17","0","2","0","0","0","0","0","0","0","0","0","0","0"
"L1505","SherlockFragmentActivity","com.actionbarsherlock.app.SherlockFragmentActivity","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\SherlockFragmentActivity.java","21","1","308","2","0","0","0","0","0","0","0","0","9","2","2","62","10","29","36","33","75","0.205882","0.0840708","19","19","7","27","0.0840708","19","2","6","25","25","3","207","288","7","3","5","3","42","0","33","8","45","92","0","36","8","207","288","7","3","5","3","42","0","33","8","45","92","0","36","8","0","0","85","0","0","0","0","0","0","0","1","0","0","1","0","75","0","3","0","0","0","0","0","5","0","0","0","0","0"
"L982","SherlockListActivity","com.actionbarsherlock.app.SherlockListActivity","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\SherlockListActivity.java","21","1","276","2","0","0","0","0","0","0","0","0","6","1","1","50","12","3","1","33","75","0.176471","0.0886699","18","18","6","28","0.0886699","18","1","5","3","3","5","185","256","1","3","1","3","42","0","33","8","42","65","0","33","8","185","256","1","3","1","3","42","0","33","8","42","65","0","33","8","0","0","84","0","0","0","0","0","0","0","1","0","0","2","0","75","0","1","0","0","0","0","0","5","0","0","0","0","0"
"L1913","SherlockListFragment","com.actionbarsherlock.app.SherlockListFragment","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\SherlockListFragment.java","15","1","68","2","0","0","0","0","0","0","0","0","3","1","1","10","9","8","1","3","12","0","0.0681818","3","0","0","10","0.0681818","3","1","3","8","8","3","41","54","1","1","1","1","9","0","9","0","9","11","0","9","0","41","54","1","1","1","1","9","0","9","0","9","11","0","9","0","0","0","19","0","0","0","0","0","0","0","1","0","0","0","0","17","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L935","SherlockPreferenceActivity","com.actionbarsherlock.app.SherlockPreferenceActivity","L4503","L103","D:\PR_assignment_src\ActionBarSherlock\actionbarsherlock\src\com\actionbarsherlock\app\SherlockPreferenceActivity.java","21","1","276","2","0","0","0","0","0","0","0","0","6","1","1","50","12","1","1","33","75","0.176471","0.0886699","18","18","6","28","0.0886699","18","1","5","1","1","5","185","256","1","3","1","3","42","0","33","8","42","65","0","33","8","185","256","1","3","1","3","42","0","33","8","42","65","0","33","8","0","0","84","0","0","0","0","0","0","0","1","0","0","2","0","75","0","1","0","0","0","0","0","5","0","0","0","0","0"
