"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L83142","Application","activiti.Application","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-actuator\src\main\java\activiti\Application.java","22","1","42","2","0","0","0","0","0","0","0","0","2","0","0","2","2","1","0","0","2","0.5","0.352941","6","6","1","1","0.25","6","0","0","0","0","0","11","13","0","0","0","0","2","0","1","0","2","2","0","1","0","18","21","0","0","0","0","3","0","2","0","3","10","0","2","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94169","Application","activiti.Application","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-basic\src\main\java\activiti\Application.java","14","1","32","2","0","0","0","0","0","0","0","0","2","0","0","2","1","0","0","0","2","0.666667","0.266667","4","4","2","1","0.210526","4","0","0","0","0","0","11","15","0","0","0","0","2","0","1","0","2","2","0","1","0","15","19","0","0","0","0","3","0","2","0","3","3","0","2","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94182","Application","activiti.Application","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-custom-mybatis-mapper\src\main\java\activiti\Application.java","19","1","65","2","0","0","0","0","0","0","0","0","3","0","0","3","1","2","0","0","3","0.666667","0.15","3","3","2","1","0.0714286","3","0","0","0","0","0","17","23","1","0","1","0","3","0","1","0","3","3","0","1","0","39","47","2","1","1","0","7","0","5","0","9","9","0","7","0","0","0","30","0","0","0","0","0","0","0","1","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94217","Application","activiti.Application","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-integration\src\main\java\activiti\Application.java","21","1","93","2","0","0","0","0","0","0","0","0","6","0","0","6","6","0","0","2","8","0.333333","0.0294118","1","0","1","2","0.0175439","1","0","0","0","0","0","33","42","0","0","0","0","6","0","1","0","6","6","0","1","0","56","73","1","1","1","1","10","0","5","0","10","12","0","5","0","0","0","33","0","0","0","0","0","0","0","1","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94253","Application","activiti.Application","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-jpa\src\main\java\activiti\Application.java","22","1","39","2","0","0","0","0","0","0","0","0","2","0","0","2","1","0","0","0","2","0.333333","0","0","0","1","2","0","0","0","0","0","0","0","11","14","0","0","0","0","2","0","1","0","2","2","0","1","0","15","18","0","0","0","0","3","0","2","0","3","3","0","2","0","0","0","13","0","0","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94257","PhotoService","activiti.PhotoService","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-jpa\src\main\java\activiti\Application.java","41","1","85","2","0","0","0","0","0","0","0","0","2","1","1","5","11","2","1","14","17","0","0","0","0","0","4","0","0","0","0","0","0","0","35","45","3","0","3","0","3","0","3","0","3","19","0","3","0","35","45","3","0","3","0","3","0","3","0","3","19","0","3","0","0","0","12","0","0","0","0","0","0","0","1","0","0","2","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94286","Photo","activiti.Photo","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-jpa\src\main\java\activiti\Application.java","90","1","113","2","0","0","0","0","0","0","0","0","0","0","0","4","0","2","1","0","4","0","0","0","0","0","3","0","0","0","0","0","0","0","18","24","2","2","2","2","4","0","2","0","4","3","0","2","0","18","24","2","2","2","2","4","0","2","0","4","3","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94304","Application","activiti.Application","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-rest-api-security\src\main\java\activiti\Application.java","16","1","66","2","0.624242","1","1","1","0.45098","0.418605","23","18","2","0","0","2","1","0","0","0","2","0.333333","0","0","0","1","2","0.0227273","1","0","0","0","0","0","13","16","0","0","0","0","2","0","1","0","2","2","0","1","0","43","51","0","0","0","0","4","0","2","0","4","19","0","2","0","0","0","42","0","0","0","0","0","24","0","1","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94319","Application","activiti.Application","L94130","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-rest-api\src\main\java\activiti\Application.java","15","1","52","2","0.780303","1","1","1","0.605263","0.6","23","18","2","0","0","2","1","0","0","0","2","0.666667","0.214286","3","3","2","1","0.117647","4","0","0","0","0","0","11","14","0","0","0","0","2","0","1","0","2","2","0","1","0","30","38","0","0","0","0","3","0","2","0","3","18","0","2","0","0","0","37","0","0","0","0","0","24","0","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94342","MyUnitTest","$.MyUnitTest","L94330","L103","D:\PR_assignment_src\Activiti\tooling\archetypes\activiti-archetype-unittest\src\main\resources\archetype-resources\src\test\java\MyUnitTest.java","11","1","26","2","0","0","0","0","0","0","0","0","1","0","0","1","8","0","0","6","7","0","0","0","0","0","2","0","0","0","0","0","0","0","12","16","1","0","1","0","1","1","1","0","1","4","1","1","0","12","16","1","0","1","0","1","1","1","0","1","4","1","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L94228","Application$AnalysingService","activiti.Application$AnalysingService","L94217","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-integration\src\main\java\activiti\Application.java","43","5","55","6","0","0","0","0","0","0","0","0","1","0","0","2","0","2","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","10","13","1","1","1","1","2","0","2","0","2","2","0","2","0","10","13","1","1","1","1","2","0","2","0","2","2","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L94306","Application$ApiWebSecurityConfigurationAdapter","activiti.Application$ApiWebSecurityConfigurationAdapter","L94304","L103","D:\PR_assignment_src\Activiti\modules\activiti-spring-boot\spring-boot-samples\spring-boot-sample-rest-api-security\src\main\java\activiti\Application.java","21","5","31","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","11","11","0","0","0","0","1","0","0","0","1","1","0","0","0","11","11","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4244","BpmnAutoLayout","org.activiti.bpmn.BpmnAutoLayout","L106","L103","D:\PR_assignment_src\Activiti\modules\activiti-bpmn-layout\src\main\java\org\activiti\bpmn\BpmnAutoLayout.java","58","1","617","2","0.17362","1","6","2","0.125","0.136364","70","54","1","6","4","90","19","6","5","27","65","0.133333","0.121622","54","20","2","13","0.127753","58","0","0","0","0","0","390","552","21","6","21","6","38","0","14","6","38","245","0","14","6","396","560","21","6","21","6","39","0","15","6","39","247","0","15","6","0","0","104","0","0","0","0","0","17","0","0","6","0","2","0","72","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L4486","BPMNLayout","org.activiti.bpmn.BPMNLayout","L106","L103","D:\PR_assignment_src\Activiti\modules\activiti-bpmn-layout\src\main\java\org\activiti\bpmn\BPMNLayout.java","19","1","731","2","0","0","0","0","0","0","0","0","1","9","9","103","4","0","0","2","38","0.863636","0.266791","143","137","19","3","0.30303","180","0","0","0","0","0","393","654","8","3","8","3","36","0","21","8","36","247","0","21","8","414","713","25","3","25","3","38","0","22","8","38","251","0","22","8","0","0","52","0","0","0","0","0","0","0","0","7","0","0","0","33","0","0","0","0","0","0","0","12","0","0","0","0","0"
