"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L557","AwesomeTextView","com.beardedhen.androidbootstrap.AwesomeTextView","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\AwesomeTextView.java","33","1","284","2","0","0","0","0","0","0","0","0","3","3","3","33","15","7","27","13","32","0.444444","0.248731","49","44","8","10","0.228972","49","1","2","3","3","2","148","231","5","2","3","2","19","0","17","8","19","86","2","17","8","165","252","10","4","8","4","22","3","19","8","22","90","5","19","8","0","0","48","0","0","0","0","0","0","0","1","0","0","1","0","36","0","1","0","0","0","0","0","9","0","0","0","0","0"
"L805","BootstrapAlert","com.beardedhen.androidbootstrap.BootstrapAlert","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapAlert.java","31","1","325","2","0.0672269","1","6","2","0.0745763","0.108374","22","22","3","3","2","33","7","5","3","12","28","0.538462","0.134615","28","26","7","6","0.188","47","0","0","0","0","0","180","252","11","0","11","0","16","0","12","3","16","91","0","12","3","203","295","11","0","11","0","22","0","18","3","22","101","0","18","3","0","0","50","0","0","0","0","0","14","0","1","0","0","0","0","33","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L444","BootstrapBadge","com.beardedhen.androidbootstrap.BootstrapBadge","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapBadge.java","24","1","127","2","0","0","0","0","0","0","0","0","1","2","2","15","9","3","8","5","19","0.0833333","0.0561798","5","5","1","11","0.0561798","5","1","3","0","0","3","84","104","8","4","6","4","14","0","11","5","14","31","2","11","5","84","104","8","4","6","4","14","0","11","5","14","31","2","11","5","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","31","0","1","0","0","0","0","0","3","0","0","0","0","0"
"L1102","BootstrapBaseThumbnail","com.beardedhen.androidbootstrap.BootstrapBaseThumbnail","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapBaseThumbnail.java","35","1","226","2","0","0","0","0","0","0","0","0","1","2","2","28","7","4","20","4","27","0.157895","0.107595","17","17","3","16","0.107595","17","1","3","2","2","3","141","192","13","4","10","4","23","0","18","9","23","74","3","18","9","141","192","13","4","10","4","23","0","18","9","23","74","3","18","9","0","0","52","0","0","0","0","0","0","0","0","0","0","0","0","43","0","1","0","0","0","0","0","8","0","0","0","0","0"
"L1263","BootstrapButton","com.beardedhen.androidbootstrap.BootstrapButton","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapButton.java","36","1","390","2","0","0","0","0","0","0","0","0","1","3","3","49","17","8","14","25","56","0.153846","0.0940767","27","24","4","22","0.11745","35","2","9","0","0","7","260","347","27","6","18","4","31","0","25","12","50","125","6","42","20","263","355","27","6","18","4","32","0","26","12","51","125","6","43","20","0","0","72","0","0","0","0","0","0","0","0","0","0","1","0","57","0","2","0","0","0","0","0","12","0","0","0","0","0"
"L1394","BootstrapButtonGroup","com.beardedhen.androidbootstrap.BootstrapButtonGroup","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapButtonGroup.java","42","1","296","2","0.0279395","1","2","1","0.0392157","0.046875","10","9","1","3","2","48","13","2","5","16","39","0.111111","0.0943396","20","16","2","16","0.0943396","20","1","6","0","0","6","192","255","12","3","8","3","23","0","17","6","34","122","4","28","7","192","255","12","3","8","3","23","0","17","6","34","122","4","28","7","0","0","62","0","0","0","0","0","7","0","0","1","0","1","0","45","0","2","0","0","0","0","0","6","0","0","0","0","0"
"L1566","BootstrapCircleThumbnail","com.beardedhen.androidbootstrap.BootstrapCircleThumbnail","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapCircleThumbnail.java","26","1","182","2","0.179817","1","2","1","0.121019","0.140351","19","16","1","3","2","25","7","1","0","11","19","0.25","0.142857","19","13","1","3","0.142857","19","2","4","0","0","1","114","157","16","4","3","0","8","0","3","0","30","71","3","21","9","114","157","16","4","3","0","8","0","3","0","30","71","3","21","9","0","0","32","0","0","0","0","0","10","0","0","0","0","0","0","19","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1648","BootstrapDrawableFactory","com.beardedhen.androidbootstrap.BootstrapDrawableFactory","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapDrawableFactory.java","31","1","505","2","0.132697","1","4","2","0.0463158","0.0568182","22","20","11","3","3","60","6","9","10","13","32","0.5","0.137255","56","51","1","1","0.137255","56","0","0","0","0","0","352","475","0","2","0","2","19","0","1","1","19","233","0","1","1","352","475","0","2","0","2","19","0","1","1","19","233","0","1","1","0","0","50","0","0","0","0","0","14","0","1","0","0","0","0","31","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1882","BootstrapDropDown","com.beardedhen.androidbootstrap.BootstrapDropDown","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapDropDown.java","42","1","476","2","0","0","0","0","0","0","0","0","1","4","2","38","16","1","0","22","46","0.333333","0.129032","44","41","6","12","0.144772","54","2","5","0","0","3","297","402","35","5","28","3","24","0","17","6","43","165","4","34","14","319","435","36","5","29","3","28","0","20","6","47","173","4","37","14","0","0","60","0","0","0","0","0","0","0","0","0","0","1","0","49","0","1","0","0","0","0","0","9","0","0","0","0","0"
"L2147","BootstrapEditText","com.beardedhen.androidbootstrap.BootstrapEditText","L106","L103","D:\PR_assignment_src\Android-Bootstrap\AndroidBootstrap\src\main\java\com\beardedhen\androidbootstrap\BootstrapEditText.java","28","1","172","2","0","0","0","0","0","0","0","0","1","2","2","16","9","1","3","7","21","0.153846","0.0666667","8","7","2","11","0.0666667","8","1","3","0","0","3","112","145","12","2","9","2","14","0","12","4","14","60","3","12","4","112","145","12","2","9","2","14","0","12","4","14","60","3","12","4","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","29","0","1","0","0","0","0","0","4","0","0","0","0","0"
