"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1667","MainActivity","com.hmkcode.MainActivity","L105","L103","D:\PR_assignment_src\Android\android-clean-http-async-task\src\com\hmkcode\MainActivity.java","19","1","75","2","0.381503","2","4","2","0.22807","0.261905","13","11","2","1","1","6","1","1","0","1","4","0","0","0","0","0","3","0.0227273","1","0","0","0","0","0","34","44","3","0","3","0","3","0","2","0","3","16","0","2","0","43","57","3","1","3","1","5","0","4","0","6","19","0","5","0","0","0","28","0","0","0","0","0","11","0","1","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2045","App","com.hmkcode.App","L105","L103","D:\PR_assignment_src\Android\java-post-gcm\src\main\java\com\hmkcode\App.java","18","1","39","2","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","3","5","0.333333","0.2","4","4","1","2","0.2","4","0","0","0","0","0","16","22","0","0","0","0","2","0","2","0","2","8","0","2","0","16","22","0","0","0","0","2","0","2","0","2","8","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2063","POST2GCM","com.hmkcode.POST2GCM","L105","L103","D:\PR_assignment_src\Android\java-post-gcm\src\main\java\com\hmkcode\POST2GCM.java","14","1","77","2","0","0","0","0","0","0","0","0","1","2","2","4","1","1","1","0","1","0","0.266667","12","0","0","2","0.266667","12","0","0","0","0","0","33","64","0","0","0","0","1","0","1","0","1","24","0","1","0","33","64","0","0","0","0","1","0","1","0","1","24","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2100","AppTest","com.hmkcode.AppTest","L105","L103","D:\PR_assignment_src\Android\java-post-gcm\src\test\java\com\hmkcode\AppTest.java","10","1","38","2","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","3","1","0.466667","14","14","4","0","0.466667","14","0","0","0","0","0","16","29","0","0","0","0","3","0","3","0","3","3","0","3","0","16","29","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L205","MainActivity","com.hmkcode.android.MainActivity","L127","L103","D:\PR_assignment_src\Android\android-actionbar-for-2.x.x\src\com\hmkcode\android\MainActivity.java","7","1","22","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2","0","0.0769231","1","0","0","2","0.0769231","1","0","0","0","0","0","12","16","0","0","0","0","2","0","1","0","2","4","0","1","0","12","16","0","0","0","0","2","0","1","0","2","4","0","1","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L229","MainActivity","com.hmkcode.android.MainActivity","L127","L103","D:\PR_assignment_src\Android\android-camera-app\src\com\hmkcode\android\MainActivity.java","21","1","105","2","0","0","0","0","0","0","0","0","1","1","1","10","0","0","0","0","5","0.333333","0.276923","18","5","1","2","0.276923","18","0","0","0","0","0","47","85","6","0","6","0","5","0","1","0","5","24","0","1","0","47","85","6","0","6","0","5","0","1","0","5","24","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L343","Item","com.hmkcode.android.Item","L127","L103","D:\PR_assignment_src\Android\android-custom-listview\src\com\hmkcode\android\Item.java","3","1","31","2","0","0","0","0","0","0","0","0","0","0","0","5","0","2","2","0","5","0","0","0","0","0","6","0","0","0","0","0","0","0","21","29","2","2","2","2","5","0","5","2","5","7","0","5","2","21","29","2","2","2","2","5","0","5","2","5","7","0","5","2","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L362","MainActivity","com.hmkcode.android.MainActivity","L127","L103","D:\PR_assignment_src\Android\android-custom-listview\src\com\hmkcode\android\MainActivity.java","10","1","40","2","0.3125","1","1","1","0.516129","0.357143","16","5","1","0","0","2","2","0","0","2","4","0","0.333333","7","0","0","2","0.333333","7","0","0","0","0","0","14","31","0","0","0","0","2","0","1","0","2","8","0","1","0","14","31","0","0","0","0","2","0","1","0","2","8","0","1","0","0","0","14","0","0","0","0","0","11","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L371","MyAdapter","com.hmkcode.android.MyAdapter","L127","L103","D:\PR_assignment_src\Android\android-custom-listview\src\com\hmkcode\android\MyAdapter.java","12","1","46","2","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","2","4","0","0.2","5","0","0","3","0.2","5","0","0","0","0","0","20","35","2","1","2","1","2","0","2","0","2","10","0","2","0","20","35","2","1","2","1","2","0","2","0","2","10","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L616","MainActivity","com.hmkcode.android.MainActivity","L127","L103","D:\PR_assignment_src\Android\android-http-client\src\com\hmkcode\android\MainActivity.java","23","1","114","2","0.689922","4","9","4","0.663043","0.639344","61","39","2","2","2","10","1","1","1","0","4","0","0.147541","9","0","0","4","0.136986","10","0","0","0","0","0","52","79","2","0","2","0","4","0","2","0","4","32","0","2","0","63","92","2","0","2","0","6","0","2","0","6","35","0","2","0","0","0","42","0","0","0","0","0","24","0","2","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
