"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1013","ApplicationStub","com.fernandocejas.android10.sample.data.ApplicationStub","L108","L103","D:\PR_assignment_src\Android-CleanArchitecture\data\src\test\java\com\fernandocejas\android10\sample\data\ApplicationStub.java","20","1","20","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L273","ApplicationTestCase","com.fernandocejas.android10.sample.data.ApplicationTestCase","L108","L103","D:\PR_assignment_src\Android-CleanArchitecture\data\src\test\java\com\fernandocejas\android10\sample\data\ApplicationTestCase.java","26","1","28","45","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1","0.571429","4","4","1","0","0.571429","4","0","0","9","9","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L463","User","com.fernandocejas.android10.sample.domain.User","L1021","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\main\java\com\fernandocejas\android10\sample\domain\User.java","21","1","93","2","0.52","1","1","1","0.191781","0.214286","14","12","1","0","0","13","0","12","6","0","13","0.0714286","0.0508475","3","3","1","13","0.0508475","3","0","0","0","0","0","56","73","6","6","6","6","13","0","13","5","13","22","0","13","5","56","73","6","6","6","6","13","0","13","5","13","22","0","13","5","0","0","42","0","0","0","0","0","11","0","0","0","0","0","0","29","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L1252","UserTest","com.fernandocejas.android10.sample.domain.UserTest","L1021","L103","D:\PR_assignment_src\Android-CleanArchitecture\domain\src\test\java\com\fernandocejas\android10\sample\domain\UserTest.java","24","1","41","2","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","2","4","0","0","0","0","0","3","0","0","0","0","0","0","0","13","18","2","0","2","0","2","0","2","1","2","3","0","2","1","13","18","2","0","2","0","2","0","2","1","2","3","0","2","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1475","AndroidApplication","com.fernandocejas.android10.sample.presentation.AndroidApplication","L1465","L103","D:\PR_assignment_src\Android-CleanArchitecture\presentation\src\main\java\com\fernandocejas\android10\sample\presentation\AndroidApplication.java","27","1","52","2","0","0","0","0","0","0","0","0","1","1","1","5","2","2","1","1","5","0.333333","0.125","3","3","1","2","0.125","3","0","0","0","0","0","21","26","1","1","1","1","4","0","2","0","4","7","0","2","0","21","26","1","1","1","1","4","0","2","0","4","7","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1585","UIThread","com.fernandocejas.android10.sample.presentation.UIThread","L1465","L103","D:\PR_assignment_src\Android-CleanArchitecture\presentation\src\main\java\com\fernandocejas\android10\sample\presentation\UIThread.java","28","1","37","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","2","0.333333","0.333333","4","4","1","2","0.333333","4","1","1","0","0","1","8","10","0","1","0","1","2","0","2","0","2","1","0","2","0","8","10","0","1","0","1","2","0","2","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L137","FileManager","com.fernandocejas.android10.sample.data.cache.FileManager","L123","L103","D:\PR_assignment_src\Android-CleanArchitecture\data\src\main\java\com\fernandocejas\android10\sample\data\cache\FileManager.java","31","1","142","2","0","0","0","0","0","0","0","0","5","3","3","14","0","4","9","0","7","0.875","0.443396","47","47","7","1","0.443396","47","0","0","0","0","0","59","112","0","1","0","1","7","0","7","0","7","30","0","7","0","59","112","0","1","0","1","7","0","7","0","7","30","0","7","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L315","UserCacheImpl","com.fernandocejas.android10.sample.data.cache.UserCacheImpl","L123","L103","D:\PR_assignment_src\Android-CleanArchitecture\data\src\main\java\com\fernandocejas\android10\sample\data\cache\UserCacheImpl.java","31","1","192","2","0","0","0","0","0","0","0","0","2","2","2","17","7","1","0","7","17","0.285714","0.264706","27","27","2","5","0.25","33","1","1","0","0","1","75","134","9","1","9","1","10","0","6","1","10","33","0","6","1","99","162","14","1","14","1","14","0","8","1","14","40","0","8","1","0","0","28","0","0","0","0","0","0","0","1","0","0","0","0","25","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L433","FileManagerTest","com.fernandocejas.android10.sample.data.cache.FileManagerTest","L123","L103","D:\PR_assignment_src\Android-CleanArchitecture\data\src\test\java\com\fernandocejas\android10\sample\data\cache\FileManagerTest.java","29","1","74","2","0","0","0","0","0","0","0","0","1","1","1","6","2","0","0","4","9","0","0","0","0","0","5","0","0","1","1","0","0","1","35","46","2","0","2","0","5","0","4","1","5","16","0","4","1","35","46","2","0","2","0","5","0","4","1","5","16","0","4","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L264","UserEntity","com.fernandocejas.android10.sample.data.entity.UserEntity","L447","L103","D:\PR_assignment_src\Android-CleanArchitecture\data\src\main\java\com\fernandocejas\android10\sample\data\entity\UserEntity.java","23","1","109","2","0.470588","1","1","1","0.16092","0.1875","14","12","1","0","0","14","0","17","10","0","14","0.0666667","0.0588235","4","3","1","14","0.0588235","4","0","0","0","0","0","64","87","6","6","6","6","14","0","14","6","14","22","0","14","6","64","87","6","6","6","6","14","0","14","6","14","22","0","14","6","0","0","43","0","0","0","0","0","11","0","0","0","0","0","0","29","0","0","0","0","0","0","0","3","0","0","0","0","0"
