"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1027","LoadingLayoutProxy","com.handmark.pulltorefresh.library.LoadingLayoutProxy","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\LoadingLayoutProxy.java","10","1","73","2","0","0","0","0","0","0","0","0","1","1","1","15","2","2","2","6","14","0.125","0.163636","9","9","1","7","0.163636","9","1","1","0","0","1","46","64","1","0","1","0","8","0","7","6","8","15","0","7","6","46","64","1","0","1","0","8","0","7","6","8","15","0","7","6","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1061","OverscrollHelper","com.handmark.pulltorefresh.library.OverscrollHelper","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\OverscrollHelper.java","25","1","178","2","0","0","0","0","0","0","0","0","2","6","5","22","4","7","7","10","14","0.75","0.542253","77","61","3","1","0.542253","77","0","0","0","0","0","65","154","2","0","2","0","4","0","3","0","4","35","0","3","0","65","154","2","0","2","0","4","0","3","0","4","35","0","3","0","0","0","12","0","0","0","0","0","0","0","1","5","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1140","PullToRefreshAdapterViewBase<T extends AbsListView>","com.handmark.pulltorefresh.library.PullToRefreshAdapterViewBase","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshAdapterViewBase.java","38","1","475","2","0.31369","3","26","6","0.196347","0.264808","86","76","1","3","3","90","6","9","21","25","55","0.333333","0.228495","85","47","5","10","0.228495","85","2","2","3","3","1","287","438","45","20","8","2","30","0","14","7","117","147","2","60","32","287","438","45","20","8","2","30","0","14","7","117","147","2","60","32","0","0","94","0","0","0","0","0","33","0","0","1","0","0","0","47","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L184","PullToRefreshBase<T extends View>","com.handmark.pulltorefresh.library.PullToRefreshBase","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.java","43","1","1653","2","0.0434783","2","16","4","0.034761","0.053553","56","52","1","6","5","234","16","46","71","35","124","0.297872","0.220841","231","181","14","33","0.287078","391","1","1","5","9","1","815","1275","37","18","37","18","89","2","46","25","89","407","2","46","25","971","1611","64","22","64","22","114","19","60","25","114","451","19","60","25","0","0","236","0","0","0","0","0","21","0","0","9","0","2","0","159","0","0","0","0","0","0","0","45","0","0","0","0","0"
"L195","PullToRefreshExpandableListView","com.handmark.pulltorefresh.library.PullToRefreshExpandableListView","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshExpandableListView.java","28","1","103","2","0.208333","1","1","1","0.171053","0.157895","13","9","1","1","1","7","6","2","1","6","12","0","0.0333333","1","0","0","6","0.0338983","2","3","3","0","0","1","29","39","45","20","0","1","6","0","5","0","121","11","2","64","32","57","76","45","20","0","1","11","0","9","2","129","18","2","71","36","0","0","57","0","0","0","0","0","15","0","0","0","0","0","0","31","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L2065","PullToRefreshGridView","com.handmark.pulltorefresh.library.PullToRefreshGridView","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshGridView.java","28","1","102","2","0.475904","2","3","2","0.333333","0.339286","25","19","1","1","1","7","6","1","0","6","12","0","0.0333333","1","0","0","6","0.0344828","2","3","3","0","0","1","29","39","45","20","0","1","6","0","5","0","121","11","2","64","32","56","75","45","20","0","1","11","0","9","2","129","18","2","71","36","0","0","63","0","0","0","0","0","21","0","0","0","0","0","0","31","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L2118","PullToRefreshHorizontalScrollView","com.handmark.pulltorefresh.library.PullToRefreshHorizontalScrollView","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshHorizontalScrollView.java","26","1","110","2","0.364865","2","3","2","0.305882","0.3125","26","20","2","1","1","10","5","1","0","5","13","0","0","0","0","0","6","0.0588235","4","2","2","0","0","1","41","52","37","18","0","1","8","0","5","0","93","16","2","50","25","64","85","37","19","0","2","11","0","6","0","96","25","2","51","25","0","0","58","0","0","0","0","0","21","0","1","0","0","0","0","26","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L214","PullToRefreshListView","com.handmark.pulltorefresh.library.PullToRefreshListView","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshListView.java","35","1","337","2","0.0442478","1","1","1","0.039604","0.039604","12","8","2","2","2","34","10","5","1","30","41","0","0.176796","32","0","0","6","0.178862","44","3","3","0","0","1","149","224","49","20","4","1","11","0","5","0","126","97","2","64","32","202","303","50","20","5","1","19","0","11","3","140","115","2","75","38","0","0","68","0","0","0","0","0","12","0","2","0","0","1","0","41","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L2278","PullToRefreshScrollView","com.handmark.pulltorefresh.library.PullToRefreshScrollView","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshScrollView.java","26","1","109","2","0.364865","2","3","2","0.297619","0.3125","25","20","2","1","1","10","5","1","0","5","13","0","0","0","0","0","6","0.0588235","4","2","2","0","0","1","41","51","37","18","0","1","8","0","5","0","93","16","2","50","25","64","84","37","19","0","2","11","0","6","0","96","25","2","51","25","0","0","58","0","0","0","0","0","21","0","1","0","0","0","0","26","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L310","PullToRefreshWebView","com.handmark.pulltorefresh.library.PullToRefreshWebView","L285","L103","D:\PR_assignment_src\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshWebView.java","28","1","165","2","0.129412","1","2","1","0.0869565","0.120879","12","11","2","1","1","11","6","2","4","10","20","0","0.166667","12","0","0","6","0.157407","17","2","2","1","1","1","60","90","39","18","2","1","10","0","5","0","95","26","2","50","25","91","138","41","19","4","2","15","0","8","0","100","34","2","53","25","0","0","54","0","0","0","0","0","8","0","1","0","0","0","0","34","0","0","0","0","0","0","0","11","0","0","0","0","0"
