"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2794","DefaultConfigurationFactory","com.nostra13.universalimageloader.core.DefaultConfigurationFactory","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DefaultConfigurationFactory.java","58","1","183","2","0","0","0","0","0","0","0","0","7","2","2","22","18","5","7","10","23","1","0.231579","22","21","9","0","0.192982","22","0","0","0","0","0","73","103","0","1","0","1","13","0","8","0","13","32","0","8","0","92","126","5","1","5","1","15","0","9","0","15","40","0","9","0","0","0","23","0","0","0","0","0","0","0","1","0","0","1","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3240","DisplayBitmapTask","com.nostra13.universalimageloader.core.DisplayBitmapTask","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayBitmapTask.java","33","1","81","2","0","0","0","0","0","0","0","0","1","2","1","5","8","2","2","9","12","0.333333","0.173077","9","9","1","2","0.173077","9","0","0","0","0","0","43","49","11","0","11","0","3","0","2","0","3","20","0","2","0","43","49","11","0","11","0","3","0","2","0","3","20","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L2721","DisplayImageOptions","com.nostra13.universalimageloader.core.DisplayImageOptions","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\DisplayImageOptions.java","65","1","504","2","0","0","0","0","0","0","0","0","2","0","0","30","4","15","13","1","25","0.0869565","0.301887","48","48","2","21","0.379147","160","0","0","0","0","0","111","155","19","11","19","11","24","0","22","0","24","42","0","22","0","262","440","38","11","38","11","51","0","48","0","51","117","0","48","0","0","0","81","0","0","0","0","0","0","0","2","0","0","0","0","63","0","0","0","0","0","0","0","16","0","0","0","0","0"
"L3927","ImageLoader","com.nostra13.universalimageloader.core.ImageLoader","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\ImageLoader.java","49","1","813","2","0","0","0","0","0","0","0","0","1","3","3","70","23","11","11","46","90","1","0.626801","435","435","42","0","0.621127","441","0","0","0","0","0","259","752","12","6","12","6","44","1","41","1","44","118","1","41","1","269","765","13","7","13","7","46","1","43","1","50","120","1","47","1","0","0","27","0","0","0","0","0","0","0","0","1","0","3","0","11","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L3942","ImageLoaderConfiguration","com.nostra13.universalimageloader.core.ImageLoaderConfiguration","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\ImageLoaderConfiguration.java","50","1","655","2","0.0849558","1","9","3","0.049505","0.0738462","30","24","1","1","1","5","12","7","3","6","9","1","0.354839","33","33","2","0","0.402574","219","0","0","0","0","0","60","116","20","1","20","1","3","0","1","0","3","30","0","1","0","325","606","53","3","53","3","34","3","31","0","34","147","3","31","0","0","0","70","0","0","0","0","0","19","0","1","0","0","2","0","29","0","0","0","0","0","0","0","19","0","0","0","0","0"
"L3255","ImageLoaderEngine","com.nostra13.universalimageloader.core.ImageLoaderEngine","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\ImageLoaderEngine.java","40","1","217","2","0","0","0","0","0","0","0","0","4","1","1","26","5","5","18","3","22","1","0.328767","48","48","1","0","0.305732","48","0","0","0","0","0","98","167","10","4","10","4","19","0","0","0","19","37","0","0","0","109","178","10","4","10","4","20","0","1","0","20","43","0","1","0","0","0","32","0","0","0","0","0","0","0","1","0","0","0","0","29","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L3262","ImageLoadingInfo","com.nostra13.universalimageloader.core.ImageLoadingInfo","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\ImageLoadingInfo.java","35","1","58","2","0","0","0","0","0","0","0","0","0","0","0","1","5","4","1","0","1","0.5","0.3125","10","10","1","1","0.3125","10","0","0","0","0","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","22","24","8","0","8","0","1","0","1","0","1","8","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L4051","LoadAndDisplayImageTask","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\LoadAndDisplayImageTask.java","51","1","482","2","0","0","0","0","0","0","0","0","1","4","4","91","25","7","3","37","61","0.25","0.096","36","31","1","3","0.107769","43","1","1","0","0","1","339","415","38","2","38","2","24","0","3","0","24","195","0","3","0","356","432","38","2","38","2","27","0","6","0","27","200","0","6","0","0","0","73","0","0","0","0","0","0","0","0","5","0","3","0","60","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L4036","ProcessAndDisplayImageTask","com.nostra13.universalimageloader.core.ProcessAndDisplayImageTask","L1569","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\core\ProcessAndDisplayImageTask.java","32","1","59","2","0","0","0","0","0","0","0","0","1","0","0","2","8","2","1","6","8","0.333333","0.233333","7","7","1","2","0.233333","7","0","0","0","0","0","23","28","5","0","5","0","2","0","2","0","2","9","0","2","0","23","28","5","0","5","0","2","0","2","0","2","9","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4930","DiskCacheUtils","com.nostra13.universalimageloader.utils.DiskCacheUtils","L4922","L103","D:\PR_assignment_src\Android-Universal-Image-Loader\library\src\main\java\com\nostra13\universalimageloader\utils\DiskCacheUtils.java","29","1","49","2","0","0","0","0","0","0","0","0","2","0","0","7","1","0","0","1","4","1","0.52","13","13","3","0","0.52","13","0","0","0","0","0","12","21","0","0","0","0","3","0","2","0","3","4","0","2","0","12","21","0","0","0","0","3","0","2","0","3","4","0","2","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
