"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L123","ClassLoaderSavedState","com.etsy.android.grid.ClassLoaderSavedState","L107","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ClassLoaderSavedState.java","28","1","95","2","0","0","0","0","0","0","0","0","2","1","1","9","0","5","5","0","6","0.25","0.346154","18","17","1","3","0.290323","18","0","0","2","3","0","34","56","4","1","4","1","6","2","3","0","6","11","2","3","0","44","68","4","2","4","1","8","2","5","0","14","16","2","8","0","0","0","25","0","0","0","0","0","0","0","2","0","0","0","0","17","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L199","ExtendableListView","com.etsy.android.grid.ExtendableListView","L107","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\ExtendableListView.java","60","1","2913","2","0.0398915","4","19","7","0.0294324","0.0381558","84","72","7","4","4","376","12","11","40","21","118","0.464286","0.237624","432","286","13","15","0.23011","564","0","0","1","1","0","1386","2171","51","16","51","16","97","0","27","4","97","855","0","27","4","1887","2854","80","20","76","19","135","4","50","6","145","1170","6","57","6","0","0","317","0","0","0","0","0","40","0","2","17","0","4","0","218","0","0","0","0","0","0","0","36","0","0","0","0","0"
"L443","HeaderViewListAdapter","com.etsy.android.grid.HeaderViewListAdapter","L107","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\HeaderViewListAdapter.java","37","1","275","2","0.352584","2","14","4","0.301255","0.302703","72","56","1","3","3","56","2","1","3","0","20","0.05","0.097561","20","11","1","19","0.097561","20","0","0","0","0","0","185","239","6","10","6","10","20","0","19","0","20","99","0","19","0","185","239","6","10","6","10","20","0","19","0","20","99","0","19","0","0","0","80","0","0","0","0","0","33","0","0","0","0","0","0","43","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1389","StaggeredGridView","com.etsy.android.grid.StaggeredGridView","L107","L103","D:\PR_assignment_src\AndroidStaggeredGrid\library\src\main\java\com\etsy\android\grid\StaggeredGridView.java","39","1","1304","2","0.143653","5","31","11","0.124013","0.153677","157","140","1","5","5","196","7","4","1","32","110","0.117647","0.15288","146","68","2","15","0.157262","170","1","1","0","0","1","809","1133","70","46","19","30","78","0","16","7","175","489","0","43","11","911","1266","93","47","28","30","96","2","31","7","207","524","5","69","11","0","0","286","0","0","0","0","0","74","0","4","4","0","1","0","174","0","0","0","0","0","0","0","29","0","0","0","0","0"
"L1994","ListViewActivity","com.etsy.android.sample.ListViewActivity","L1978","L103","D:\PR_assignment_src\AndroidStaggeredGrid\sample\src\main\java\com\etsy\android\sample\ListViewActivity.java","11","1","48","2","0.438202","1","1","1","0.289474","0.310345","11","9","2","1","1","3","2","1","0","2","4","0","0","0","0","0","2","0","0","0","0","0","0","0","29","38","0","0","0","0","2","0","1","0","2","20","0","1","0","29","38","0","0","0","0","2","0","1","0","2","20","0","1","0","0","0","18","0","0","0","0","0","10","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2072","MainActivity","com.etsy.android.sample.MainActivity","L1978","L103","D:\PR_assignment_src\AndroidStaggeredGrid\sample\src\main\java\com\etsy\android\sample\MainActivity.java","8","1","38","2","0","0","0","0","0","0","0","0","2","4","1","6","4","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","27","31","0","0","0","0","2","0","1","0","2","15","0","1","0","27","31","0","0","0","0","2","0","1","0","2","15","0","1","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2036","SampleAdapter","com.etsy.android.sample.SampleAdapter","L1978","L103","D:\PR_assignment_src\AndroidStaggeredGrid\sample\src\main\java\com\etsy\android\sample\SampleAdapter.java","23","1","105","2","0","0","0","0","0","0","0","0","0","1","1","7","2","4","4","1","5","0.333333","0.129032","8","3","1","2","0.112676","8","0","0","0","0","0","54","74","5","3","5","3","4","0","2","0","4","32","0","2","0","63","83","7","3","7","3","5","0","3","0","5","33","0","3","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2178","SampleData","com.etsy.android.sample.SampleData","L1978","L103","D:\PR_assignment_src\AndroidStaggeredGrid\sample\src\main\java\com\etsy\android\sample\SampleData.java","6","1","20","2","0","0","0","0","0","0","0","0","1","1","1","2","0","4","6","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","10","15","1","0","1","0","1","1","1","0","1","6","1","1","0","10","15","1","0","1","0","1","1","1","0","1","6","1","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2088","StaggeredGridActivity","com.etsy.android.sample.StaggeredGridActivity","L1978","L103","D:\PR_assignment_src\AndroidStaggeredGrid\sample\src\main\java\com\etsy\android\sample\StaggeredGridActivity.java","19","1","142","2","0.534676","5","10","5","0.435484","0.45","54","45","4","2","2","18","4","1","0","7","16","0","0.0384615","4","0","0","7","0.0384615","4","0","0","0","0","0","100","124","6","0","6","0","9","1","6","0","9","53","1","6","0","100","124","6","0","6","0","9","1","6","0","9","53","1","6","0","0","0","50","0","0","0","0","0","23","0","1","0","0","0","0","21","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L2091","StaggeredGridActivityFragment","com.etsy.android.sample.StaggeredGridActivityFragment","L1978","L103","D:\PR_assignment_src\AndroidStaggeredGrid\sample\src\main\java\com\etsy\android\sample\StaggeredGridActivityFragment.java","17","1","133","2","0.319512","3","8","3","0.316239","0.363636","37","32","1","1","1","2","1","2","0","0","1","0","0.0714286","1","0","0","1","0.0434783","4","0","0","0","0","0","13","21","1","0","1","0","1","0","0","0","1","6","0","0","0","88","117","5","0","5","0","8","0","6","0","8","45","0","6","0","0","0","49","0","0","0","0","0","26","0","1","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0"
