"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L546","GridViewExample","com.daimajia.swipedemo.GridViewExample","L106","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\GridViewExample.java","13","1","52","2","0","0","0","0","0","0","0","0","1","0","0","1","3","3","0","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","18","22","0","0","0","0","1","0","0","0","1","10","0","0","0","34","40","0","0","0","0","5","0","4","0","5","14","0","4","0","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L627","ListViewExample","com.daimajia.swipedemo.ListViewExample","L106","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\ListViewExample.java","23","1","128","2","0","0","0","0","0","0","0","0","3","3","2","8","5","4","0","2","5","0","0.184615","12","0","0","3","0.12766","12","0","0","0","0","0","53","74","3","0","3","0","3","0","2","0","3","31","0","2","0","82","106","3","0","3","0","10","0","9","0","10","39","0","9","0","0","0","41","0","0","0","0","0","0","0","3","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L754","MyActivity","com.daimajia.swipedemo.MyActivity","L106","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\MyActivity.java","16","1","211","2","0.353045","3","7","7","0.331633","0.375","65","60","4","4","1","8","8","3","1","5","9","0.25","0.128713","13","3","1","3","0.0751445","13","0","0","0","0","0","88","123","3","0","3","0","4","0","3","0","4","55","0","3","0","160","196","3","0","3","0","19","0","18","0","19","82","0","18","0","0","0","200","0","0","0","0","0","112","0","1","0","0","0","0","86","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L901","NestedExample","com.daimajia.swipedemo.NestedExample","L106","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\NestedExample.java","10","1","32","2","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","12","15","0","0","0","0","1","0","0","0","1","5","0","0","0","20","23","0","0","0","0","3","0","2","0","3","7","0","2","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L749","RecyclerViewExample","com.daimajia.swipedemo.RecyclerViewExample","L106","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\RecyclerViewExample.java","23","1","111","2","0","0","0","0","0","0","0","0","3","2","2","7","6","2","0","3","6","0","0.287879","19","11","0","3","0.263158","20","0","0","0","0","0","47","78","4","0","4","0","3","0","2","0","3","28","0","2","0","56","89","4","0","4","0","5","0","4","0","5","31","0","4","0","0","0","16","0","0","0","0","0","0","0","2","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L253","SimpleSwipeListener","com.daimajia.swipe.SimpleSwipeListener","L963","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\SimpleSwipeListener.java","3","1","28","2","0","0","0","0","0","0","0","0","6","0","0","6","2","5","0","0","6","0","0","0","0","0","7","0","0","1","1","3","3","1","20","26","0","0","0","0","6","0","6","0","6","0","0","6","0","20","26","0","0","0","0","6","0","6","0","6","0","0","6","0","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L247","SwipeLayout","com.daimajia.swipe.SwipeLayout","L963","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\SwipeLayout.java","31","1","1653","2","0.0424074","2","20","4","0.0308071","0.0385802","50","50","2","7","4","395","8","31","13","9","106","0.28169","0.103188","123","115","20","51","0.0936408","134","0","0","0","0","0","1069","1362","34","14","34","14","97","1","70","20","97","686","1","70","20","1297","1623","44","16","44","16","118","10","91","20","118","804","10","91","20","0","0","318","0","0","0","0","0","21","0","3","22","0","1","0","231","0","0","0","0","0","0","0","40","0","0","0","0","0"
"L128","ArraySwipeAdapterSample<T extends Object>","com.daimajia.swipedemo.adapter.ArraySwipeAdapterSample","L122","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\adapter\ArraySwipeAdapterSample.java","14","1","43","2","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0","6","13","0.125","0.142857","4","4","1","7","0.142857","4","2","3","0","0","1","24","30","1","5","0","1","7","0","7","0","25","7","0","25","1","24","30","1","5","0","1","7","0","7","0","25","7","0","25","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L190","GridViewAdapter","com.daimajia.swipedemo.adapter.GridViewAdapter","L122","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\adapter\GridViewAdapter.java","12","1","50","2","0","0","0","0","0","0","0","0","2","0","0","7","1","1","1","0","7","0","0","0","0","0","8","0","0","2","3","0","0","1","31","39","2","8","1","4","7","0","7","0","19","8","0","19","1","31","39","2","8","1","4","7","0","7","0","19","8","0","19","1","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L235","ListViewAdapter","com.daimajia.swipedemo.adapter.ListViewAdapter","L122","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\adapter\ListViewAdapter.java","17","1","75","2","0","0","0","0","0","0","0","0","2","0","0","7","4","3","1","2","9","0","0","0","0","0","8","0","0","2","3","0","0","1","39","47","2","8","1","4","7","0","7","0","19","13","0","19","1","51","59","2","8","1","4","10","0","10","0","28","16","0","28","1","0","0","33","0","0","0","0","0","0","0","1","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L301","RecyclerViewAdapter","com.daimajia.swipedemo.adapter.RecyclerViewAdapter","L122","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\adapter\RecyclerViewAdapter.java","22","1","104","2","0","0","0","0","0","0","0","0","2","0","0","5","7","3","1","5","10","0.166667","0.0277778","1","1","1","5","0.0136986","1","2","3","0","0","1","35","44","3","5","2","2","5","0","5","0","16","14","1","16","1","72","83","7","5","6","2","10","0","10","0","27","30","1","27","1","0","0","41","0","0","0","0","0","0","0","1","0","0","0","0","38","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L951","RecyclerViewExample$1","com.daimajia.swipedemo.RecyclerViewExample$1","L749","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\RecyclerViewExample.java","72","90","84","6","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2","0","0.0833333","1","0","0","3","0.0833333","1","0","0","0","0","0","11","13","0","0","0","0","2","0","2","0","2","3","0","2","0","11","13","0","0","0","0","2","0","2","0","2","3","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L130","ArraySwipeAdapter<T extends Object>","com.daimajia.swipe.adapters.ArraySwipeAdapter","L973","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\adapters\ArraySwipeAdapter.java","16","1","105","2","0","0","0","0","0","0","0","0","2","0","0","18","6","1","6","11","29","0","0","0","0","0","19","0","0","1","2","1","1","2","72","90","1","5","1","4","18","0","18","1","19","20","0","19","1","72","90","1","5","1","4","18","0","18","1","19","20","0","19","1","0","0","42","0","0","0","0","0","0","0","1","0","0","0","0","39","0","1","0","0","0","0","0","1","0","0","0","0","0"
"L191","BaseSwipeAdapter","com.daimajia.swipe.adapters.BaseSwipeAdapter","L973","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\adapters\BaseSwipeAdapter.java","15","1","110","2","0","0","0","0","0","0","0","0","2","1","1","16","6","4","2","11","26","0.1875","0.240506","19","19","3","13","0.240506","19","1","2","2","2","2","60","96","1","5","1","5","15","0","15","1","15","17","0","15","1","60","96","1","5","1","5","15","0","15","1","15","17","0","15","1","0","0","29","0","0","0","0","0","0","0","1","0","0","0","0","27","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L1128","CursorSwipeAdapter","com.daimajia.swipe.adapters.CursorSwipeAdapter","L973","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\adapters\CursorSwipeAdapter.java","17","1","85","2","0","0","0","0","0","0","0","0","1","0","0","13","6","0","0","11","24","0","0","0","0","0","12","0","0","1","2","0","0","2","55","69","1","5","1","4","13","0","11","1","15","15","0","13","1","55","69","1","5","1","4","13","0","11","1","15","15","0","13","1","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","29","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L303","RecyclerSwipeAdapter<VH extends ViewHolder>","com.daimajia.swipe.adapters.RecyclerSwipeAdapter","L973","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\adapters\RecyclerSwipeAdapter.java","14","1","78","2","0","0","0","0","0","0","0","0","2","0","0","13","6","3","1","10","23","0","0","0","0","0","14","0","0","1","2","1","1","2","51","65","1","4","1","3","13","1","13","1","14","11","1","14","1","51","65","1","4","1","3","13","1","13","1","14","11","1","14","1","0","0","35","0","0","0","0","0","0","0","1","0","0","0","0","29","0","1","0","0","0","0","0","4","0","0","0","0","0"
"L1196","SimpleCursorSwipeAdapter","com.daimajia.swipe.adapters.SimpleCursorSwipeAdapter","L973","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\adapters\SimpleCursorSwipeAdapter.java","17","1","80","2","0","0","0","0","0","0","0","0","1","0","0","12","6","0","0","10","22","0","0","0","0","0","11","0","0","1","2","0","0","2","51","64","1","5","1","4","12","0","10","1","15","14","0","13","1","51","64","1","5","1","4","12","0","10","1","15","14","0","13","1","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","27","0","1","0","0","0","0","0","1","0","0","0","0","0"
"L990","SwipeItemMangerImpl","com.daimajia.swipe.implments.SwipeItemMangerImpl","L1239","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\implments\SwipeItemMangerImpl.java","20","1","215","2","0","0","0","0","0","0","0","0","1","2","2","25","8","9","58","10","22","0.0769231","0.0283019","3","3","1","12","0.0181818","3","1","1","0","0","1","103","125","6","3","6","3","12","1","12","1","12","49","1","12","1","162","196","11","3","11","3","21","1","18","3","27","68","1","24","3","0","0","61","0","0","0","0","0","0","0","1","0","0","0","0","54","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1632","SwipeLayout$1","com.daimajia.swipe.SwipeLayout$1","L247","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\SwipeLayout.java","221","89","401","6","0","0","0","0","0","0","0","0","4","7","4","67","5","0","0","0","7","0","0","0","0","0","8","0","0","0","0","0","0","0","161","181","1","2","1","2","7","0","7","0","7","103","0","7","0","161","181","1","2","1","2","7","0","7","0","7","103","0","7","0","0","0","26","0","0","0","0","0","0","0","1","8","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2073","SwipeLayout$SwipeDetector","com.daimajia.swipe.SwipeLayout$SwipeDetector","L247","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\SwipeLayout.java","1190","5","1215","6","0","0","0","0","0","0","0","0","2","2","2","10","2","0","0","5","7","0","0","0","0","0","3","0","0","0","0","0","0","0","25","26","0","0","0","0","2","0","2","0","2","12","0","2","0","25","26","0","0","0","0","2","0","2","0","2","12","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1077","Attributes","com.daimajia.swipe.util.Attributes","L2211","L103","D:\PR_assignment_src\AndroidSwipeLayout\library\src\main\java\com\daimajia\swipe\util\Attributes.java","4","1","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L304","RecyclerViewAdapter$SimpleViewHolder","com.daimajia.swipedemo.adapter.RecyclerViewAdapter$SimpleViewHolder","L301","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\adapter\RecyclerViewAdapter.java","24","5","45","6","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","15","17","4","0","4","0","1","0","1","0","1","6","0","1","0","20","22","4","0","4","0","2","0","2","0","2","8","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L416","DividerItemDecoration","com.daimajia.swipedemo.adapter.util.DividerItemDecoration","L412","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\adapter\util\DividerItemDecoration.java","13","1","125","2","0.309051","1","4","2","0.185841","0.208333","21","20","1","2","2","19","0","1","1","0","7","0","0.049505","5","0","0","7","0.049505","5","0","0","0","0","0","96","113","3","2","3","2","7","0","6","0","7","61","0","6","0","96","113","3","2","3","2","7","0","6","0","7","61","0","6","0","0","0","29","0","0","0","0","0","12","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L501","RecyclerItemClickListener","com.daimajia.swipedemo.adapter.util.RecyclerItemClickListener","L412","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\adapter\util\RecyclerItemClickListener.java","9","1","40","2","0","0","0","0","0","0","0","0","2","1","1","6","1","0","0","1","4","0","0","0","0","0","4","0","0","0","0","0","0","0","20","25","2","0","2","0","3","0","3","0","3","6","0","3","0","27","32","2","0","2","0","5","0","5","0","5","7","0","5","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L588","GridViewExample$1","com.daimajia.swipedemo.GridViewExample$1","L553","L103","D:\PR_assignment_src\AndroidSwipeLayout\demo\src\main\java\com\daimajia\swipedemo\GridViewExample.java","24","87","30","10","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","7","0","0","0","0","1","0","1","0","1","2","0","1","0","7","7","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
