"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L835","App","com.blankj.androidutilcode.App","L106","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\App.java","21","1","43","2","0","0","0","0","0","0","0","0","1","1","1","3","3","9","9","6","8","0.333333","0.392857","11","8","1","2","0.392857","11","0","0","0","0","0","17","23","1","1","1","1","2","0","2","0","2","8","0","2","0","17","23","1","1","1","1","2","0","2","0","2","8","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L135","ActivityActivity","com.blankj.androidutilcode.activities.ActivityActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\ActivityActivity.java","20","1","51","2","0","0","0","0","0","0","0","0","1","1","1","3","1","1","0","3","5","0.5","0.242424","8","8","1","1","0.242424","8","0","0","0","0","0","25","32","2","0","2","0","2","0","1","0","2","10","0","1","0","25","32","2","0","2","0","2","0","1","0","2","10","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L191","AppActivity","com.blankj.androidutilcode.activities.AppActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\AppActivity.java","21","1","81","2","0","0","0","0","0","0","0","0","1","1","1","8","2","2","0","15","17","0.5","0.137931","8","8","1","1","0.129032","8","0","0","0","0","0","50","57","1","0","1","0","2","0","1","0","2","24","0","1","0","54","61","1","0","1","0","3","0","2","0","3","25","0","2","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L253","CleanActivity","com.blankj.androidutilcode.activities.CleanActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\CleanActivity.java","22","1","69","2","0","0","0","0","0","0","0","0","2","1","1","7","1","1","0","5","7","0.5","0.156863","8","8","1","1","0.156863","8","0","0","0","0","0","43","48","0","0","0","0","2","0","1","0","2","28","0","1","0","43","48","0","0","0","0","2","0","1","0","2","28","0","1","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L289","DeviceActivity","com.blankj.androidutilcode.activities.DeviceActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\DeviceActivity.java","20","1","59","2","0","0","0","0","0","0","0","0","2","1","1","6","2","1","0","11","13","0.5","0.186047","8","8","1","1","0.186047","8","0","0","0","0","0","35","40","0","0","0","0","2","0","1","0","2","15","0","1","0","35","40","0","0","0","0","2","0","1","0","2","15","0","1","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L316","HandlerActivity","com.blankj.androidutilcode.activities.HandlerActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\HandlerActivity.java","22","1","54","2","0","0","0","0","0","0","0","0","1","1","1","4","3","1","0","1","4","0.333333","0.228571","8","8","1","2","0.228571","8","1","1","0","0","1","27","33","3","0","3","0","3","0","2","0","3","10","0","2","0","27","33","3","0","3","0","3","0","2","0","3","10","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L347","ImageActivity","com.blankj.androidutilcode.activities.ImageActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\ImageActivity.java","22","1","66","2","0","0","0","0","0","0","0","0","1","0","0","1","3","2","0","12","13","1","0.181818","8","8","1","0","0.166667","8","0","0","0","0","0","36","41","2","0","2","0","1","0","0","0","1","28","0","0","0","40","45","2","0","2","0","2","0","1","0","2","29","0","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L405","KeyboardActivity","com.blankj.androidutilcode.activities.KeyboardActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\KeyboardActivity.java","23","1","83","2","0","0","0","0","0","0","0","0","3","2","2","14","1","1","0","3","7","0.333333","0.147541","9","9","1","2","0.147541","9","0","0","0","0","0","52","61","1","0","1","0","4","0","2","0","4","29","0","2","0","52","61","1","0","1","0","4","0","2","0","4","29","0","2","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L472","LocationActivity","com.blankj.androidutilcode.activities.LocationActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\LocationActivity.java","23","1","82","2","0","0","0","0","0","0","0","0","1","0","0","2","2","3","0","2","4","1","0.235294","8","8","1","0","0.135593","8","0","0","0","0","0","26","33","3","0","3","0","2","0","0","0","2","7","0","0","0","51","60","3","1","3","1","6","0","4","0","6","11","0","4","0","0","0","25","0","0","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L543","MainActivity","com.blankj.androidutilcode.activities.MainActivity","L118","L103","D:\PR_assignment_src\AndroidUtilCode\app\src\main\java\com\blankj\androidutilcode\activities\MainActivity.java","18","1","85","2","0","0","0","0","0","0","0","0","16","0","0","16","14","0","0","0","16","0.0625","0.133333","8","8","1","15","0.133333","8","0","0","0","0","0","52","68","0","0","0","0","16","0","15","0","16","17","0","15","0","52","68","0","0","0","0","16","0","15","0","16","17","0","15","0","0","0","37","0","0","0","0","0","0","0","1","0","0","1","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0"
