"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L120","EffectAdapter","com.daimajia.androidanimations.EffectAdapter","L106","L103","D:\PR_assignment_src\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\EffectAdapter.java","12","1","46","2","0","0","0","0","0","0","0","0","0","0","0","5","1","1","1","1","6","0","0","0","0","0","6","0","0","0","0","0","0","0","29","35","1","4","1","4","5","0","5","0","5","12","0","5","0","29","35","1","4","1","4","5","0","5","0","5","12","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L188","ExampleActivity","com.daimajia.androidanimations.ExampleActivity","L106","L103","D:\PR_assignment_src\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\ExampleActivity.java","11","1","45","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","15","19","0","0","0","0","1","0","0","0","1","8","0","0","0","27","35","0","0","0","0","3","0","2","0","3","12","0","2","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L234","MyActivity","com.daimajia.androidanimations.MyActivity","L106","L103","D:\PR_assignment_src\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\MyActivity.java","18","1","95","2","0","0","0","0","0","0","0","0","3","1","1","4","6","2","0","4","7","0","0.128205","5","0","0","3","0.0735294","5","0","0","0","0","0","34","43","4","0","4","0","3","0","2","0","3","16","0","2","0","63","78","4","0","4","0","9","0","8","0","9","21","0","8","0","0","0","30","0","0","0","0","0","0","0","2","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L374","BaseViewAnimator","com.daimajia.androidanimations.library.BaseViewAnimator","L349","L103","D:\PR_assignment_src\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\BaseViewAnimator.java","34","1","136","2","0","0","0","0","0","0","0","0","2","0","0","17","0","67","67","0","17","0.117647","0.0987654","8","8","2","15","0.0987654","8","0","0","63","63","0","73","103","3","3","3","3","17","1","16","4","17","32","1","16","4","73","103","3","3","3","3","17","1","16","4","17","32","1","16","4","0","0","41","0","0","0","0","0","0","0","1","0","0","0","0","33","0","2","0","0","0","0","0","5","0","0","0","0","0"
"L316","YoYo","com.daimajia.androidanimations.library.YoYo","L349","L103","D:\PR_assignment_src\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java","36","1","204","2","0","0","0","0","0","0","0","0","3","2","2","6","3","5","5","8","12","0","0","0","0","0","3","0.0223881","3","0","0","0","0","0","37","53","8","0","8","0","4","0","2","0","4","15","0","2","0","131","169","16","0","16","0","28","0","23","0","44","46","0","39","0","0","0","89","0","0","0","0","0","0","0","3","0","0","0","0","83","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L214","ExampleActivity$1","com.daimajia.androidanimations.ExampleActivity$1","L195","L103","D:\PR_assignment_src\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\ExampleActivity.java","20","81","30","10","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","3","4","0","0","0","0","0","2","0","0","0","0","0","0","0","9","11","0","0","0","0","1","0","1","0","1","2","0","1","0","9","11","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L229","ExampleActivity$2","com.daimajia.androidanimations.ExampleActivity$2","L195","L103","D:\PR_assignment_src\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\ExampleActivity.java","35","82","43","10","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","7","9","0","0","0","0","1","0","1","0","1","2","0","1","0","7","9","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","MyActivity$1","com.daimajia.androidanimations.MyActivity$1","L244","L103","D:\PR_assignment_src\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\MyActivity.java","33","80","63","10","0","0","0","0","0","0","0","0","1","0","0","1","4","0","0","4","5","0","0","0","0","0","2","0","0","0","0","0","0","0","12","12","0","0","0","0","1","0","1","0","1","2","0","1","0","25","31","0","0","0","0","5","0","5","0","5","3","0","5","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L308","MyActivity$2","com.daimajia.androidanimations.MyActivity$2","L244","L103","D:\PR_assignment_src\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\MyActivity.java","64","86","71","10","0","0","0","0","0","0","0","0","1","1","1","2","2","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","8","8","0","0","0","0","1","0","1","0","1","2","0","1","0","8","8","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L373","BounceAnimator","com.daimajia.androidanimations.library.attention.BounceAnimator","L361","L103","D:\PR_assignment_src\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\attention\BounceAnimator.java","32","1","39","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","0","0","0","0","0","2","0","0","1","1","0","0","1","8","8","3","3","0","0","1","0","1","0","17","1","1","16","4","8","8","3","3","0","0","1","0","1","0","17","1","1","16","4","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0"
