"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1189","ApplicationTest","com.github.paolorotolo.appintroexample.ApplicationTest","L1183","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\github\paolorotolo\appintroexample\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1201","SwipeLockTest","com.github.paolorotolo.appintroexample.SwipeLockTest","L1183","L103","D:\PR_assignment_src\AppIntro\example\src\androidTest\java\com\github\paolorotolo\appintroexample\SwipeLockTest.java","32","1","215","2","0","0","0","0","0","0","0","0","1","1","1","16","2","0","0","3","17","0","0.0933333","14","0","0","8","0.0933333","14","0","0","0","0","0","136","184","6","0","6","0","14","1","7","0","14","88","1","7","0","136","184","6","0","6","0","14","1","7","0","14","88","1","7","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L1290","ApplicationTest","com.github.paolorotolo.appintro.ApplicationTest","L1256","L103","D:\PR_assignment_src\AppIntro\library\src\androidTest\java\com\github\paolorotolo\appintroexample\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1036","AppIntro","com.github.paolorotolo.appintro.AppIntro","L1256","L103","D:\PR_assignment_src\AppIntro\library\src\main\java\com\github\paolorotolo\appintro\AppIntro.java","14","1","135","2","0","0","0","0","0","0","0","0","1","1","1","14","2","3","0","2","14","0.916667","0.5","55","55","11","1","0.5","55","2","2","3","3","1","55","122","36","5","1","1","12","0","11","10","71","24","1","59","35","55","122","36","5","1","1","12","0","11","10","71","24","1","59","35","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L994","AppIntro2","com.github.paolorotolo.appintro.AppIntro2","L1256","L103","D:\PR_assignment_src\AppIntro\library\src\main\java\com\github\paolorotolo\appintro\AppIntro2.java","13","1","69","2","0","0","0","0","0","0","0","0","2","1","1","7","2","3","3","3","9","0.6","0.333333","16","16","3","2","0.333333","16","2","2","3","3","1","32","57","39","5","4","1","6","0","4","3","65","10","1","52","28","32","57","39","5","4","1","6","0","4","3","65","10","1","52","28","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L1377","AppIntro2Fragment","com.github.paolorotolo.appintro.AppIntro2Fragment","L1256","L103","D:\PR_assignment_src\AppIntro\library\src\main\java\com\github\paolorotolo\appintro\AppIntro2Fragment.java","7","1","63","2","0.80597","2","2","2","0.614035","0.647059","35","33","1","0","0","5","2","0","0","0","5","0","0","0","0","0","5","0","0","2","3","0","0","1","51","57","19","2","0","1","5","0","4","0","13","27","0","12","1","51","57","19","2","0","1","5","0","4","0","13","27","0","12","1","0","0","36","0","0","0","0","0","19","0","0","0","0","0","0","13","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1295","AppIntroBase","com.github.paolorotolo.appintro.AppIntroBase","L1256","L103","D:\PR_assignment_src\AppIntro\library\src\main\java\com\github\paolorotolo\appintro\AppIntroBase.java","30","1","950","2","0","0","0","0","0","0","0","0","7","4","4","104","15","16","27","26","86","0.755102","0.340458","223","209","37","12","0.288973","228","1","1","2","8","1","432","768","35","5","35","5","60","1","48","25","60","199","1","48","25","561","921","35","5","35","5","69","1","57","25","69","263","1","57","25","0","0","107","0","0","0","0","0","0","0","2","4","0","2","0","82","0","0","0","0","0","0","0","17","0","0","0","0","0"
"L1378","AppIntroBaseFragment","com.github.paolorotolo.appintro.AppIntroBaseFragment","L1256","L103","D:\PR_assignment_src\AppIntro\library\src\main\java\com\github\paolorotolo\appintro\AppIntroBaseFragment.java","18","1","142","2","0","0","0","0","0","0","0","0","1","2","2","22","4","2","0","3","12","0","0","0","0","0","9","0","0","1","2","2","2","2","107","125","19","2","19","2","9","0","8","1","9","52","0","8","1","107","125","19","2","19","2","9","0","8","1","9","52","0","8","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","21","0","1","0","0","0","0","0","3","0","0","0","0","0"
"L1385","AppIntroFragment","com.github.paolorotolo.appintro.AppIntroFragment","L1256","L103","D:\PR_assignment_src\AppIntro\library\src\main\java\com\github\paolorotolo\appintro\AppIntroFragment.java","7","1","63","2","0.80597","2","2","2","0.614035","0.647059","35","33","1","0","0","5","1","6","5","0","5","0","0","0","0","0","5","0","0","2","3","0","0","1","51","57","19","2","0","1","5","0","4","0","13","27","0","12","1","51","57","19","2","0","1","5","0","4","0","13","27","0","12","1","0","0","36","0","0","0","0","0","19","0","0","0","0","0","0","13","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1472","AppIntroViewPager","com.github.paolorotolo.appintro.AppIntroViewPager","L1256","L103","D:\PR_assignment_src\AppIntro\library\src\main\java\com\github\paolorotolo\appintro\AppIntroViewPager.java","11","1","219","2","0.196911","1","6","2","0.133971","0.158621","28","23","2","3","3","43","4","4","11","4","22","0.285714","0.180233","31","24","4","10","0.176136","31","0","0","0","0","0","141","204","9","1","9","1","18","0","13","6","18","70","0","13","6","145","209","9","1","9","1","20","0","15","6","20","70","0","15","6","0","0","58","0","0","0","0","0","16","0","1","0","0","0","0","38","0","0","0","0","0","0","0","3","0","0","0","0","0"
