"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L141","ApplicationTest","com.chad.baserecyclerviewadapterhelper.ApplicationTest","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\androidTest\java\com\chad\baserecyclerviewadapterhelper\ApplicationTest.java","9","1","16","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","2","0.333333","0.3","3","3","1","2","0.3","3","0","0","0","0","0","7","8","0","0","0","0","2","0","2","0","2","1","0","2","0","7","8","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L603","AnimationUseActivity","com.chad.baserecyclerviewadapterhelper.AnimationUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\AnimationUseActivity.java","20","1","110","2","0","0","0","0","0","0","0","0","1","0","0","3","3","2","0","2","5","1","0.0882353","3","3","1","0","0.0340909","3","0","0","0","0","0","31","35","2","0","2","0","3","0","0","0","3","17","0","0","0","85","91","11","0","2","0","6","0","3","0","16","47","1","11","1","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L764","DataBindingUseActivity","com.chad.baserecyclerviewadapterhelper.DataBindingUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\DataBindingUseActivity.java","15","1","43","2","0","0","0","0","0","0","0","0","1","1","1","3","2","0","0","2","4","0","0","0","0","0","1","0","0","0","0","0","0","0","25","29","2","0","2","0","2","0","0","0","2","17","0","0","0","25","29","2","0","2","0","2","0","0","0","2","17","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L852","EmptyViewUseActivity","com.chad.baserecyclerviewadapterhelper.EmptyViewUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\EmptyViewUseActivity.java","14","1","83","2","0","0","0","0","0","0","0","0","1","0","0","4","2","3","2","3","7","0","0.0652174","3","0","0","2","0.0461538","3","0","0","0","0","0","43","51","7","0","7","0","4","0","1","0","4","21","0","1","0","62","70","7","0","7","0","7","0","4","0","7","30","0","4","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1064","ExpandableUseActivity","com.chad.baserecyclerviewadapterhelper.ExpandableUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\ExpandableUseActivity.java","24","1","86","2","0.297578","1","1","1","0.190476","0.24","12","12","1","3","3","6","7","0","0","8","11","1","0.0612245","3","3","1","0","0.0566038","3","0","0","0","0","0","46","59","1","1","1","1","3","0","0","0","3","38","0","0","0","50","63","1","1","1","1","4","0","1","0","4","39","0","1","0","0","0","34","0","0","0","0","0","21","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1110","HeaderAndFooterUseActivity","com.chad.baserecyclerviewadapterhelper.HeaderAndFooterUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\HeaderAndFooterUseActivity.java","20","1","105","2","0.227513","1","1","1","0.139535","0.162162","12","12","1","0","0","6","3","4","2","4","10","1","0.0566038","3","3","1","0","0.038961","3","0","0","0","0","0","50","62","3","4","3","4","6","0","0","0","6","26","0","0","0","74","86","12","4","3","4","12","0","6","0","22","32","1","14","1","0","0","67","0","0","0","0","0","20","0","0","0","0","0","0","44","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1179","HomeActivity","com.chad.baserecyclerviewadapterhelper.HomeActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\HomeActivity.java","20","1","58","2","0","0","0","0","0","0","0","0","1","1","1","3","4","1","0","5","7","1","0.0909091","3","3","1","0","0.0789474","3","0","0","0","0","0","30","34","5","0","5","0","2","0","0","0","2","18","0","0","0","35","39","14","0","5","0","3","0","1","0","13","20","1","9","1","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1205","ItemClickActivity","com.chad.baserecyclerviewadapterhelper.ItemClickActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\ItemClickActivity.java","19","1","59","2","0","0","0","0","0","0","0","0","2","0","0","3","4","0","0","3","6","0","0","0","0","0","2","0","0","0","0","0","0","0","30","37","4","0","4","0","3","0","1","0","3","15","0","1","0","34","41","13","0","4","0","4","0","2","0","14","16","1","10","1","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","14","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1199","ItemDragAndSwipeUseActivity","com.chad.baserecyclerviewadapterhelper.ItemDragAndSwipeUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\ItemDragAndSwipeUseActivity.java","30","1","133","2","0","0","0","0","0","0","0","0","1","1","1","4","6","2","0","9","12","1","0.0754717","4","3","1","0","0.0425532","4","0","0","0","0","0","49","58","6","1","6","1","3","0","0","0","3","33","0","0","0","90","104","6","1","6","1","10","0","7","0","10","53","0","7","0","0","0","32","0","0","0","0","0","0","0","2","0","0","1","0","28","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1186","MultipleItemUseActivity","com.chad.baserecyclerviewadapterhelper.MultipleItemUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\MultipleItemUseActivity.java","21","1","49","2","0","0","0","0","0","0","0","0","1","0","0","2","5","0","0","4","6","1","0.115385","3","3","1","0","0.1","3","0","0","0","0","0","23","25","1","1","1","1","2","0","0","0","2","14","0","0","0","27","29","1","2","1","2","3","0","1","0","3","15","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1191","PullToRefreshUseActivity","com.chad.baserecyclerviewadapterhelper.PullToRefreshUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\PullToRefreshUseActivity.java","24","1","126","2","0","0","0","0","0","0","0","0","1","0","0","5","4","3","0","6","11","0.333333","0.0740741","4","3","1","2","0.0652174","6","1","1","0","0","1","50","64","9","0","9","0","5","0","2","0","5","22","0","2","0","86","103","18","0","9","0","9","0","6","0","19","42","1","14","1","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L1202","RecyclerClickItemActivity","com.chad.baserecyclerviewadapterhelper.RecyclerClickItemActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\RecyclerClickItemActivity.java","20","1","160","2","0.368308","1","2","2","0.170213","0.303797","24","24","2","0","0","5","3","0","0","4","9","0.5","0.547368","52","6","1","1","0.396947","52","0","0","0","0","0","43","98","4","2","4","2","5","0","1","0","5","22","0","1","0","79","141","13","2","4","2","11","0","7","0","21","36","1","15","1","0","0","71","0","0","0","0","0","37","0","2","0","0","0","0","29","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1194","SectionUseActivity","com.chad.baserecyclerviewadapterhelper.SectionUseActivity","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\SectionUseActivity.java","21","1","55","2","0","0","0","0","0","0","0","0","1","0","0","1","4","1","0","2","3","1","0.157895","3","3","1","0","0.0967742","3","0","0","0","0","0","16","19","2","0","2","0","1","0","0","0","1","8","0","0","0","28","35","11","0","2","0","3","0","2","0","13","13","1","10","1","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1623","ExampleUnitTest","com.chad.baserecyclerviewadapterhelper.ExampleUnitTest","L106","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\test\java\com\chad\baserecyclerviewadapterhelper\ExampleUnitTest.java","7","1","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L170","DataBindingUseAdapter","com.chad.baserecyclerviewadapterhelper.adapter.DataBindingUseAdapter","L158","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\adapter\DataBindingUseAdapter.java","21","1","65","2","0","0","0","0","0","0","0","0","2","1","1","5","4","1","1","4","8","0.5","0.0967742","3","3","1","1","0.0769231","3","1","1","0","0","1","28","35","36","23","1","1","4","0","1","0","87","13","9","65","11","36","45","41","29","1","2","6","0","3","0","127","15","10","105","40","0","0","34","0","0","0","0","0","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","15","0","0","0","0","0"
"L246","DefAdpater","com.chad.baserecyclerviewadapterhelper.adapter.DefAdpater","L158","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\adapter\DefAdpater.java","21","1","67","2","0","0","0","0","0","0","0","0","1","0","0","5","3","0","0","7","11","0.2","0.1","3","3","1","4","0.0666667","3","0","0","0","0","0","27","31","3","1","3","1","4","0","4","0","4","11","0","4","0","42","47","8","1","8","1","5","0","5","0","5","17","0","5","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L329","ExpandableItemAdapter","com.chad.baserecyclerviewadapterhelper.adapter.ExpandableItemAdapter","L158","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\adapter\ExpandableItemAdapter.java","20","1","95","2","0","0","0","0","0","0","0","0","1","1","1","7","8","7","1","5","7","1","0.1875","9","9","2","0","0.118421","9","2","2","0","0","1","39","48","41","24","4","0","2","3","1","0","91","14","12","66","12","67","76","41","24","4","0","5","3","4","0","94","27","12","69","12","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L430","HomeAdapter","com.chad.baserecyclerviewadapterhelper.adapter.HomeAdapter","L158","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\adapter\HomeAdapter.java","17","1","35","2","0","0","0","0","0","0","0","0","2","1","1","4","3","1","1","6","9","0.5","0.15","3","3","1","1","0.15","3","1","1","0","0","1","17","19","35","22","0","0","3","0","1","0","86","7","9","65","11","17","19","35","22","0","0","3","0","1","0","86","7","9","65","11","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L462","ItemClickAdapter","com.chad.baserecyclerviewadapterhelper.adapter.ItemClickAdapter","L158","L103","D:\PR_assignment_src\BaseRecyclerViewAdapterHelper\app\src\main\java\com\chad\baserecyclerviewadapterhelper\adapter\ItemClickAdapter.java","13","1","44","2","0","0","0","0","0","0","0","0","1","1","1","6","3","1","1","4","6","0.5","0.125","4","3","1","1","0.125","4","2","2","0","0","1","28","32","37","24","0","0","2","0","1","0","91","14","9","66","12","28","32","37","24","0","0","2","0","1","0","91","14","9","66","12","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","7","0","0","0","0","0"
