"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5848","MyCrashHandler","com.morgoo.droidplugin.MyCrashHandler","L106","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\MyCrashHandler.java","44","1","176","2","0","0","0","0","0","0","0","0","1","3","3","18","2","1","1","2","7","0.2","0.0263158","3","3","1","4","0.0263158","3","0","0","0","0","0","111","133","6","3","6","3","5","0","4","0","5","74","0","4","0","111","133","6","3","6","3","5","0","4","0","5","74","0","4","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L5920","PluginApplication","com.morgoo.droidplugin.PluginApplication","L106","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginApplication.java","31","1","47","2","0","0","0","0","0","0","0","0","2","0","0","2","1","0","0","3","5","0.5","0.1875","3","3","1","1","0.1875","3","0","0","0","0","0","13","17","1","0","1","0","2","0","1","0","2","4","0","1","0","13","17","1","0","1","0","2","0","1","0","2","4","0","1","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5941","PluginHelper","com.morgoo.droidplugin.PluginHelper","L106","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginHelper.java","46","1","188","2","0","0","0","0","0","0","0","0","4","3","3","28","8","1","2","18","27","0.166667","0.0725806","9","6","1","5","0.0725806","9","0","0","0","0","0","115","143","3","1","3","1","9","0","5","0","9","63","0","5","0","115","143","3","1","3","1","9","0","5","0","9","63","0","5","0","0","0","23","0","0","0","0","0","0","0","1","0","0","1","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3080","PluginManagerService","com.morgoo.droidplugin.PluginManagerService","L106","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginManagerService.java","38","1","86","2","0","0","0","0","0","0","0","0","2","1","1","7","2","2","0","4","9","0.2","0.152174","7","5","1","4","0.152174","7","0","0","0","0","0","39","49","2","0","2","0","5","0","4","0","5","17","0","4","0","39","49","2","0","2","0","5","0","4","0","5","17","0","4","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6046","PluginPatchManager","com.morgoo.droidplugin.PluginPatchManager","L106","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\droidplugin\PluginPatchManager.java","16","1","91","2","0","0","0","0","0","0","0","0","1","2","2","17","1","3","3","3","9","0.4","0.0806452","5","5","2","3","0.0757576","5","0","0","0","0","0","57","72","8","1","8","1","6","0","4","0","6","29","0","4","0","61","76","8","1","8","1","7","0","5","0","7","30","0","5","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L528","AttributeCache","com.morgoo.helper.AttributeCache","L8675","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\helper\AttributeCache.java","36","1","141","2","0","0","0","0","0","0","0","0","1","3","3","15","2","1","2","2","8","0.142857","0.0875","7","4","1","6","0.0729167","7","0","0","0","0","0","73","88","4","0","4","0","6","0","6","0","6","36","0","6","0","89","106","8","0","8","0","8","3","8","0","8","39","3","8","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L6969","ComponentNameComparator","com.morgoo.helper.ComponentNameComparator","L8675","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\helper\ComponentNameComparator.java","30","1","48","2","0","0","0","0","0","0","0","0","1","4","2","9","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","18","19","0","0","0","0","1","0","1","0","1","9","0","1","0","18","19","0","0","0","0","1","0","1","0","1","9","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9159","Log","com.morgoo.helper.Log","L8675","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\helper\Log.java","42","1","261","2","0.0393343","3","20","3","0.0590909","0.0730337","13","13","1","3","3","47","2","52","132","2","27","0.0555556","0.0274725","5","3","1","17","0.0268817","5","0","0","0","0","0","177","216","15","2","15","2","25","0","17","0","25","73","0","17","0","181","220","15","2","15","2","26","0","18","0","26","74","0","18","0","0","0","70","0","0","0","0","0","8","0","0","0","0","0","0","58","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L9324","MyProxy","com.morgoo.helper.MyProxy","L8675","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\helper\MyProxy.java","33","1","90","2","0","0","0","0","0","0","0","0","2","2","2","15","0","11","14","0","2","0.666667","0.4","22","6","2","1","0.4","22","0","0","0","0","0","33","58","0","0","0","0","2","0","2","0","2","17","0","2","0","33","58","0","0","0","0","2","0","2","0","2","17","0","2","0","0","0","5","0","0","0","0","0","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9340","Utils","com.morgoo.helper.Utils","L8675","L103","D:\PR_assignment_src\DroidPlugin\project\Libraries\DroidPlugin\src\com\morgoo\helper\Utils.java","43","1","173","2","0","0","0","0","0","0","0","0","6","3","3","26","1","3","8","1","10","0.125","0.0252101","3","3","1","7","0.0252101","3","0","0","0","0","0","116","131","5","1","5","1","9","0","7","0","9","65","0","7","0","116","131","5","1","5","1","9","0","7","0","9","65","0","7","0","0","0","22","0","0","0","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
