"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4144","CTest","com.google.android.exoplayer2.CTest","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\androidTest\java\com\google\android\exoplayer2\CTest.java","25","1","35","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0.5","0.333333","4","3","1","1","0.333333","4","0","0","0","0","0","8","11","0","0","0","0","1","0","1","0","1","3","0","1","0","8","11","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12235","FormatTest","com.google.android.exoplayer2.FormatTest","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\androidTest\java\com\google\android\exoplayer2\FormatTest.java","40","1","143","2","0","0","0","0","0","0","0","0","1","1","1","11","7","0","0","9","15","0.333333","0.0631579","6","3","1","2","0.0631579","6","0","0","0","0","0","89","104","1","0","1","0","6","0","2","0","6","44","0","2","0","89","104","1","0","1","0","6","0","2","0","6","44","0","2","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3532","BaseRenderer","com.google.android.exoplayer2.BaseRenderer","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\BaseRenderer.java","27","1","287","2","0","0","0","0","0","0","0","0","3","2","2","32","11","7","36","6","34","0.210526","0.423581","97","90","4","15","0.423581","97","2","3","5","11","2","132","261","19","7","7","6","28","0","18","2","33","45","12","23","2","132","261","19","7","7","6","28","0","18","2","33","45","12","23","2","0","0","43","0","0","0","0","0","0","0","1","0","0","1","0","33","0","1","0","0","0","0","0","7","0","0","0","0","0"
"L6164","C","com.google.android.exoplayer2.C","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\C.java","30","1","462","2","0","0","0","0","0","0","0","0","1","0","0","5","0","204","21","0","3","1","0.732955","258","258","3","0","0.699248","279","0","0","0","0","0","94","407","73","0","73","0","3","73","2","0","3","2","73","2","0","120","433","73","0","73","0","3","73","2","0","3","2","73","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L927","DefaultLoadControl","com.google.android.exoplayer2.DefaultLoadControl","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\DefaultLoadControl.java","27","1","167","2","0","0","0","0","0","0","0","0","1","2","2","22","8","3","3","7","19","0.363636","0.333333","41","41","4","7","0.333333","41","1","1","0","0","1","82","141","14","2","14","2","12","4","10","0","12","29","4","10","0","82","141","14","2","14","2","12","4","10","0","12","29","4","10","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L346","ExoPlaybackException","com.google.android.exoplayer2.ExoPlaybackException","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\ExoPlaybackException.java","28","1","135","2","0","0","0","0","0","0","0","0","1","0","0","7","3","32","14","1","8","1","0.631579","60","60","6","0","0.623762","63","0","0","0","0","0","35","105","5","3","5","3","7","5","5","0","7","12","5","5","0","38","108","5","3","5","3","7","5","5","0","7","12","5","5","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L25920","ExoPlayerFactory","com.google.android.exoplayer2.ExoPlayerFactory","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\ExoPlayerFactory.java","27","1","131","2","0","0","0","0","0","0","0","0","2","0","0","7","9","5","5","3","10","1","0.686869","68","68","7","0","0.686869","68","0","0","0","0","0","31","105","1","0","1","0","7","1","6","0","7","6","1","6","0","31","105","1","0","1","0","7","1","6","0","7","6","1","6","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L25967","ExoPlayerImpl","com.google.android.exoplayer2.ExoPlayerImpl","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\ExoPlayerImpl.java","33","15","338","2","0","0","0","0","0","0","0","0","1","3","3","65","16","3","3","26","52","0.0769231","0.0581818","16","15","2","24","0.0573477","16","1","1","0","0","1","259","302","20","10","16","10","26","0","25","1","26","118","4","25","1","263","306","20","10","16","10","27","0","26","1","27","119","4","26","1","0","0","70","0","0","0","0","0","0","0","0","1","0","1","0","58","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L25978","ExoPlayerImplInternal<T extends Object>","com.google.android.exoplayer2.ExoPlayerImplInternal","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\ExoPlayerImplInternal.java","43","15","1302","2","0","0","0","0","0","0","0","0","1","6","6","241","28","2","9","69","113","0.357143","0.0818713","84","16","5","9","0.0831874","95","2","4","0","0","3","942","1129","53","1","53","1","44","6","13","5","44","577","6","13","5","1047","1260","75","1","75","1","54","22","23","7","54","622","22","23","7","0","0","169","0","0","0","0","0","0","0","0","14","0","8","0","115","0","1","0","0","0","0","0","31","0","0","0","0","0"
"L461","Format","com.google.android.exoplayer2.Format","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\Format.java","35","1","596","2","0","0","0","0","0","0","0","0","2","2","2","87","6","118","53","2","34","0.321429","0.2334","116","116","9","19","0.229703","116","0","0","0","0","0","381","551","28","2","28","2","32","26","27","0","32","165","26","27","0","389","562","28","2","28","2","34","26","29","0","34","167","26","29","0","0","0","101","0","0","0","0","0","0","0","2","1","0","0","0","72","0","0","0","0","0","0","0","26","0","0","0","0","0"
"L3549","FormatHolder","com.google.android.exoplayer2.FormatHolder","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\FormatHolder.java","21","1","28","2","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","0","1","0.666667","6","6","1","0","0.666667","6","0","0","0","0","0","3","8","1","0","1","0","0","1","0","0","0","0","1","0","0","3","8","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1320","ParserException","com.google.android.exoplayer2.ParserException","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\ParserException.java","23","1","51","2","0","0","0","0","0","0","0","0","0","0","0","4","0","39","58","0","4","0.8","0.481481","13","13","4","1","0.481481","13","0","0","3","3","0","14","29","0","0","0","0","4","0","4","0","4","4","0","4","0","14","29","0","0","0","0","4","0","4","0","4","4","0","4","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L731","SimpleExoPlayer","com.google.android.exoplayer2.SimpleExoPlayer","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\SimpleExoPlayer.java","56","1","864","2","0.0911099","1","9","3","0.0444994","0.0611111","36","33","1","2","2","82","30","7","19","34","84","0.5","0.261044","130","110","23","23","0.235127","166","1","1","0","0","1","368","566","29","19","25","19","50","0","45","13","50","154","4","45","13","540","809","30","19","26","19","77","1","72","13","77","214","5","72","13","0","0","145","0","0","0","0","0","9","0","1","0","0","3","0","108","0","1","0","0","0","0","0","23","0","0","0","0","0"
"L280","Timeline","com.google.android.exoplayer2.Timeline","L107","L103","D:\PR_assignment_src\ExoPlayer\library\src\main\java\com\google\android\exoplayer2\Timeline.java","92","1","356","2","0","0","0","0","0","0","0","0","0","0","0","7","2","30","33","0","7","1","0.903704","122","122","8","0","0.716172","217","0","0","4","4","0","13","90","0","7","0","7","7","0","7","0","7","2","0","7","0","86","265","15","17","15","17","19","10","19","0","19","29","10","19","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","17","0","0","0","0","0"
"L159","DemoApplication","com.google.android.exoplayer2.demo.DemoApplication","L144","L103","D:\PR_assignment_src\ExoPlayer\demo\src\main\java\com\google\android\exoplayer2\demo\DemoApplication.java","29","1","48","2","0","0","0","0","0","0","0","0","1","0","0","3","8","1","2","3","6","0.5","0.166667","3","3","1","1","0.166667","3","0","0","0","0","0","15","20","1","0","1","0","3","0","1","0","3","4","0","1","0","15","20","1","0","1","0","3","0","1","0","3","4","0","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
