"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1089","FizzBuzzTest","FizzBuzzTest","L1084","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\test\java\FizzBuzzTest.java","17","1","68","2","0","0","0","0","0","0","0","0","1","0","0","4","2","0","0","1","5","0","0","0","0","0","4","0","0","0","0","0","0","0","44","52","2","0","2","0","4","0","3","1","4","27","0","3","1","44","52","2","0","2","0","4","0","3","1","4","27","0","3","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1189","TestConstants","TestConstants","L1084","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\test\java\TestConstants.java","1","1","42","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","39","42","34","0","34","0","1","0","0","0","1","1","0","0","0","39","42","34","0","34","0","1","0","0","0","1","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L128","ApplicationContextHolder","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl.ApplicationContextHolder","L110","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\ApplicationContextHolder.java","8","1","25","2","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","13","18","1","1","1","1","3","0","2","1","3","3","0","2","1","13","18","1","1","1","1","3","0","2","1","3","3","0","2","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L145","Constants","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl.Constants","L110","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\Constants.java","3","1","20","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","16","18","14","0","14","0","0","14","0","0","0","0","14","0","0","16","18","14","0","14","0","0","14","0","0","0","0","14","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L482","Main","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl.Main","L110","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\Main.java","11","1","23","2","0","0","0","0","0","0","0","0","1","0","0","1","4","0","0","3","4","0","0","0","0","0","2","0","0","0","0","0","0","0","9","13","0","0","0","0","1","0","1","0","1","5","0","1","0","9","13","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L710","StandardFizzBuzz","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl.StandardFizzBuzz","L110","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\StandardFizzBuzz.java","10","1","27","2","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","2","4","0","0","0","0","0","3","0","0","1","1","0","0","1","14","18","1","0","1","0","2","0","2","0","2","4","0","2","0","14","18","1","0","1","0","2","0","2","0","2","4","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L184","BuzzStrategyFactory","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl.factories.BuzzStrategyFactory","L167","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\factories\BuzzStrategyFactory.java","10","1","26","2","0","0","0","0","0","0","0","0","1","0","0","2","3","1","1","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","13","17","1","0","1","0","2","0","2","0","2","3","0","2","0","13","17","1","0","1","0","2","0","2","0","2","3","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L202","BuzzStringPrinterFactory","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl.factories.BuzzStringPrinterFactory","L167","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\factories\BuzzStringPrinterFactory.java","10","1","26","2","0","0","0","0","0","0","0","0","1","0","0","2","3","1","1","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","13","17","1","0","1","0","2","0","2","0","2","3","0","2","0","13","17","1","0","1","0","2","0","2","0","2","3","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L217","BuzzStringReturnerFactory","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl.factories.BuzzStringReturnerFactory","L167","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\factories\BuzzStringReturnerFactory.java","10","1","26","2","0","0","0","0","0","0","0","0","1","0","0","2","3","1","1","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","13","17","1","0","1","0","2","0","2","0","2","3","0","2","0","13","17","1","0","1","0","2","0","2","0","2","3","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L232","EnterpriseGradeFizzBuzzSolutionStrategyFactory","com.seriouscompany.business.java.fizzbuzz.packagenamingpackage.impl.factories.EnterpriseGradeFizzBuzzSolutionStrategyFactory","L167","L103","D:\PR_assignment_src\FizzBuzzEnterpriseEdition\src\main\java\com\seriouscompany\business\java\fizzbuzz\packagenamingpackage\impl\factories\EnterpriseGradeFizzBuzzSolutionStrategyFactory.java","9","1","25","2","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","13","17","1","0","1","0","2","0","2","0","2","3","0","2","0","13","17","1","0","1","0","2","0","2","0","2","3","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
