"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L126","ApplicationTest","com.morristaedt.mirror.ApplicationTest","L106","L103","D:\PR_assignment_src\HomeMirror\app\src\androidTest\java\com\morristaedt\mirror\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L343","MirrorActivity","com.morristaedt.mirror.MirrorActivity","L106","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","37","1","311","2","0","0","0","0","0","0","0","0","2","3","2","25","19","9","0","29","35","0","0.0523256","9","0","0","2","0.0406504","10","0","0","0","0","0","163","199","23","0","23","0","6","0","1","1","6","83","0","1","1","236","275","23","0","23","0","16","0","11","1","16","115","0","11","1","0","0","70","0","0","0","0","0","0","0","2","1","0","2","0","62","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L625","MirrorApplication","com.morristaedt.mirror.MirrorApplication","L106","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorApplication.java","13","1","22","2","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0","1","2","0.5","0.25","3","3","1","1","0.25","3","0","0","0","0","0","9","10","0","0","0","0","1","0","1","0","1","3","0","1","0","9","10","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L622","SetUpActivity","com.morristaedt.mirror.SetUpActivity","L106","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\SetUpActivity.java","27","1","316","2","0.117052","1","3","3","0.151724","0.163793","44","38","1","2","2","12","1","8","1","23","27","0","0","0","0","0","1","0","0","0","0","0","0","0","153","197","31","0","31","0","4","0","0","1","4","87","0","0","1","232","290","31","0","31","0","20","0","16","1","20","116","0","16","1","0","0","147","0","0","0","0","0","71","0","4","0","0","1","0","64","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L142","ConfigurationSettings","com.morristaedt.mirror.configuration.ConfigurationSettings","L139","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\configuration\ConfigurationSettings.java","17","1","252","2","0","0","0","0","0","0","0","0","3","0","0","34","1","12","17","0","33","0.0606061","0.0572917","11","11","2","31","0.0572917","11","0","0","0","0","0","181","236","29","7","29","7","33","0","32","14","33","83","0","32","14","181","236","29","7","29","7","33","0","32","14","33","83","0","32","14","0","0","79","0","0","0","0","0","0","0","1","0","0","0","0","67","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L382","MirrorActivity$1","com.morristaedt.mirror.MirrorActivity$1","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","58","83","68","6","0","0","0","0","0","0","0","0","1","1","1","2","3","0","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","11","11","0","0","0","0","1","0","1","0","1","4","0","1","0","11","11","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L403","MirrorActivity$2","com.morristaedt.mirror.MirrorActivity$2","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","70","102","80","6","0","0","0","0","0","0","0","0","1","1","1","2","5","0","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","11","11","0","0","0","0","1","0","1","0","1","4","0","1","0","11","11","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L429","MirrorActivity$3","com.morristaedt.mirror.MirrorActivity$3","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","82","103","100","6","0","0","0","0","0","0","0","0","2","1","1","6","3","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","18","19","0","0","0","0","2","0","2","0","2","7","0","2","0","18","19","0","0","0","0","2","0","2","0","2","7","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L447","MirrorActivity$4","com.morristaedt.mirror.MirrorActivity$4","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","102","83","113","6","0","0","0","0","0","0","0","0","1","1","1","2","3","0","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","12","12","0","0","0","0","1","0","1","0","1","5","0","1","0","12","12","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L458","MirrorActivity$5","com.morristaedt.mirror.MirrorActivity$5","L343","L103","D:\PR_assignment_src\HomeMirror\app\src\main\java\com\morristaedt\mirror\MirrorActivity.java","115","83","126","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","12","12","0","0","0","0","2","0","2","0","2","3","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
