"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L8643","HystrixCommandMetricsSamples","com.netflix.hystrix.HystrixCommandMetricsSamples","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-contrib\hystrix-rx-netty-metrics-stream\src\test\java\com\netflix\hystrix\HystrixCommandMetricsSamples.java","27","1","63","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0.466667","7","7","1","0","0.184211","7","0","0","0","0","0","8","14","1","0","1","0","0","1","0","0","0","0","1","0","0","31","37","50","4","1","0","4","1","3","0","39","4","1","31","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L9213","AbstractCommand<R extends Object>","com.netflix.hystrix.AbstractCommand","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\AbstractCommand.java","59","14","2181","2","0.120728","9","36","15","0.0960904","0.132902","204","185","4","5","5","152","52","114","371","81","164","0.83871","0.362085","382","316","26","5","0.261146","492","2","3","2","166","2","673","1219","28","29","28","29","83","0","30","1","83","316","0","30","1","1392","2123","49","34","49","34","180","13","120","1","211","615","13","151","1","0","0","706","0","0","0","0","0","237","0","6","3","0","9","0","403","0","2","0","0","0","0","0","46","0","0","0","0","0"
"L6695","ExecutionResult","com.netflix.hystrix.ExecutionResult","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\ExecutionResult.java","32","1","379","2","0.0526316","1","1","1","0.0316092","0.0378007","11","11","1","2","2","44","3","25","82","5","35","0.0689655","0.102564","20","17","2","27","0.0643087","20","0","0","0","0","0","175","218","14","9","14","9","30","0","28","7","30","56","0","28","7","291","348","18","10","18","10","41","0","34","7","41","129","0","34","7","0","0","104","0","0","0","0","0","8","0","0","0","0","0","0","86","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L11359","Hystrix","com.netflix.hystrix.Hystrix","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\Hystrix.java","32","1","208","2","0","0","0","0","0","0","0","0","1","2","2","13","10","22","33","14","22","1","0.45098","46","37","4","0","0.306748","50","0","0","0","0","0","56","111","2","2","2","2","8","0","3","0","8","27","0","3","0","113","177","5","2","5","2","16","2","10","0","16","53","2","10","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L9569","HystrixCachedObservable<R extends Object>","com.netflix.hystrix.HystrixCachedObservable","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\HystrixCachedObservable.java","8","1","51","2","0","0","0","0","0","0","0","0","2","0","0","5","2","10","7","1","6","0","0","0","0","0","5","0","0","0","0","2","2","0","27","33","3","0","3","0","5","0","4","0","5","7","0","4","0","38","44","3","0","3","0","7","0","6","0","7","11","0","6","0","0","0","24","0","0","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3826","HystrixCollapser<BatchReturnType extends Object, ResponseType extends Object, RequestArgumentType extends Object>","com.netflix.hystrix.HystrixCollapser","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\HystrixCollapser.java","65","1","617","2","0.336842","5","11","5","0.106691","0.248705","59","48","3","2","2","29","21","31","62","16","37","1","0.69209","245","228","10","0","0.632381","332","2","3","8","14","2","109","390","6","7","6","7","21","0","9","0","22","47","0","10","0","193","553","11","9","11","9","37","2","24","3","39","81","2","26","3","0","0","101","0","0","0","0","0","49","0","3","0","0","2","0","34","0","1","0","0","0","0","0","12","0","0","0","0","0"
"L312","HystrixCollapserMetrics","com.netflix.hystrix.HystrixCollapserMetrics","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\HystrixCollapserMetrics.java","37","1","208","2","0","0","0","0","0","0","0","0","3","1","1","20","12","83","71","15","33","0.352941","0.386861","53","46","6","11","0.350993","53","1","1","0","0","1","84","158","11","14","10","12","18","2","16","0","21","28","2","18","0","98","172","11","14","10","12","20","2","18","0","23","35","2","20","0","0","0","44","0","0","0","0","0","0","0","1","0","0","1","0","33","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L316","HystrixCollapserProperties","com.netflix.hystrix.HystrixCollapserProperties","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\HystrixCollapserProperties.java","32","1","371","2","0","0","0","0","0","0","0","0","2","0","0","17","5","67","40","15","32","1","0.47561","78","67","13","0","0.36039","111","0","0","2","2","0","86","185","18","2","18","2","17","0","12","0","17","25","0","12","0","197","340","29","15","29","13","43","1","35","0","61","60","1","48","0","0","0","89","0","0","0","0","0","0","0","3","0","0","1","0","62","0","0","0","0","0","0","0","23","0","0","0","0","0"
"L3854","HystrixCommand<R extends Object>","com.netflix.hystrix.HystrixCommand","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\HystrixCommand.java","46","1","488","2","0.204783","2","7","3","0.0835214","0.203297","37","37","3","5","4","24","21","128","219","6","21","1","0.593496","146","137","3","0","0.559322","231","3","5","61","110","4","100","271","30","30","2","4","15","0","2","0","94","40","0","33","1","182","443","35","30","7","4","29","0","15","0","108","71","0","46","1","0","0","96","0","0","0","0","0","44","0","3","2","0","1","0","36","0","3","0","0","0","0","0","7","0","0","0","0","0"
"L266","HystrixCommandMetrics","com.netflix.hystrix.HystrixCommandMetrics","L106","L103","D:\PR_assignment_src\Hystrix\hystrix-core\src\main\java\com\netflix\hystrix\HystrixCommandMetrics.java","42","1","439","2","0","0","0","0","0","0","0","0","2","3","3","30","26","130","238","27","52","0.75","0.5","142","141","15","5","0.409972","148","1","1","0","0","1","142","317","17","21","16","19","25","2","19","0","28","60","2","21","0","213","398","21","24","20","22","34","2","27","0","37","95","2","29","0","0","0","65","0","0","0","0","0","0","0","2","0","0","1","0","48","0","0","0","0","0","0","0","14","0","0","0","0","0"
