"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L146","AnotherBarActivity","com.xxmassdeveloper.mpchartexample.AnotherBarActivity","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\AnotherBarActivity.java","26","1","200","2","0.614407","15","81","15","0.565714","0.6","99","78","4","2","2","24","17","1","0","39","45","0","0.0507246","7","0","0","6","0.0507246","7","1","1","0","0","1","131","175","9","1","5","0","6","0","5","0","9","81","0","6","0","131","175","9","1","5","0","6","0","5","0","9","81","0","6","0","0","0","38","0","0","0","0","0","21","0","1","1","0","4","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L364","BarChartActivity","com.xxmassdeveloper.mpchartexample.BarChartActivity","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivity.java","43","1","291","2","0.398821","13","79","13","0.365462","0.397849","91","74","5","2","2","28","34","1","0","69","78","0","0.0833333","17","0","0","8","0.0833333","17","1","2","0","0","2","187","249","10","1","6","0","9","0","7","1","12","125","0","8","1","187","249","10","1","6","0","9","0","7","1","12","125","0","8","1","0","0","48","0","0","0","0","0","21","0","1","1","0","6","0","17","0","1","0","0","0","0","0","1","0","0","0","0","0"
"L522","BarChartActivityMultiDataset","com.xxmassdeveloper.mpchartexample.BarChartActivityMultiDataset","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivityMultiDataset.java","33","1","270","2","0.30533","10","26","10","0.310924","0.311475","74","57","6","2","2","25","27","1","0","64","72","0","0.0862944","17","0","0","8","0.0845771","17","1","2","0","0","2","180","234","9","1","5","0","8","0","7","0","11","129","0","8","0","184","238","9","2","5","1","9","0","8","0","12","130","0","9","0","0","0","48","0","0","0","0","0","19","0","1","1","0","6","0","20","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L619","BarChartActivitySinus","com.xxmassdeveloper.mpchartexample.BarChartActivitySinus","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartActivitySinus.java","30","1","229","2","0.400507","14","80","14","0.425","0.436242","85","65","4","2","2","25","22","1","0","56","63","0","0.0625","10","0","0","6","0.0625","10","1","1","0","0","1","150","200","8","1","4","0","7","0","5","1","10","97","0","6","1","150","200","8","1","4","0","7","0","5","1","10","97","0","6","1","0","0","39","0","0","0","0","0","19","0","1","1","0","5","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L662","BarChartPositiveNegative","com.xxmassdeveloper.mpchartexample.BarChartPositiveNegative","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BarChartPositiveNegative.java","27","1","173","2","0","0","0","0","0","0","0","0","1","2","2","6","18","1","0","49","51","0","0.043956","4","0","0","1","0.0588235","7","1","1","0","0","1","87","117","6","1","2","0","2","0","0","1","5","73","0","1","1","112","147","10","3","6","2","6","3","4","1","9","79","3","5","1","0","0","33","0","0","0","0","0","0","0","0","0","0","3","0","24","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L781","BubbleChartActivity","com.xxmassdeveloper.mpchartexample.BubbleChartActivity","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\BubbleChartActivity.java","32","1","239","2","0.457207","15","64","15","0.399038","0.436709","83","69","6","2","2","22","24","1","0","51","59","0","0.0421687","7","0","0","8","0.0421687","7","1","2","0","0","2","159","208","9","1","5","0","8","0","7","0","11","110","0","8","0","159","208","9","1","5","0","8","0","7","0","11","110","0","8","0","0","0","42","0","0","0","0","0","21","0","1","1","0","5","0","13","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L856","CandleStickChartActivity","com.xxmassdeveloper.mpchartexample.CandleStickChartActivity","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\CandleStickChartActivity.java","28","1","207","2","0.440268","9","29","9","0.394444","0.438462","71","57","4","2","2","21","16","1","0","39","45","0","0.0774648","11","0","0","6","0.0774648","11","1","1","0","0","1","131","180","9","1","5","0","6","0","5","0","9","84","0","6","0","131","180","9","1","5","0","6","0","5","0","9","84","0","6","0","0","0","36","0","0","0","0","0","19","0","1","1","0","4","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L934","CombinedChartActivity","com.xxmassdeveloper.mpchartexample.CombinedChartActivity","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\CombinedChartActivity.java","39","1","270","2","0","0","0","0","0","0","0","0","2","3","3","20","37","1","0","76","84","0","0.0497238","9","0","0","3","0.0486486","9","1","1","0","0","1","172","228","6","1","2","0","8","0","2","0","11","144","0","3","0","176","232","6","2","2","1","9","0","3","0","12","145","0","4","0","0","0","31","0","0","0","0","0","0","0","1","0","0","6","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1076","CubicLineChartActivity","com.xxmassdeveloper.mpchartexample.CubicLineChartActivity","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\CubicLineChartActivity.java","29","1","314","2","0.585626","16","119","19","0.548951","0.588785","157","126","4","3","3","37","22","1","0","61","68","0","0.073913","17","0","0","6","0.0726496","17","1","1","0","0","1","213","282","9","1","5","0","7","0","5","1","10","134","0","6","1","217","286","9","2","5","1","8","0","6","1","11","135","0","7","1","0","0","50","0","0","0","0","0","22","0","1","1","0","5","0","18","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1477","DrawChartActivity","com.xxmassdeveloper.mpchartexample.DrawChartActivity","L106","L103","D:\PR_assignment_src\MPAndroidChart\MPChartExample\src\com\xxmassdeveloper\mpchartexample\DrawChartActivity.java","34","1","174","2","0.355408","9","52","9","0.283688","0.350515","40","34","6","2","2","17","20","0","0","34","43","0.375","0.169492","20","8","3","5","0.169492","20","1","3","0","0","3","98","141","5","1","1","0","9","0","7","0","12","50","0","8","0","98","141","5","1","1","0","9","0","7","0","12","50","0","8","0","0","0","34","0","0","0","0","0","12","0","1","0","0","3","0","17","0","1","0","0","0","0","0","0","0","0","0","0","0"
