"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L137","ApplicationTest","com.lgvalle.material_animations.ApplicationTest","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\androidTest\java\com\lgvalle\material_animations\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L150","AnimationsActivity1","com.lgvalle.material_animations.AnimationsActivity1","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity1.java","16","1","98","2","0","0","0","0","0","0","0","0","1","1","1","8","2","4","2","1","7","0","0","0","0","0","1","0","0","1","1","0","0","1","57","69","10","0","6","0","6","0","0","0","9","29","0","1","0","71","83","10","0","6","0","9","0","3","0","12","34","0","4","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L237","AnimationsActivity2","com.lgvalle.material_animations.AnimationsActivity2","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\AnimationsActivity2.java","18","1","145","2","0.0359066","2","2","2","0.117188","0.108108","15","12","1","0","0","4","2","8","0","1","5","0","0","0","0","0","1","0","0","1","1","0","0","1","58","70","11","0","7","0","4","0","0","0","7","31","0","1","0","111","128","11","0","7","0","15","0","11","0","18","46","0","12","0","0","0","89","0","0","0","0","0","33","0","1","0","0","0","0","54","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L151","BaseDetailActivity","com.lgvalle.material_animations.BaseDetailActivity","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\BaseDetailActivity.java","13","1","37","2","0","0","0","0","0","0","0","0","3","0","0","3","0","12","12","0","3","0.5","0.12","3","3","1","1","0.12","3","0","0","7","7","0","22","25","4","0","4","0","3","0","1","0","3","9","0","1","0","22","25","4","0","4","0","3","0","1","0","3","9","0","1","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L384","MainActivity","com.lgvalle.material_animations.MainActivity","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\MainActivity.java","15","1","59","2","0","0","0","0","0","0","0","0","1","0","0","5","2","0","0","1","6","0","0.025","1","0","0","1","0.025","1","0","0","0","0","0","39","45","1","0","1","0","5","0","0","0","5","20","0","0","0","39","45","1","0","1","0","5","0","0","0","5","20","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L408","RevealActivity","com.lgvalle.material_animations.RevealActivity","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\RevealActivity.java","28","1","291","2","0.0430293","2","4","4","0.147727","0.131579","39","30","4","2","2","22","2","8","7","1","19","0","0","0","0","0","2","0.00436681","1","1","1","0","0","1","151","172","10","0","6","0","18","0","1","0","21","87","0","2","0","228","264","10","0","6","0","38","0","21","0","41","104","0","22","0","0","0","191","0","0","0","0","0","82","0","4","0","0","0","0","103","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L175","Sample","com.lgvalle.material_animations.Sample","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\Sample.java","13","1","38","2","0","0","0","0","0","0","0","0","0","0","0","4","0","11","1","0","4","0.2","0.181818","4","3","1","4","0.181818","4","0","0","0","0","0","18","26","2","2","2","2","4","0","4","1","4","5","0","4","1","18","26","2","2","2","2","4","0","4","1","4","5","0","4","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L405","SamplesRecyclerAdapter","com.lgvalle.material_animations.SamplesRecyclerAdapter","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\SamplesRecyclerAdapter.java","17","1","98","2","0","0","0","0","0","0","0","0","2","0","0","8","3","2","1","2","10","0","0","0","0","0","5","0","0","0","0","0","0","0","45","56","2","1","2","1","8","0","4","0","8","18","0","4","0","69","82","3","1","3","1","10","0","6","0","10","29","0","6","0","0","0","30","0","0","0","0","0","0","0","1","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L688","SharedElementActivity","com.lgvalle.material_animations.SharedElementActivity","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\SharedElementActivity.java","11","1","48","2","0","0","0","0","0","0","0","0","1","0","0","4","3","1","0","2","6","0","0.09375","3","0","0","1","0.09375","3","1","1","0","0","1","29","38","4","0","0","0","4","0","0","0","7","16","0","1","0","29","38","4","0","0","0","4","0","0","0","7","16","0","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L735","SharedElementFragment1","com.lgvalle.material_animations.SharedElementFragment1","L106","L103","D:\PR_assignment_src\Material-Animations\app\src\main\java\com\lgvalle\material_animations\SharedElementFragment1.java","17","1","77","2","0","0","0","0","0","0","0","0","2","0","0","3","2","3","3","1","4","0.333333","0.0731707","3","3","1","2","0.0612245","3","0","0","0","0","0","38","53","1","0","1","0","3","0","2","0","3","22","0","2","0","46","61","1","0","1","0","5","0","4","0","5","24","0","4","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
