"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L244","AccountHeader","com.mikepenz.materialdrawer.AccountHeader","L106","L103","D:\PR_assignment_src\MaterialDrawer\library\src\main\java\com\mikepenz\materialdrawer\AccountHeader.java","21","1","430","2","0","0","0","0","0","0","0","0","11","4","4","51","4","11","0","0","31","1","0.509554","160","156","29","0","0.539945","196","0","0","0","0","0","154","360","3","6","3","6","31","0","28","13","31","72","0","28","13","167","410","3","6","3","6","36","0","33","13","36","72","0","33","13","0","0","17","0","0","0","0","0","0","0","1","3","0","0","0","6","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L986","AccountHeaderBuilder","com.mikepenz.materialdrawer.AccountHeaderBuilder","L106","L103","D:\PR_assignment_src\MaterialDrawer\library\src\main\java\com\mikepenz\materialdrawer\AccountHeaderBuilder.java","48","1","1488","2","0.0759085","3","18","7","0.0409438","0.0724816","59","59","55","7","5","187","13","1","0","0","58","1","0.377021","443","391","46","0","0.356013","450","0","0","0","0","0","732","1343","59","1","59","1","58","0","45","2","58","439","0","45","2","814","1441","59","1","59","1","66","0","53","2","66","481","0","53","2","0","0","101","0","0","0","0","0","16","0","1","13","0","1","0","54","0","0","0","0","0","0","0","16","0","0","0","0","0"
"L154","Drawer","com.mikepenz.materialdrawer.Drawer","L106","L103","D:\PR_assignment_src\MaterialDrawer\library\src\main\java\com\mikepenz\materialdrawer\Drawer.java","36","1","1110","2","0","0","0","0","0","0","0","0","21","3","3","136","14","24","2","19","105","0.987952","0.543956","495","480","82","1","0.55083","531","0","0","0","0","0","415","1018","13","31","13","31","86","0","82","25","86","189","0","82","25","433","1075","13","31","13","31","94","0","90","25","94","189","0","90","25","0","0","28","0","0","0","0","0","0","0","1","1","0","2","0","6","0","0","0","0","0","0","0","18","0","0","0","0","0"
"L169","DrawerBuilder","com.mikepenz.materialdrawer.DrawerBuilder","L106","L103","D:\PR_assignment_src\MaterialDrawer\library\src\main\java\com\mikepenz\materialdrawer\DrawerBuilder.java","67","1","1827","2","0.0430464","2","15","5","0.0329358","0.047235","58","41","80","4","2","184","9","3","8","0","87","1","0.461538","648","565","76","0","0.430072","655","0","0","0","0","0","756","1625","68","5","68","5","87","0","75","0","87","397","0","75","0","868","1761","68","5","68","5","100","0","88","0","100","447","0","88","0","0","0","116","0","0","0","0","0","27","0","3","3","0","1","0","63","0","0","0","0","0","0","0","19","0","0","0","0","0"
"L2287","DrawerUtils","com.mikepenz.materialdrawer.DrawerUtils","L106","L103","D:\PR_assignment_src\MaterialDrawer\library\src\main\java\com\mikepenz\materialdrawer\DrawerUtils.java","24","1","444","2","0","0","0","0","0","0","0","0","8","4","4","80","2","1","4","0","13","1","0.321229","115","83","13","0","0.3125","115","0","0","0","0","0","243","411","0","4","0","4","13","0","12","1","13","161","0","12","1","253","421","0","4","0","4","15","0","14","1","15","165","0","14","1","0","0","19","0","0","0","0","0","0","0","1","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L858","MiniDrawer","com.mikepenz.materialdrawer.MiniDrawer","L106","L103","D:\PR_assignment_src\MaterialDrawer\library\src\main\java\com\mikepenz\materialdrawer\MiniDrawer.java","32","1","545","2","0","0","0","0","0","0","0","0","18","5","5","74","5","4","1","0","29","1","0.434466","179","161","29","0","0.420705","191","0","0","0","0","0","233","470","18","10","18","10","29","2","28","1","29","129","2","28","1","263","514","18","10","18","10","31","2","30","1","31","146","2","30","1","0","0","27","0","0","0","0","0","0","0","1","6","0","0","0","8","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L148","ActionBarActivity","com.mikepenz.materialdrawer.app.ActionBarActivity","L123","L103","D:\PR_assignment_src\MaterialDrawer\app\src\main\java\com\mikepenz\materialdrawer\app\ActionBarActivity.java","17","1","82","2","0.126531","1","3","1","0.166667","0.188679","11","10","1","1","1","7","6","0","0","5","9","0","0.08","4","0","0","3","0.0701754","4","0","0","0","0","0","46","58","1","0","1","0","4","0","2","0","4","15","0","2","0","53","66","1","0","1","0","5","0","3","0","5","18","0","3","0","0","0","26","0","0","0","0","0","10","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L239","AdvancedActivity","com.mikepenz.materialdrawer.app.AdvancedActivity","L123","L103","D:\PR_assignment_src\MaterialDrawer\app\src\main\java\com\mikepenz\materialdrawer\app\AdvancedActivity.java","32","1","225","2","0.08619","1","3","1","0.0979381","0.1","19","14","6","1","1","13","3","0","0","0","6","0","0.218543","33","8","0","4","0.222222","40","0","0","0","0","0","118","164","8","0","8","0","6","0","3","0","6","41","0","3","0","140","194","8","0","8","0","9","0","6","0","9","51","0","6","0","0","0","41","0","0","0","0","0","21","0","1","0","0","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L286","CollapsingToolbarActivity","com.mikepenz.materialdrawer.app.CollapsingToolbarActivity","L123","L103","D:\PR_assignment_src\MaterialDrawer\app\src\main\java\com\mikepenz\materialdrawer\app\CollapsingToolbarActivity.java","23","1","86","2","0","0","0","0","0","0","0","0","4","0","0","4","2","0","0","0","4","0","0.037037","2","0","0","1","0.037037","2","0","0","0","0","0","52","64","2","0","2","0","4","0","0","0","4","17","0","0","0","52","64","2","0","2","0","4","0","0","0","4","17","0","0","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L296","CompactHeaderDrawerActivity","com.mikepenz.materialdrawer.app.CompactHeaderDrawerActivity","L123","L103","D:\PR_assignment_src\MaterialDrawer\app\src\main\java\com\mikepenz\materialdrawer\app\CompactHeaderDrawerActivity.java","30","1","175","2","0.238162","2","4","2","0.178082","0.175439","26","20","4","1","1","8","2","0","0","0","4","0","0.141304","13","1","0","3","0.102362","13","0","0","0","0","0","79","104","3","0","3","0","4","0","2","0","4","26","0","2","0","114","146","3","0","3","0","9","0","7","0","9","40","0","7","0","0","0","44","0","0","0","0","0","17","0","2","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
