"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L120","ApplicationTest","com.githug.florent37.materialviewpager.ApplicationTest","L107","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\androidTest\java\com\githug\florent37\materialviewpager\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L362","MaterialViewPager","com.github.florent37.materialviewpager.MaterialViewPager","L135","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","33","1","456","2","0.0684524","1","6","2","0.0518868","0.0719424","22","20","1","3","3","53","10","5","2","19","43","0.6","0.268657","90","76","12","8","0.246612","91","0","0","0","0","0","245","386","13","4","13","4","24","0","19","7","24","135","0","19","7","278","424","16","5","16","5","31","3","24","7","31","144","3","24","7","0","0","85","0","0","0","0","0","14","0","1","0","0","0","0","58","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L318","MaterialViewPagerAnimator","com.github.florent37.materialviewpager.MaterialViewPagerAnimator","L135","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPagerAnimator.java","48","1","664","2","0.0345008","1","6","2","0.0421394","0.056338","26","24","2","5","4","86","4","14","17","11","31","0.5","0.25866","112","82","6","6","0.216912","118","0","0","0","0","0","321","491","20","1","20","1","20","4","11","3","20","167","4","11","3","426","617","22","1","22","1","34","4","25","3","34","216","4","25","3","0","0","149","0","0","0","0","0","44","0","3","3","0","0","0","88","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L469","MaterialViewPagerHeader","com.github.florent37.materialviewpager.MaterialViewPagerHeader","L135","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPagerHeader.java","17","1","146","2","0","0","0","0","0","0","0","0","5","1","1","14","0","5","3","0","13","0.0769231","0.0759494","6","5","1","12","0.0970874","10","0","0","0","0","0","73","99","16","6","16","6","13","8","12","0","13","26","8","12","0","93","130","16","6","16","6","15","8","14","0","15","40","8","14","0","0","0","48","0","0","0","0","0","0","0","1","0","0","0","0","39","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L1124","MaterialViewPagerHeaderView","com.github.florent37.materialviewpager.MaterialViewPagerHeaderView","L135","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPagerHeaderView.java","18","1","63","2","0","0","0","0","0","0","0","0","1","1","1","8","3","1","1","3","9","0.2","0.243902","10","7","1","4","0.212766","10","0","0","0","0","0","31","40","0","0","0","0","6","0","4","1","6","12","0","4","1","37","46","0","0","0","0","7","0","5","1","7","15","0","5","1","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1153","MaterialViewPagerHelper","com.github.florent37.materialviewpager.MaterialViewPagerHelper","L135","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPagerHelper.java","25","1","183","2","0","0","0","0","0","0","0","0","2","3","3","24","1","7","12","4","13","0.888889","0.4375","63","61","8","1","0.42","63","0","0","0","0","0","81","153","1","1","1","1","9","0","8","0","9","40","0","8","0","87","159","1","1","1","1","10","0","9","0","10","43","0","9","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L485","MaterialViewPagerSettings","com.github.florent37.materialviewpager.MaterialViewPagerSettings","L135","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPagerSettings.java","16","1","168","2","0","0","0","0","0","0","0","0","2","3","3","10","1","5","4","1","6","0.5","0.118056","17","14","2","2","0.113333","17","0","0","0","0","0","127","146","20","0","20","0","5","1","3","0","5","73","1","3","0","133","153","20","0","20","0","7","1","5","0","7","75","1","5","0","0","0","27","0","0","0","0","0","0","0","2","0","0","0","0","18","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L1314","Utils","com.github.florent37.materialviewpager.Utils","L135","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\Utils.java","22","1","153","2","0","0","0","0","0","0","0","0","6","4","3","28","0","8","13","0","10","0.636364","0.268293","33","30","7","4","0.268293","33","0","0","0","0","0","90","132","0","1","0","1","10","0","10","3","10","57","0","10","3","90","132","0","1","0","1","10","0","10","3","10","57","0","10","3","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1397","ViewController","com.github.florent37.materialviewpager.ViewController","L135","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpagercontroller\src\main\java\com\github\florent37\materialviewpager\ViewController.java","22","1","95","2","0","0","0","0","0","0","0","0","1","1","1","6","2","0","0","2","4","0.333333","0.130435","3","3","1","2","0.0819672","5","0","0","0","0","0","20","29","1","0","1","0","2","0","2","0","2","11","0","2","0","56","74","3","3","3","3","7","0","7","0","7","27","0","7","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1433","ApplicationTest","com.github.florent37.materialviewpager.ApplicationTest","L135","L103","D:\PR_assignment_src\MaterialViewPager\sample\src\androidTest\java\com\github\florent37\materialviewpager\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
