"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L132","Animator","com.nineoldandroids.animation.Animator","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\Animator.java","27","1","278","2","0","0","0","0","0","0","0","0","7","3","3","25","1","21","28","0","18","0.947368","0.673367","134","131","18","1","0.693965","161","0","0","2","4","0","65","221","1","3","1","3","18","0","18","4","18","25","0","18","4","71","252","1","3","1","3","22","0","22","4","22","25","0","22","4","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L252","AnimatorInflater","com.nineoldandroids.animation.AnimatorInflater","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\AnimatorInflater.java","42","1","344","2","0","0","0","0","0","0","0","0","1","5","4","52","5","1","1","13","18","1","0.221088","65","34","2","0","0.221088","65","0","0","0","0","0","229","303","15","0","15","0","5","0","1","0","5","123","0","1","0","229","303","15","0","15","0","5","0","1","0","5","123","0","1","0","0","0","19","0","0","0","0","0","0","0","0","4","0","0","0","10","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L478","AnimatorListenerAdapter","com.nineoldandroids.animation.AnimatorListenerAdapter","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\AnimatorListenerAdapter.java","24","1","54","2","0","0","0","0","0","0","0","0","4","0","0","4","2","4","0","0","4","1","0.548387","17","17","5","0","0.548387","17","1","1","2","2","1","14","31","0","0","0","0","4","0","4","0","4","0","0","4","0","14","31","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L346","AnimatorSet","com.nineoldandroids.animation.AnimatorSet","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\AnimatorSet.java","45","1","1113","2","0.0606181","1","6","3","0.03087","0.056701","33","33","1","6","6","109","10","11","7","29","50","0.809524","0.386623","237","199","17","4","0.423762","428","1","1","0","0","1","376","707","12","4","11","3","21","0","20","4","33","239","0","32","5","582","1069","28","4","27","3","43","8","39","4","59","354","8","55","5","0","0","101","0","0","0","0","0","25","0","3","13","0","1","0","40","0","0","0","0","0","0","0","19","0","0","0","0","0"
"L437","ArgbEvaluator","com.nineoldandroids.animation.ArgbEvaluator","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\ArgbEvaluator.java","23","1","59","2","0","0","0","0","0","0","0","0","1","0","0","1","1","2","0","0","1","1","0.526316","20","20","2","0","0.526316","20","1","1","0","0","1","18","37","0","0","0","0","1","0","1","0","1","11","0","1","0","18","37","0","0","0","0","1","0","1","0","1","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L814","FloatEvaluator","com.nineoldandroids.animation.FloatEvaluator","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\FloatEvaluator.java","22","1","42","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0.73913","17","17","2","0","0.73913","17","1","1","0","0","1","6","21","0","0","0","0","1","0","1","0","1","2","0","1","0","6","21","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L833","FloatKeyframeSet","com.nineoldandroids.animation.FloatKeyframeSet","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\FloatKeyframeSet.java","35","1","135","2","0.490458","4","12","5","0.405941","0.431579","41","41","1","3","3","19","4","3","3","7","11","0.2","0.12844","14","10","1","4","0.12844","14","1","1","0","0","1","95","101","10","3","4","2","4","0","4","0","13","61","0","13","1","95","101","10","3","4","2","4","0","4","0","13","61","0","13","1","0","0","31","0","0","0","0","0","18","0","0","1","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L891","IntEvaluator","com.nineoldandroids.animation.IntEvaluator","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\IntEvaluator.java","22","1","42","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0.73913","17","17","2","0","0.73913","17","1","1","0","0","1","6","21","0","0","0","0","1","0","1","0","1","2","0","1","0","6","21","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L902","IntKeyframeSet","com.nineoldandroids.animation.IntKeyframeSet","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\IntKeyframeSet.java","35","1","134","2","0.490672","4","12","5","0.4","0.425532","40","40","1","3","3","19","4","3","3","7","11","0.2","0.12963","14","10","1","4","0.12963","14","1","1","0","0","1","94","100","10","3","4","2","4","0","4","0","13","61","0","13","1","94","100","10","3","4","2","4","0","4","0","13","61","0","13","1","0","0","31","0","0","0","0","0","18","0","0","1","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L858","Keyframe","com.nineoldandroids.animation.Keyframe","L106","L103","D:\PR_assignment_src\NineOldAndroids\library\src\com\nineoldandroids\animation\Keyframe.java","38","1","360","2","0","0","0","0","0","0","0","0","7","0","0","15","3","9","21","5","20","0.9375","0.772277","156","153","15","1","0.572368","174","0","0","3","3","0","46","212","4","4","4","4","15","0","15","3","15","12","0","15","3","130","323","7","18","7","9","31","0","26","6","67","50","0","62","12","0","0","47","0","0","0","0","0","0","0","1","0","0","0","0","44","0","0","0","0","0","0","0","2","0","0","0","0","0"
