"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L6581","Main","Main","L6577","L103","D:\PR_assignment_src\POSA-14\ex\BuggyQueue\src\Main.java","5","1","59","2","0","0","0","0","0","0","0","0","1","0","0","1","1","2","0","0","1","0.5","0.444444","12","3","1","1","0.44898","22","0","0","0","0","0","15","38","1","0","1","0","1","0","1","0","1","5","0","1","0","27","55","2","0","2","0","5","0","5","0","5","15","0","5","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6254","AcronymActivity","vandy.mooc.AcronymActivity","L6241","L103","D:\PR_assignment_src\POSA-14\ex\AcronymApplication\src\vandy\mooc\AcronymActivity.java","16","1","168","2","0","0","0","0","0","0","0","0","1","2","2","11","5","0","0","5","9","1","0.486239","53","39","5","0","0.460993","65","1","1","0","0","1","56","119","7","0","3","0","4","0","4","0","7","24","0","4","0","76","153","7","0","3","0","8","0","6","0","11","31","0","6","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6256","AcronymActivityBase","vandy.mooc.AcronymActivityBase","L6241","L103","D:\PR_assignment_src\POSA-14\ex\AcronymApplication\src\vandy\mooc\AcronymActivityBase.java","18","1","88","2","0.361345","1","1","1","0.140845","0.233333","10","7","1","1","1","4","2","2","4","1","4","1","0.558824","38","32","1","0","0.558824","38","0","0","1","1","0","30","71","4","0","4","0","3","0","0","0","3","12","0","0","0","30","71","4","0","4","0","3","0","0","0","3","12","0","0","0","0","0","9","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6269","AcronymData","vandy.mooc.AcronymData","L6241","L103","D:\PR_assignment_src\POSA-14\ex\AcronymApplication\src\vandy\mooc\AcronymData.java","22","1","120","2","0","0","0","0","0","0","0","0","2","0","0","5","0","10","2","0","5","1","0.602041","59","58","5","0","0.567308","59","0","0","0","0","0","39","92","4","0","4","0","5","4","4","0","5","11","4","4","0","45","99","4","0","4","0","7","4","6","0","7","13","4","6","0","0","0","15","0","0","0","0","0","0","0","2","0","0","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L6347","AcronymDataArrayAdapter","vandy.mooc.AcronymDataArrayAdapter","L6241","L103","D:\PR_assignment_src\POSA-14\ex\AcronymApplication\src\vandy\mooc\AcronymDataArrayAdapter.java","17","1","68","2","0","0","0","0","0","0","0","0","0","1","1","3","1","1","1","0","2","1","0.490566","26","26","3","0","0.490566","26","0","0","0","0","0","27","52","0","1","0","1","2","0","2","0","2","11","0","2","0","27","52","0","1","0","1","2","0","2","0","2","11","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6426","AcronymDownloadUtils","vandy.mooc.AcronymDownloadUtils","L6241","L103","D:\PR_assignment_src\POSA-14\ex\AcronymApplication\src\vandy\mooc\AcronymDownloadUtils.java","26","1","115","2","0","0","0","0","0","0","0","0","0","1","1","3","2","2","2","0","1","1","0.5","22","15","2","0","0.470588","40","0","0","0","0","0","22","48","2","1","2","1","1","0","1","0","1","7","0","1","0","45","90","2","1","2","1","2","0","2","0","2","19","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6462","AcronymServiceAsync","vandy.mooc.AcronymServiceAsync","L6241","L103","D:\PR_assignment_src\POSA-14\ex\AcronymApplication\src\vandy\mooc\AcronymServiceAsync.java","32","1","110","2","0","0","0","0","0","0","0","0","3","0","0","3","1","2","1","1","4","0.75","0.695652","48","48","3","1","0.655556","59","0","0","0","0","0","21","55","3","0","3","0","3","0","3","0","3","4","0","3","0","31","79","3","0","3","0","4","0","4","0","4","7","0","4","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6492","AcronymServiceSync","vandy.mooc.AcronymServiceSync","L6241","L103","D:\PR_assignment_src\POSA-14\ex\AcronymApplication\src\vandy\mooc\AcronymServiceSync.java","31","1","107","2","0","0","0","0","0","0","0","0","3","0","0","3","1","2","1","1","4","0.75","0.691176","47","47","3","1","0.655172","57","0","0","0","0","0","21","55","3","0","3","0","3","0","3","0","3","4","0","3","0","30","77","3","0","3","0","4","0","4","0","4","7","0","4","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6283","GenericServiceConnection<AIDLInterface extends IInterface>","vandy.mooc.GenericServiceConnection","L6241","L103","D:\PR_assignment_src\POSA-14\ex\AcronymApplication\src\vandy\mooc\GenericServiceConnection.java","22","1","111","2","0","0","0","0","0","0","0","0","1","3","3","10","0","1","4","0","4","1","0.489796","48","44","5","0","0.489796","48","0","0","0","0","0","50","90","6","1","6","1","4","0","4","0","4","19","0","4","0","50","90","6","1","6","1","4","0","4","0","4","19","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L6583","Main$BuggyQueue","Main$BuggyQueue","L6581","L103","D:\PR_assignment_src\POSA-14\ex\BuggyQueue\src\Main.java","14","5","24","6","0","0","0","0","0","0","0","0","1","0","0","2","0","3","2","0","2","1","0.625","10","10","3","0","0.625","10","0","0","0","0","0","6","11","1","0","1","0","2","0","2","0","2","2","0","2","0","6","11","1","0","1","0","2","0","2","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L135","BuggyBlockingQueue<E extends Object>","edu.vuum.mooca.BuggyBlockingQueue","L106","L103","D:\PR_assignment_src\POSA-14\assignments\week-1-assignment-0-v2\src\edu\vuum\mooca\BuggyBlockingQueue.java","16","1","129","2","0","0","0","0","0","0","0","0","21","1","1","27","0","1","1","0","26","0.222222","0.267241","31","30","6","21","0.267241","31","0","0","0","0","0","85","114","1","0","1","0","26","0","26","0","26","27","0","26","0","85","114","1","0","1","0","26","0","26","0","26","27","0","26","0","0","0","47","0","0","0","0","0","0","0","1","0","0","0","0","43","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L262","SynchronizedQueue","edu.vuum.mooca.SynchronizedQueue","L106","L103","D:\PR_assignment_src\POSA-14\assignments\week-1-assignment-0-v2\src\edu\vuum\mooca\SynchronizedQueue.java","12","1","348","2","0.371875","2","26","6","0.21365","0.338624","72","64","1","7","2","21","2","7","1","3","9","1","0.507353","69","62","2","0","0.387821","121","0","0","1","1","0","67","162","13","0","13","0","6","2","1","0","6","30","2","1","0","191","337","24","1","24","1","14","11","7","0","14","81","11","7","0","0","0","62","0","0","0","0","0","29","0","0","3","0","0","0","18","0","0","0","0","0","0","0","12","0","0","0","0","0"
