"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L114","PagerSlidingTabStrip","com.astuetz.PagerSlidingTabStrip","L105","L103","D:\PR_assignment_src\PagerSlidingTabStrip\library\src\com\astuetz\PagerSlidingTabStrip.java","46","1","578","2","0","0","0","0","0","0","0","0","1","4","4","63","3","5","6","2","47","0","0.0339506","11","2","0","40","0.0278481","11","0","0","0","0","0","313","445","30","12","30","12","45","1","39","20","45","173","1","39","20","384","533","32","13","32","13","56","2","49","20","56","198","2","49","20","0","0","158","0","0","0","0","0","0","0","2","2","0","0","0","133","0","0","0","0","0","0","0","21","0","0","0","0","0"
"L142","PagerSlidingTabStrip$PageListener","com.astuetz.PagerSlidingTabStrip$PageListener","L114","L103","D:\PR_assignment_src\PagerSlidingTabStrip\library\src\com\astuetz\PagerSlidingTabStrip.java","353","2","388","3","0","0","0","0","0","0","0","0","3","1","1","7","1","1","0","1","4","0","0","0","0","0","4","0","0","0","0","0","0","0","27","36","0","0","0","0","3","0","3","0","3","12","0","3","0","27","36","0","0","0","0","3","0","3","0","3","12","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L563","PagerSlidingTabStrip$SavedState","com.astuetz.PagerSlidingTabStrip$SavedState","L114","L103","D:\PR_assignment_src\PagerSlidingTabStrip\library\src\com\astuetz\PagerSlidingTabStrip.java","547","2","576","3","0","0","0","0","0","0","0","0","1","0","0","3","0","2","2","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","17","21","2","0","2","0","3","1","2","0","3","5","1","2","0","25","30","2","0","2","0","5","1","4","0","5","7","1","4","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L351","PagerSlidingTabStrip$1","com.astuetz.PagerSlidingTabStrip$1","L319","L103","D:\PR_assignment_src\PagerSlidingTabStrip\library\src\com\astuetz\PagerSlidingTabStrip.java","207","80","223","4","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","14","17","0","0","0","0","1","0","1","0","1","5","0","1","0","14","17","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L425","PagerSlidingTabStrip$2","com.astuetz.PagerSlidingTabStrip$2","L400","L103","D:\PR_assignment_src\PagerSlidingTabStrip\library\src\com\astuetz\PagerSlidingTabStrip.java","248","48","253","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L606","PagerSlidingTabStrip$SavedState$1","com.astuetz.PagerSlidingTabStrip$SavedState$1","L563","L103","D:\PR_assignment_src\PagerSlidingTabStrip\library\src\com\astuetz\PagerSlidingTabStrip.java","565","101","575","4","0","0","0","0","0","0","0","0","2","0","0","2","1","0","0","1","3","0","0","0","0","0","3","0","0","0","0","0","0","0","10","11","0","0","0","0","2","0","2","0","2","2","0","2","0","10","11","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L627","MainActivity","com.astuetz.viewpager.extensions.sample.MainActivity","L616","L103","D:\PR_assignment_src\PagerSlidingTabStrip\sample\src\com\astuetz\viewpager\extensions\sample\MainActivity.java","39","1","202","2","0","0","0","0","0","0","0","0","3","3","3","12","3","1","0","3","10","0","0.0581395","5","0","0","4","0.042735","5","0","0","0","0","0","81","125","7","0","7","0","7","0","3","0","7","41","0","3","0","112","164","8","3","8","3","14","0","10","0","14","48","0","10","0","0","0","40","0","0","0","0","0","0","0","2","0","0","0","0","37","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L695","QuickContactFragment","com.astuetz.viewpager.extensions.sample.QuickContactFragment","L616","L103","D:\PR_assignment_src\PagerSlidingTabStrip\sample\src\com\astuetz\viewpager\extensions\sample\QuickContactFragment.java","21","1","128","2","0","0","0","0","0","0","0","0","3","2","2","6","2","1","0","2","5","0","0.0217391","1","0","0","4","0.0243902","2","0","0","0","0","0","45","64","3","0","3","0","3","0","3","0","3","26","0","3","0","80","108","4","2","4","2","9","0","9","0","9","39","0","9","0","0","0","26","0","0","0","0","0","0","0","2","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L913","SuperAwesomeCardFragment","com.astuetz.viewpager.extensions.sample.SuperAwesomeCardFragment","L616","L103","D:\PR_assignment_src\PagerSlidingTabStrip\sample\src\com\astuetz\viewpager\extensions\sample\SuperAwesomeCardFragment.java","30","1","74","2","0","0","0","0","0","0","0","0","1","0","0","3","0","1","1","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","33","45","2","0","2","0","3","0","3","0","3","20","0","3","0","33","45","2","0","2","0","3","0","3","0","3","20","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L763","MainActivity$1","com.astuetz.viewpager.extensions.sample.MainActivity$1","L627","L103","D:\PR_assignment_src\PagerSlidingTabStrip\sample\src\com\astuetz\viewpager\extensions\sample\MainActivity.java","159","71","174","3","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","14","16","0","0","0","0","3","0","3","0","3","3","0","3","0","14","16","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
