"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L124","Compat","uk.co.senab.photoview.Compat","L107","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\Compat.java","25","1","60","2","0","0","0","0","0","0","0","0","1","1","1","7","0","3","3","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","29","36","1","3","1","3","5","0","2","0","5","9","0","2","0","29","36","1","3","1","3","5","0","2","0","5","9","0","2","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L186","DefaultOnDoubleTapListener","uk.co.senab.photoview.DefaultOnDoubleTapListener","L107","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\DefaultOnDoubleTapListener.java","13","1","100","2","0","0","0","0","0","0","0","0","2","3","3","15","3","1","2","12","17","0.5","0.236842","18","15","3","3","0.236842","18","0","0","0","0","0","58","88","1","0","1","0","5","0","5","1","5","32","0","5","1","58","88","1","0","1","0","5","0","5","1","5","32","0","5","1","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L716","PhotoView","uk.co.senab.photoview.PhotoView","L107","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\PhotoView.java","32","1","273","2","0","0","0","0","0","0","0","0","1","1","1","50","7","4","4","35","77","0","0.00507614","1","0","0","39","0.00507614","1","1","1","0","0","1","196","242","6","10","2","10","42","0","38","25","42","62","4","38","25","196","242","6","10","2","10","42","0","38","25","42","62","4","38","25","0","0","100","0","0","0","0","0","0","0","0","0","0","1","0","87","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L192","PhotoViewAttacher","uk.co.senab.photoview.PhotoViewAttacher","L107","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\PhotoViewAttacher.java","50","1","1192","2","0.0282272","1","8","2","0.0192476","0.0282776","22","22","1","4","4","168","14","10","50","14","77","0.0869565","0.143624","107","55","4","42","0.191268","184","1","2","0","0","2","638","924","41","19","37","19","63","0","45","25","63","316","4","45","25","778","1143","49","19","45","19","78","0","59","25","78","383","4","59","25","0","0","169","0","0","0","0","0","9","0","1","7","0","2","0","130","0","1","0","0","0","0","0","19","0","0","0","0","0"
"L279","CupcakeGestureDetector","uk.co.senab.photoview.gestures.CupcakeGestureDetector","L271","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\gestures\CupcakeGestureDetector.java","25","1","149","2","0","0","0","0","0","0","0","0","2","4","4","20","4","3","3","4","11","0","0.0673077","7","0","0","6","0.0673077","7","1","1","1","2","1","97","125","8","2","8","2","7","0","5","1","7","49","0","5","1","97","125","8","2","8","2","7","0","5","1","7","49","0","5","1","0","0","22","0","0","0","0","0","0","0","1","3","0","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L370","EclairGestureDetector","uk.co.senab.photoview.gestures.EclairGestureDetector","L271","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\gestures\EclairGestureDetector.java","24","1","91","2","0","0","0","0","0","0","0","0","1","2","2","14","2","2","3","3","7","0","0.0967742","6","0","0","3","0.0967742","6","2","2","1","1","1","56","68","11","4","3","2","4","0","2","0","11","23","0","7","1","56","68","11","4","3","2","4","0","2","0","11","23","0","7","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L408","FroyoGestureDetector","uk.co.senab.photoview.gestures.FroyoGestureDetector","L271","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\gestures\FroyoGestureDetector.java","23","1","72","2","0","0","0","0","0","0","0","0","1","1","1","4","1","1","1","2","5","0","0.0416667","1","0","0","4","0.0487805","2","3","3","0","0","1","23","28","12","4","1","0","3","0","3","0","14","8","0","10","1","39","50","12","4","1","0","6","0","6","0","17","14","0","13","1","0","0","17","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L468","VersionedGestureDetector","uk.co.senab.photoview.gestures.VersionedGestureDetector","L271","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\gestures\VersionedGestureDetector.java","22","1","42","2","0","0","0","0","0","0","0","0","1","2","1","3","5","1","1","4","5","0","0","0","0","0","2","0","0","0","0","0","0","0","16","21","0","0","0","0","1","0","1","0","1","9","0","1","0","16","21","0","0","0","0","1","0","1","0","1","9","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L647","LoggerDefault","uk.co.senab.photoview.log.LoggerDefault","L603","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\log\LoggerDefault.java","23","1","76","2","0","0","0","0","0","0","0","0","10","0","0","10","1","0","0","0","10","0.0909091","0.0666667","3","3","1","10","0.0666667","3","1","1","0","0","1","42","54","0","0","0","0","10","0","10","0","10","10","0","10","0","42","54","0","0","0","0","10","0","10","0","10","10","0","10","0","0","0","24","0","0","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L707","LogManager","uk.co.senab.photoview.log.LogManager","L603","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\log\LogManager.java","23","1","35","2","0","0","0","0","0","0","0","0","0","0","0","2","1","3","10","0","2","0.333333","0.25","3","3","1","2","0.25","3","0","0","0","0","0","9","13","1","1","1","1","2","0","2","1","2","2","0","2","1","9","13","1","1","1","1","2","0","2","1","2","2","0","2","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
