"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1994","Intents","com.github.pockethub.android.Intents","L107","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\Intents.java","34","1","380","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0.661765","90","90","2","0","0.650165","197","0","0","0","0","0","46","166","27","0","27","0","1","27","1","0","1","3","27","1","0","106","347","28","0","28","0","17","27","17","0","17","27","27","17","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L2476","PocketHub","com.github.pockethub.android.PocketHub","L107","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHub.java","25","1","34","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","9","10","0","0","0","0","1","0","1","0","1","4","0","1","0","9","10","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2482","PocketHubModule","com.github.pockethub.android.PocketHubModule","L107","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHubModule.java","39","1","97","2","0","0","0","0","0","0","0","0","6","1","1","12","3","0","0","0","6","1","0.0566038","3","3","1","0","0.0566038","3","0","0","0","0","0","50","59","3","0","3","0","6","0","0","0","6","22","0","0","0","50","59","3","0","3","0","6","0","0","0","6","22","0","0","0","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2553","RequestReader","com.github.pockethub.android.RequestReader","L107","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\RequestReader.java","31","1","108","2","0.195122","1","5","1","0.153846","0.196721","12","12","1","3","3","15","0","0","0","0","2","1","0.186667","14","14","3","0","0.186667","14","0","0","0","0","0","61","78","3","0","3","0","2","0","2","0","2","37","0","2","0","61","78","3","0","3","0","2","0","2","0","2","37","0","2","0","0","0","16","0","0","0","0","0","11","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2567","RequestWriter","com.github.pockethub.android.RequestWriter","L107","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\RequestWriter.java","31","1","98","2","0.246154","1","5","1","0.176471","0.24","12","12","2","3","3","12","0","0","0","0","3","1","0.230769","15","15","3","0","0.230769","15","0","0","0","0","0","50","68","3","0","3","0","3","0","2","0","3","29","0","2","0","50","68","3","0","3","0","3","0","2","0","3","29","0","2","0","0","0","18","0","0","0","0","0","11","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2645","ServicesModule","com.github.pockethub.android.ServicesModule","L107","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\ServicesModule.java","31","1","41","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2","1","0.25","3","3","1","0","0.25","3","0","0","0","0","0","9","11","0","0","0","0","2","0","0","0","2","1","0","0","0","9","11","0","0","0","0","2","0","0","0","2","1","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2743","ThrowableLoader<D extends Object>","com.github.pockethub.android.ThrowableLoader","L107","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\ThrowableLoader.java","30","1","99","2","0","0","0","0","0","0","0","0","2","3","3","10","1","0","0","0","6","0.833333","0.384615","25","25","5","1","0.384615","25","1","1","0","0","1","40","70","5","2","3","2","6","0","5","0","8","17","0","7","0","40","70","5","2","3","2","6","0","5","0","8","17","0","7","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L140","ActivityTest<T extends Activity>","com.github.pockethub.android.tests.ActivityTest","L129","L103","D:\PR_assignment_src\PocketHub\app\src\androidTest\java\com\github\pockethub\android\tests\ActivityTest.java","28","1","103","2","0","0","0","0","0","0","0","0","6","0","0","7","0","9","0","0","7","1","0.571429","40","40","3","0","0.547945","40","0","0","9","9","0","30","72","0","0","0","0","7","0","2","0","7","12","0","2","0","33","76","0","0","0","0","8","0","3","0","8","13","0","3","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L304","FiltersViewActivityTest","com.github.pockethub.android.tests.FiltersViewActivityTest","L129","L103","D:\PR_assignment_src\PocketHub\app\src\androidTest\java\com\github\pockethub\android\tests\FiltersViewActivityTest.java","23","1","31","2","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","1","0.545455","6","6","2","0","0.545455","6","1","1","0","0","1","5","9","0","0","0","0","1","0","1","0","8","1","0","3","0","5","9","0","0","0","0","1","0","1","0","8","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L458","NewsEventTextTest","com.github.pockethub.android.tests.NewsEventTextTest","L129","L103","D:\PR_assignment_src\PocketHub\app\src\androidTest\java\com\github\pockethub\android\tests\NewsEventTextTest.java","52","1","341","2","0.321188","3","6","6","0.262069","0.331551","76","62","18","0","0","19","1","0","0","0","19","1","0.204255","48","48","16","0","0.204255","48","0","0","0","0","0","187","290","4","0","4","0","19","0","15","1","19","77","0","15","1","187","290","4","0","4","0","19","0","15","1","19","77","0","15","1","0","0","68","0","0","0","0","0","39","0","1","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
