"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L122","BrokerController","com.alibaba.rocketmq.broker.BrokerController","L107","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","66","1","808","2","0.216672","13","103","29","0.223419","0.246622","166","146","1","3","3","107","59","32","96","116","171","0.0188679","0.0877193","50","3","1","52","0.0778816","50","0","0","0","0","0","520","666","40","28","40","28","55","0","52","7","55","264","0","52","7","592","743","40","28","40","28","64","0","61","7","64","291","0","61","7","0","0","276","0","0","0","0","0","96","0","0","2","0","6","0","154","0","0","0","0","0","0","0","18","0","0","0","0","0"
"L912","BrokerPathConfigHelper","com.alibaba.rocketmq.broker.BrokerPathConfigHelper","L107","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerPathConfigHelper.java","23","1","52","2","0","0","0","0","0","0","0","0","0","0","0","5","0","5","5","0","5","0","0","0","0","0","6","0","0","0","0","0","0","0","19","30","1","4","1","4","5","0","5","1","5","5","0","5","1","19","30","1","4","1","4","5","0","5","1","5","5","0","5","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L928","BrokerStartup","com.alibaba.rocketmq.broker.BrokerStartup","L107","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerStartup.java","50","1","284","2","0.299448","9","16","9","0.276596","0.27957","65","52","1","5","5","27","14","2","0","26","31","0.2","0.0446927","8","3","1","4","0.0412371","8","0","0","0","0","0","171","218","4","0","4","0","5","4","4","0","5","116","4","4","0","186","235","6","0","6","0","6","4","5","0","6","124","4","5","0","0","0","60","0","0","0","0","0","29","0","0","3","0","2","0","18","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L5368","ClientConfig","com.alibaba.rocketmq.client.ClientConfig","L5339","L103","D:\PR_assignment_src\RocketMQ\rocketmq-client\src\main\java\com\alibaba\rocketmq\client\ClientConfig.java","30","1","204","2","0","0","0","0","0","0","0","0","1","1","1","27","2","56","98","3","28","0.0384615","0.107914","15","15","1","25","0.107914","15","0","0","4","5","0","124","175","11","8","11","8","25","1","25","10","25","53","1","25","10","124","175","11","8","11","8","25","1","25","10","25","53","1","25","10","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","53","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L10829","MQHelper","com.alibaba.rocketmq.client.MQHelper","L5339","L103","D:\PR_assignment_src\RocketMQ\rocketmq-client\src\main\java\com\alibaba\rocketmq\client\MQHelper.java","32","1","94","2","0","0","0","0","0","0","0","0","1","4","4","8","7","0","0","12","14","0.666667","0.323077","21","19","2","1","0.323077","21","0","0","0","0","0","44","63","0","0","0","0","2","0","2","0","2","21","0","2","0","44","63","0","0","0","0","2","0","2","0","2","21","0","2","0","0","0","6","0","0","0","0","0","0","0","0","2","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5600","QueryResult","com.alibaba.rocketmq.client.QueryResult","L5339","L103","D:\PR_assignment_src\RocketMQ\rocketmq-client\src\main\java\com\alibaba\rocketmq\client\QueryResult.java","27","1","53","2","0","0","0","0","0","0","0","0","1","0","0","4","1","13","5","0","4","0.2","0.136364","3","3","1","4","0.136364","3","0","0","0","0","0","19","27","2","2","2","2","4","0","4","0","4","5","0","4","0","19","27","2","2","2","2","4","0","4","0","4","5","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11369","Validators","com.alibaba.rocketmq.client.Validators","L5339","L103","D:\PR_assignment_src\RocketMQ\rocketmq-client\src\main\java\com\alibaba\rocketmq\client\Validators.java","36","1","149","2","0.334545","1","8","2","0.210526","0.328358","24","22","1","1","1","18","6","4","11","6","11","1","0.385321","42","39","6","0","0.385321","42","0","0","0","0","0","67","114","3","1","3","1","5","3","5","0","5","32","3","5","0","67","114","3","1","3","1","5","3","5","0","5","32","3","5","0","0","0","21","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L11411","LatencyFaultToleranceImplTest","com.alibaba.rocketmq.client.LatencyFaultToleranceImplTest","L5339","L103","D:\PR_assignment_src\RocketMQ\rocketmq-client\src\test\java\com\alibaba\rocketmq\client\LatencyFaultToleranceImplTest.java","24","1","128","2","0.708595","2","6","4","0.609524","0.575342","64","42","4","1","1","8","1","0","0","3","7","0","0","0","0","0","5","0","0","0","0","0","0","0","73","105","0","0","0","0","4","0","4","0","4","63","0","4","0","73","105","0","0","0","0","4","0","4","0","4","63","0","4","0","0","0","41","0","0","0","0","0","29","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11421","SimpleConsumerProducerTest","com.alibaba.rocketmq.client.SimpleConsumerProducerTest","L5339","L103","D:\PR_assignment_src\RocketMQ\rocketmq-client\src\test\java\com\alibaba\rocketmq\client\SimpleConsumerProducerTest.java","37","1","86","2","0","0","0","0","0","0","0","0","1","2","2","4","7","0","0","11","12","0","0.03125","1","0","0","2","0.0263158","1","0","0","0","0","0","31","42","1","0","1","0","1","0","1","0","1","22","0","1","0","37","50","1","0","1","0","2","0","2","0","2","25","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11438","ThreadLocalIndexTest","com.alibaba.rocketmq.client.ThreadLocalIndexTest","L5339","L103","D:\PR_assignment_src\RocketMQ\rocketmq-client\src\test\java\com\alibaba\rocketmq\client\ThreadLocalIndexTest.java","23","1","46","2","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","13","18","0","0","0","0","1","0","1","0","1","8","0","1","0","19","24","0","0","0","0","2","0","2","0","2","12","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
