"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L121","MainThreadSubscription","rx.android.MainThreadSubscription","L105","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\MainThreadSubscription.java","47","1","84","2","0","0","0","0","0","0","0","0","2","2","2","7","1","7","6","1","5","0.5","0.589286","33","33","2","2","0.559322","33","0","0","3","3","0","23","35","1","0","1","0","4","0","3","0","4","7","0","3","0","26","38","1","0","1","0","5","0","4","0","5","8","0","4","0","0","0","13","0","0","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L482","MainThreadSubscriptionTest","rx.android.MainThreadSubscriptionTest","L105","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\MainThreadSubscriptionTest.java","31","1","107","2","0","0","0","0","0","0","0","0","5","0","0","5","1","0","0","2","7","0","0.047619","2","0","0","6","0.0307692","2","0","0","0","0","0","40","54","0","0","0","0","5","0","5","0","5","22","0","5","0","63","77","1","0","0","0","10","0","7","0","19","32","0","16","0","0","0","37","0","0","0","0","0","0","0","1","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L179","RxAndroidPlugins","rx.android.plugins.RxAndroidPlugins","L173","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidPlugins.java","27","1","79","2","0","0","0","0","0","0","0","0","1","1","1","7","1","6","11","1","6","0.8","0.545455","30","28","4","1","0.545455","30","0","0","0","0","0","25","53","2","2","2","2","5","0","4","0","5","7","0","4","0","25","53","2","2","2","2","5","0","4","0","5","7","0","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L189","RxAndroidSchedulersHook","rx.android.plugins.RxAndroidSchedulersHook","L173","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidSchedulersHook.java","20","1","47","2","0","0","0","0","0","0","0","0","1","0","0","3","0","11","5","0","3","0.5","0.52","13","13","2","2","0.52","13","0","0","4","4","0","12","28","1","2","1","2","3","0","3","0","3","3","0","3","0","12","28","1","2","1","2","3","0","3","0","3","3","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L221","RxAndroidPluginsTest","rx.android.plugins.RxAndroidPluginsTest","L173","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\plugins\RxAndroidPluginsTest.java","22","1","43","2","0","0","0","0","0","0","0","0","2","1","1","3","2","0","0","3","5","0","0","0","0","0","3","0","0","0","0","0","0","0","21","22","0","0","0","0","2","0","2","0","2","11","0","2","0","21","22","0","0","0","0","2","0","2","0","2","11","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","AndroidSchedulers","rx.android.schedulers.AndroidSchedulers","L233","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\schedulers\AndroidSchedulers.java","26","1","75","2","0","0","0","0","0","0","0","0","2","2","2","10","3","5","6","4","9","1","0.181818","8","8","4","0","0.181818","8","0","0","0","0","0","36","50","2","1","2","1","5","0","3","0","5","17","0","3","0","36","50","2","1","2","1","5","0","3","0","5","17","0","3","0","0","0","9","0","0","0","0","0","0","0","1","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L279","HandlerScheduler","rx.android.schedulers.HandlerScheduler","L233","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\schedulers\HandlerScheduler.java","25","1","41","2","0","0","0","0","0","0","0","0","1","1","1","3","1","1","1","1","3","1","0.47619","10","10","2","0","0.47619","10","1","1","0","0","1","11","17","1","0","0","0","2","0","1","0","5","4","0","2","0","11","17","1","0","0","0","2","0","1","0","5","4","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L259","LooperScheduler","rx.android.schedulers.LooperScheduler","L233","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\schedulers\LooperScheduler.java","29","1","131","2","0","0","0","0","0","0","0","0","1","0","0","3","1","3","3","1","4","0","0","0","0","0","2","0.0352941","3","0","0","1","1","0","13","18","1","0","1","0","3","0","1","0","3","3","0","1","0","82","103","7","0","7","0","12","0","8","0","12","34","0","8","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L380","AndroidSchedulersTest","rx.android.schedulers.AndroidSchedulersTest","L233","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\schedulers\AndroidSchedulersTest.java","26","1","45","2","0","0","0","0","0","0","0","0","1","0","0","2","4","0","0","4","6","0","0","0","0","0","3","0","0","0","0","0","0","0","14","17","0","0","0","0","2","0","2","1","2","5","0","2","1","17","20","1","3","0","1","3","0","3","1","6","6","0","6","1","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L394","HandlerSchedulerTest","rx.android.schedulers.HandlerSchedulerTest","L233","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\schedulers\HandlerSchedulerTest.java","21","1","32","2","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","12","12","0","0","0","0","1","0","1","0","1","4","0","1","0","12","12","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
