"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L144","AbstractEmailBuilder","com.netflix.simianarmy.AbstractEmailBuilder","L106","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\AbstractEmailBuilder.java","21","1","83","2","0","0","0","0","0","0","0","0","1","1","1","10","1","6","6","0","6","0.5","0.37931","22","22","1","1","0.37931","22","1","1","2","4","1","36","63","0","5","0","5","6","0","1","0","6","19","0","1","0","36","63","0","5","0","5","6","0","1","0","6","19","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5192","FeatureNotEnabledException","com.netflix.simianarmy.FeatureNotEnabledException","L106","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\FeatureNotEnabledException.java","26","1","37","2","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","1","1","0.6","9","9","2","0","0.6","9","0","0","0","0","0","6","12","1","0","1","0","1","0","1","0","1","1","0","1","0","6","12","1","0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5195","InstanceGroupNotFoundException","com.netflix.simianarmy.InstanceGroupNotFoundException","L106","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\InstanceGroupNotFoundException.java","27","1","54","2","0","0","0","0","0","0","0","0","1","0","0","3","0","3","1","0","3","0.666667","0.37931","11","11","2","1","0.37931","11","0","0","0","0","0","18","28","3","0","3","0","3","0","2","0","3","5","0","2","0","18","28","3","0","3","0","3","0","2","0","3","5","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3409","Monkey","com.netflix.simianarmy.Monkey","L106","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\Monkey.java","28","1","170","2","0","0","0","0","0","0","0","0","1","3","3","9","5","30","52","7","14","1","0.485294","33","33","8","0","0.582677","74","0","0","6","13","0","35","79","2","0","2","0","7","0","7","0","7","13","0","7","0","53","143","2","1","2","1","16","0","16","0","16","16","0","16","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5210","NotFoundException","com.netflix.simianarmy.NotFoundException","L106","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\NotFoundException.java","27","1","61","2","0","0","0","0","0","0","0","0","0","0","0","3","0","3","6","0","3","1","0.692308","27","27","4","0","0.692308","27","0","0","0","0","0","12","35","0","0","0","0","3","0","3","0","3","3","0","3","0","12","35","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6544","TestMonkey","com.netflix.simianarmy.TestMonkey","L106","L103","D:\PR_assignment_src\SimianArmy\src\test\java\com\netflix\simianarmy\TestMonkey.java","24","1","50","2","0","0","0","0","0","0","0","0","4","0","0","5","3","3","1","4","9","0","0","0","0","0","6","0","0","1","1","2","2","1","20","25","2","0","0","0","5","0","5","0","10","5","0","10","0","22","27","3","0","1","0","5","1","5","0","11","5","1","11","0","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L6682","TestMonkeyContext","com.netflix.simianarmy.TestMonkeyContext","L106","L103","D:\PR_assignment_src\SimianArmy\src\test\java\com\netflix\simianarmy\TestMonkeyContext.java","49","1","269","2","0.0730689","5","5","5","0.122172","0.117318","27","21","6","1","1","10","10","5","6","6","15","0","0.0196078","1","0","0","10","0.0164835","3","1","1","2","4","1","50","61","3","1","3","1","9","0","9","0","9","14","0","9","0","179","221","4","4","4","4","41","0","41","1","41","42","0","41","1","0","0","154","0","0","0","0","0","49","0","5","0","0","0","0","97","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L9540","TestMonkeyRunner","com.netflix.simianarmy.TestMonkeyRunner","L106","L103","D:\PR_assignment_src\SimianArmy\src\test\java\com\netflix\simianarmy\TestMonkeyRunner.java","26","1","116","2","0","0","0","0","0","0","0","0","2","0","0","2","6","2","0","14","16","0","0","0","0","0","1","0","0","0","0","0","0","0","35","53","2","0","2","0","2","0","0","0","2","25","0","0","0","67","91","9","4","4","2","9","1","7","0","42","32","1","40","0","0","0","48","0","0","0","0","0","0","0","2","0","0","1","0","36","0","1","0","0","0","0","0","8","0","0","0","0","0"
"L9586","TestUtils","com.netflix.simianarmy.TestUtils","L106","L103","D:\PR_assignment_src\SimianArmy\src\test\java\com\netflix\simianarmy\TestUtils.java","29","1","59","2","0","0","0","0","0","0","0","0","1","0","0","2","1","8","15","1","3","1","0.71875","23","21","2","0","0.71875","23","0","0","0","0","0","9","31","0","0","0","0","2","0","1","0","2","3","0","1","0","9","31","0","0","0","0","2","0","1","0","2","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L203","AWSEmailNotifier","com.netflix.simianarmy.aws.AWSEmailNotifier","L191","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\aws\AWSEmailNotifier.java","39","1","107","2","0","0","0","0","0","0","0","0","1","1","1","9","1","8","15","2","5","0.5","0.117647","8","8","2","2","0.117647","8","1","1","4","6","1","60","69","4","2","4","0","3","0","3","0","6","34","0","6","0","60","69","4","2","4","0","3","0","3","0","6","34","0","6","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
