"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L245","AttachExample","com.jeremyfeinstein.slidingmenu.example.AttachExample","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\AttachExample.java","8","1","49","2","0","0","0","0","0","0","0","0","1","1","1","3","2","1","0","10","12","0","0.0571429","2","0","0","3","0.0571429","2","0","0","0","0","0","33","42","1","0","1","0","2","0","2","0","2","16","0","2","0","33","42","1","0","1","0","2","0","2","0","2","16","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L134","BaseActivity","com.jeremyfeinstein.slidingmenu.example.BaseActivity","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\BaseActivity.java","19","1","74","2","0","0","0","0","0","0","0","0","3","1","1","7","4","7","14","10","14","0","0.0425532","2","0","0","5","0.0425532","2","2","2","7","10","1","45","56","3","1","2","0","4","0","4","0","21","25","0","20","7","45","56","3","1","2","0","4","0","4","0","21","25","0","20","7","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L333","ExampleListActivity","com.jeremyfeinstein.slidingmenu.example.ExampleListActivity","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\ExampleListActivity.java","31","1","113","2","0","0","0","0","0","0","0","0","4","11","2","20","11","0","0","0","4","0","0.012987","1","0","0","5","0.012987","1","0","0","0","0","0","76","83","0","0","0","0","4","0","4","0","4","45","0","4","0","76","83","0","0","0","0","4","0","4","0","4","45","0","4","0","0","0","16","0","0","0","0","0","0","0","1","3","0","1","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L369","LeftAndRightActivity","com.jeremyfeinstein.slidingmenu.example.LeftAndRightActivity","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\LeftAndRightActivity.java","14","1","40","2","0","0","0","0","0","0","0","0","1","0","0","2","4","1","0","8","10","0","0","0","0","0","3","0","0","3","3","0","0","1","22","27","3","1","0","0","2","0","2","0","23","9","0","22","7","22","27","3","1","0","0","2","0","2","0","23","9","0","22","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L361","PropertiesActivity","com.jeremyfeinstein.slidingmenu.example.PropertiesActivity","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\PropertiesActivity.java","16","1","169","2","0.186589","1","2","2","0.181818","0.207407","28","28","1","0","0","2","2","1","0","5","7","0","0.113208","6","0","0","3","0.0422535","6","3","3","0","0","1","47","65","3","1","0","0","2","0","2","0","23","32","0","22","7","136","154","3","1","0","0","18","0","18","0","39","65","0","38","7","0","0","120","0","0","0","0","0","52","0","4","0","0","0","0","63","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L172","SampleListFragment","com.jeremyfeinstein.slidingmenu.example.SampleListFragment","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\SampleListFragment.java","13","1","56","2","0","0","0","0","0","0","0","0","2","1","1","3","2","7","0","2","4","0","0","0","0","0","3","0","0","0","0","0","0","0","13","17","0","0","0","0","2","0","2","0","2","8","0","2","0","36","44","2","1","2","1","5","2","5","0","5","18","2","5","0","0","0","26","0","0","0","0","0","0","0","1","0","0","0","0","19","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L381","SlidingContent","com.jeremyfeinstein.slidingmenu.example.SlidingContent","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\SlidingContent.java","6","1","26","2","0.777778","1","1","1","0.619048","0.666667","13","10","1","0","0","2","3","1","0","4","6","0","0.0625","1","0","0","3","0.0625","1","3","3","0","0","1","15","21","3","1","0","0","2","0","2","0","23","5","0","22","7","15","21","3","1","0","0","2","0","2","0","23","5","0","22","7","0","0","18","0","0","0","0","0","11","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L378","SlidingTitleBar","com.jeremyfeinstein.slidingmenu.example.SlidingTitleBar","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\SlidingTitleBar.java","7","1","27","2","0.777778","1","1","1","0.619048","0.666667","13","10","1","0","0","2","3","1","0","4","6","0","0.0625","1","0","0","3","0.0625","1","3","3","0","0","1","15","21","3","1","0","0","2","0","2","0","23","5","0","22","7","15","21","3","1","0","0","2","0","2","0","23","5","0","22","7","0","0","18","0","0","0","0","0","11","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L946","Util","com.jeremyfeinstein.slidingmenu.example.Util","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\Util.java","7","1","15","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","9","0","0","0","0","1","0","1","0","1","3","0","1","0","7","9","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L375","ViewPagerActivity","com.jeremyfeinstein.slidingmenu.example.ViewPagerActivity","L107","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\ViewPagerActivity.java","15","1","86","2","0","0","0","0","0","0","0","0","1","0","0","2","4","1","0","6","8","0","0","0","0","0","3","0","0","3","3","0","0","1","17","24","3","1","0","0","2","0","2","0","23","9","0","22","7","56","72","5","3","2","2","8","0","8","0","29","20","0","28","7","0","0","26","0","0","0","0","0","0","0","1","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1508","CanvasTransformerBuilder","com.jeremyfeinstein.slidingmenu.lib.CanvasTransformerBuilder","L1028","L103","D:\PR_assignment_src\SlidingMenu\library\src\com\jeremyfeinstein\slidingmenu\lib\CanvasTransformerBuilder.java","8","1","95","2","0","0","0","0","0","0","0","0","1","1","1","9","1","4","0","0","8","0","0","0","0","0","8","0","0","0","0","0","0","0","51","62","2","0","2","0","8","0","7","0","8","17","0","7","0","77","88","2","1","2","1","14","0","13","0","14","29","0","13","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","2","0","0","0","0","0"
