"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L126","AdapterWrapper","se.emilsjolander.stickylistheaders.AdapterWrapper","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","26","1","225","2","0","0","0","0","0","0","0","0","1","2","1","36","4","5","9","5","30","0.05","0.13125","21","18","1","19","0.117318","21","1","1","1","1","1","139","178","7","9","7","9","25","0","19","2","25","51","0","19","2","158","200","7","9","7","9","29","0","23","2","29","57","0","23","2","0","0","73","0","0","0","0","0","0","0","1","0","0","0","0","67","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L322","CheckableWrapperView","se.emilsjolander.stickylistheaders.CheckableWrapperView","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\CheckableWrapperView.java","11","1","31","2","0","0","0","0","0","0","0","0","1","0","0","4","1","1","1","1","5","0.2","0.227273","5","5","1","4","0.227273","5","1","1","0","0","1","17","21","5","2","0","0","4","0","4","1","12","4","0","7","1","17","21","5","2","0","0","4","0","4","1","12","4","0","7","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L369","DistinctMultiHashMap<TKey extends Object, TItemValue extends Object>","se.emilsjolander.stickylistheaders.DistinctMultiHashMap","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\DistinctMultiHashMap.java","15","1","147","2","0","0","0","0","0","0","0","0","1","2","2","27","1","1","2","3","18","0.153846","0.118812","12","10","2","11","0.097561","12","0","0","0","0","0","89","108","3","2","3","2","15","0","12","0","15","41","0","12","0","111","133","3","2","3","2","23","0","20","0","23","45","0","20","0","0","0","52","0","0","0","0","0","0","0","1","0","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L515","DualHashMap<TKey extends Object, TValue extends Object>","se.emilsjolander.stickylistheaders.DualHashMap","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\DualHashMap.java","9","1","39","2","0","0","0","0","0","0","0","0","1","1","1","7","0","1","3","0","5","0.166667","0.125","4","4","1","5","0.125","4","0","0","0","0","0","28","31","2","1","2","1","5","0","5","0","5","12","0","5","0","28","31","2","1","2","1","5","0","5","0","5","12","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L551","ExpandableStickyListHeadersAdapter","se.emilsjolander.stickylistheaders.ExpandableStickyListHeadersAdapter","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\ExpandableStickyListHeadersAdapter.java","15","2","131","2","0","0","0","0","0","0","0","0","1","1","1","24","3","1","6","7","28","0.047619","0.0306122","3","3","1","20","0.0306122","3","1","1","0","0","1","95","117","4","9","4","9","21","0","20","0","21","29","0","20","0","95","117","4","9","4","9","21","0","20","0","21","29","0","20","0","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L636","ExpandableStickyListHeadersListView","se.emilsjolander.stickylistheaders.ExpandableStickyListHeadersListView","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\ExpandableStickyListHeadersListView.java","13","1","126","2","0","0","0","0","0","0","0","0","1","1","1","23","4","5","2","12","24","0.0833333","0.149425","13","11","1","11","0.132653","13","1","1","0","0","1","74","103","28","29","4","1","12","2","11","2","116","32","2","100","37","85","114","28","29","4","1","14","2","13","2","118","36","2","102","37","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","14","0","0","0","0","0"
"L711","SectionIndexerAdapterWrapper","se.emilsjolander.stickylistheaders.SectionIndexerAdapterWrapper","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\SectionIndexerAdapterWrapper.java","6","1","32","2","0","0","0","0","0","0","0","0","0","0","0","4","2","1","1","1","5","0","0","0","0","0","4","0","0","2","2","0","0","1","21","27","8","12","1","3","4","0","3","0","29","5","0","22","2","21","27","8","12","1","3","4","0","3","0","29","5","0","22","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L638","StickyListHeadersListView","se.emilsjolander.stickylistheaders.StickyListHeadersListView","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\StickyListHeadersListView.java","38","1","1130","2","0.0187849","1","4","2","0.0182983","0.0240674","20","20","1","4","4","207","12","13","11","20","124","0.0777778","0.0899149","74","44","7","83","0.10549","98","0","0","1","1","0","749","982","24","28","24","28","104","0","89","35","104","365","0","89","35","831","1093","24","28","24","28","116","0","101","35","116","385","0","101","35","0","0","309","0","0","0","0","0","34","0","2","5","0","3","0","243","0","0","0","0","0","0","0","22","0","0","0","0","0"
"L254","WrapperView","se.emilsjolander.stickylistheaders.WrapperView","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\WrapperView.java","17","1","156","2","0","0","0","0","0","0","0","0","1","3","3","31","0","4","4","0","8","0.25","0.110236","14","6","1","3","0.110236","14","0","0","1","1","0","113","140","5","2","5","2","8","0","3","0","8","64","0","3","0","113","140","5","2","5","2","8","0","3","0","8","64","0","3","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L771","WrapperViewList","se.emilsjolander.stickylistheaders.WrapperViewList","L106","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\WrapperViewList.java","15","1","196","2","0","0","0","0","0","0","0","0","4","3","3","41","2","3","13","1","17","0","0.0632911","10","0","0","8","0.0621118","10","0","0","0","0","0","148","179","7","2","7","2","16","0","7","4","16","77","0","7","4","151","182","7","2","7","2","17","0","8","4","17","77","0","8","4","0","0","42","0","0","0","0","0","0","0","1","0","0","0","0","40","0","0","0","0","0","0","0","1","0","0","0","0","0"
