"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L857","FullTestSuite","com.example.android.sunshine.app.FullTestSuite","L108","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\androidTest\java\com\example\android\sunshine\app\FullTestSuite.java","23","1","32","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","9","10","0","0","0","0","2","0","2","0","2","2","0","2","0","9","10","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L909","DetailActivity","com.example.android.sunshine.app.DetailActivity","L108","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailActivity.java","25","1","67","2","0.289063","1","2","1","0.27907","0.3","12","9","3","1","1","5","2","1","0","1","4","0","0.166667","6","0","0","3","0.166667","6","0","0","0","0","0","30","43","0","0","0","0","3","0","2","0","3","15","0","2","0","30","43","0","0","0","0","3","0","2","0","3","15","0","2","0","0","0","18","0","0","0","0","0","10","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L922","DetailFragment","com.example.android.sunshine.app.DetailFragment","L108","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailFragment.java","43","1","240","2","0","0","0","0","0","0","0","0","2","2","2","16","2","2","4","8","17","0.125","0.154762","26","5","1","7","0.154762","26","0","0","0","0","0","142","198","27","0","27","0","9","10","7","0","9","64","10","7","0","142","198","27","0","27","0","9","10","7","0","9","64","10","7","0","0","0","26","0","0","0","0","0","0","0","1","0","0","0","0","17","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L1135","ForecastAdapter","com.example.android.sunshine.app.ForecastAdapter","L108","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\ForecastAdapter.java","16","1","131","2","0","0","0","0","0","0","0","0","1","1","1","12","3","1","2","6","12","0.142857","0.195122","16","5","1","6","0.191919","19","0","0","0","0","0","66","101","4","2","4","2","6","0","6","1","6","32","0","6","1","80","116","9","2","9","2","7","5","7","1","7","37","5","7","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L1210","ForecastFragment","com.example.android.sunshine.app.ForecastFragment","L108","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\ForecastFragment.java","42","1","274","2","0","0","0","0","0","0","0","0","5","3","3","23","4","3","2","5","19","0.0833333","0.259887","46","8","1","11","0.277228","56","0","0","0","0","0","131","212","17","0","17","0","14","1","11","1","14","48","1","11","1","146","233","17","0","17","0","16","1","13","1","16","53","1","13","1","0","0","34","0","0","0","0","0","0","0","1","0","0","0","0","26","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L1348","MainActivity","com.example.android.sunshine.app.MainActivity","L108","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\MainActivity.java","27","1","128","2","0.111446","1","2","1","0.147059","0.123288","15","9","3","2","2","13","5","1","0","4","9","0","0.170455","15","0","0","4","0.170455","15","1","1","0","0","1","73","102","4","0","4","0","5","0","3","0","5","37","0","3","0","73","102","4","0","4","0","5","0","3","0","5","37","0","3","0","0","0","19","0","0","0","0","0","7","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L944","SettingsActivity","com.example.android.sunshine.app.SettingsActivity","L108","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\SettingsActivity.java","35","1","91","2","0","0","0","0","0","0","0","0","1","2","2","6","0","2","0","0","4","0.25","0.37931","22","13","1","3","0.37931","22","0","0","0","0","0","36","57","0","1","0","1","4","0","3","0","4","15","0","3","0","36","57","0","1","0","1","4","0","3","0","4","15","0","3","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1770","Utility","com.example.android.sunshine.app.Utility","L108","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\Utility.java","27","1","249","2","0.392111","1","24","2","0.251121","0.348993","56","52","2","11","1","70","0","5","6","0","10","0.5","0.283654","59","37","5","5","0.283654","59","0","0","0","0","0","149","223","1","7","1","7","10","1","9","0","10","110","1","9","0","149","223","1","7","1","7","10","1","9","0","10","110","1","9","0","0","0","45","0","0","0","0","0","19","0","1","7","0","0","0","13","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L147","TestDb","com.example.android.sunshine.app.data.TestDb","L136","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\androidTest\java\com\example\android\sunshine\app\data\TestDb.java","25","1","237","2","0.252772","1","2","2","0.29108","0.350515","62","34","3","1","1","8","4","0","0","4","10","0.833333","0.486772","92","31","5","1","0.486772","92","0","0","0","0","0","97","213","1","0","1","0","6","1","5","1","6","54","1","5","1","97","213","1","0","1","0","6","1","5","1","6","54","1","5","1","0","0","25","0","0","0","0","0","19","0","1","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L260","TestProvider","com.example.android.sunshine.app.data.TestProvider","L136","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\androidTest\java\com\example\android\sunshine\app\data\TestProvider.java","40","1","515","2","0.108793","2","7","7","0.142857","0.171533","68","47","7","1","1","16","7","0","0","11","23","1","0.367206","159","60","11","0","0.367206","159","0","0","0","0","0","274","476","2","0","2","0","12","1","10","1","12","142","1","10","1","274","476","2","0","2","0","12","1","10","1","12","142","1","10","1","0","0","36","0","0","0","0","0","27","0","1","0","0","0","0","4","0","0","0","0","0","0","0","4","0","0","0","0","0"
