"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2011","BuildConfig","com.survivingwithandroid.BuildConfig","L105","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\gen\com\survivingwithandroid\BuildConfig.java","4","1","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2014","R","com.survivingwithandroid.R","L105","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\gen\com\survivingwithandroid\R.java","10","1","89","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.375","30","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","50","80","32","0","32","0","0","32","0","0","0","0","32","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","35","0","0","0","0","0"
"L2067","CookieActivity","com.survivingwithandroid.CookieActivity","L105","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\CookieActivity.java","57","1","160","2","0","0","0","0","0","0","0","0","2","0","0","2","4","3","0","0","2","0","0","0","0","0","2","0.0144928","1","0","0","0","0","0","21","35","5","0","5","0","2","0","1","0","2","7","0","1","0","68","104","5","0","5","0","6","0","2","0","6","35","0","2","0","0","0","23","0","0","0","0","0","0","0","2","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2131","DownloadActivity","com.survivingwithandroid.DownloadActivity","L105","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\DownloadActivity.java","50","1","142","2","0.167832","1","1","1","0.11828","0.152542","11","9","2","0","0","2","4","3","0","0","2","0","0","0","0","0","2","0.0327869","2","0","0","0","0","0","21","33","4","0","4","0","2","0","1","0","2","9","0","1","0","59","93","4","0","4","0","4","0","1","0","4","35","0","1","0","0","0","25","0","0","0","0","0","9","0","2","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2173","MainActivity","com.survivingwithandroid.MainActivity","L105","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\MainActivity.java","48","1","178","2","0.503212","3","3","3","0.381679","0.414894","50","39","3","2","2","5","4","2","1","0","3","0","0.0666667","4","0","0","2","0.0408163","4","0","0","0","0","0","56","80","3","0","3","0","3","0","1","0","3","35","0","1","0","94","131","3","0","3","0","9","0","5","0","9","53","0","5","0","0","0","86","0","0","0","0","0","48","0","2","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2219","UploadActivity","com.survivingwithandroid.UploadActivity","L105","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\UploadActivity.java","49","1","139","2","0.404181","1","1","1","0.285714","0.327586","26","19","2","0","0","2","3","4","0","0","2","0","0","0","0","0","2","0.0169492","1","0","0","0","0","0","20","35","2","0","2","0","2","0","1","0","2","9","0","1","0","58","91","2","0","2","0","5","0","2","0","5","33","0","2","0","0","0","43","0","0","0","0","0","22","0","2","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3250","BuildConfig","com.survivingwithandroid.BuildConfig","L105","L103","D:\PR_assignment_src\Surviving-with-android\HttpTestClient\gen\com\survivingwithandroid\BuildConfig.java","4","1","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L3253","R","com.survivingwithandroid.R","L105","L103","D:\PR_assignment_src\Surviving-with-android\HttpTestClient\gen\com\survivingwithandroid\R.java","10","1","86","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.38961","30","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","47","77","29","0","29","0","0","29","0","0","0","0","29","0","0","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","34","0","0","0","0","0"
"L3303","DownloadActivity","com.survivingwithandroid.DownloadActivity","L105","L103","D:\PR_assignment_src\Surviving-with-android\HttpTestClient\src\com\survivingwithandroid\DownloadActivity.java","39","1","96","2","0.313726","1","1","1","0.189655","0.243243","11","9","2","0","0","2","4","1","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","21","33","4","0","4","0","2","0","1","0","2","9","0","1","0","37","58","4","0","4","0","4","0","1","0","4","17","0","1","0","0","0","26","0","0","0","0","0","10","0","2","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2077","HttpClient","com.survivingwithandroid.HttpClient","L105","L103","D:\PR_assignment_src\Surviving-with-android\HttpTestClient\src\com\survivingwithandroid\HttpClient.java","29","1","125","2","0.608899","4","5","4","0.453608","0.464789","44","33","1","2","2","11","0","6","2","0","8","0","0","0","0","0","8","0","0","0","0","0","0","0","71","97","5","1","5","1","8","0","7","0","8","46","0","7","0","71","97","5","1","5","1","8","0","7","0","8","46","0","7","0","0","0","44","0","0","0","0","0","25","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
