"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4129","ApplicationTest","com.marshalchen.ultimaterecyclerview.ApplicationTest","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\androidTest\java\com\marshalchen\ultimaterecyclerview\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1765","CustomUltimateRecyclerview","com.marshalchen.ultimaterecyclerview.CustomUltimateRecyclerview","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\CustomUltimateRecyclerview.java","18","1","83","2","0.525097","2","8","2","0.424242","0.428571","28","21","1","2","2","9","2","3","1","4","9","0.2","0.0754717","4","3","1","4","0.0754717","4","2","2","0","0","1","49","66","66","8","1","0","5","1","4","1","98","31","10","80","34","49","66","66","8","1","0","5","1","4","1","98","31","10","80","34","0","0","37","0","0","0","0","0","12","0","0","0","0","0","0","13","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L1563","DragDropTouchListener","com.marshalchen.ultimaterecyclerview.DragDropTouchListener","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\DragDropTouchListener.java","52","1","347","2","0","0","0","0","0","0","0","0","1","2","2","48","0","2","0","0","20","0.375","0.1875","45","41","3","5","0.180723","45","0","0","0","0","0","195","286","15","2","15","2","20","0","7","2","20","123","0","7","2","204","296","15","2","15","2","21","0","8","2","21","128","0","8","2","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L1472","ItemTouchListenerAdapter","com.marshalchen.ultimaterecyclerview.ItemTouchListenerAdapter","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\ItemTouchListenerAdapter.java","37","1","130","2","0","0","0","0","0","0","0","0","3","1","1","19","2","2","1","4","13","0.125","0.22619","19","19","1","7","0.215909","19","0","0","0","0","0","65","89","3","1","3","1","9","0","7","0","9","30","0","7","0","69","94","3","1","3","1","11","0","9","0","11","30","0","9","0","0","0","27","0","0","0","0","0","0","0","1","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6302","NormalUltimateViewAdapter","com.marshalchen.ultimaterecyclerview.NormalUltimateViewAdapter","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\NormalUltimateViewAdapter.java","20","1","281","2","0.241681","1","6","1","0.0877863","0.152318","23","23","6","5","2","49","8","0","0","1","23","0.454545","0.325","65","61","10","12","0.325893","73","1","2","0","0","2","135","240","4","7","4","7","22","1","21","3","24","72","1","23","3","151","262","13","7","13","7","23","10","22","3","25","72","10","24","3","0","0","62","0","0","0","0","0","11","0","1","0","0","0","0","33","0","1","0","0","0","0","0","16","0","0","0","0","0"
"L7277","RecyclerItemClickListener","com.marshalchen.ultimaterecyclerview.RecyclerItemClickListener","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\RecyclerItemClickListener.java","25","1","58","2","0","0","0","0","0","0","0","0","3","1","1","7","1","0","0","1","5","0","0","0","0","0","5","0","0","0","0","0","0","0","21","28","2","0","2","0","4","0","4","0","4","7","0","4","0","27","34","2","0","2","0","6","0","6","0","6","8","0","6","0","0","0","22","0","0","0","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8544","SwipeableUltimateRecyclerview","com.marshalchen.ultimaterecyclerview.SwipeableUltimateRecyclerview","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\SwipeableUltimateRecyclerview.java","18","1","78","2","0.72549","3","11","3","0.57377","0.565217","35","26","1","2","2","9","5","0","0","6","11","0.2","0.0612245","3","3","1","4","0.0612245","3","2","2","0","0","1","46","61","65","8","0","0","5","0","4","1","98","29","9","80","34","46","61","65","8","0","0","5","0","4","1","98","29","9","80","34","0","0","35","0","0","0","0","0","12","0","0","0","0","0","0","13","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L3157","SwipeableUltimateViewAdapter<T extends Object>","com.marshalchen.ultimaterecyclerview.SwipeableUltimateViewAdapter","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\SwipeableUltimateViewAdapter.java","23","1","137","2","0","0","0","0","0","0","0","0","4","0","0","17","6","2","5","13","30","0.0714286","0.144578","12","10","1","13","0.129032","12","3","5","1","1","2","71","102","14","20","1","3","17","0","13","1","92","16","2","71","7","81","115","18","20","5","3","18","4","14","1","93","18","6","72","7","0","0","48","0","0","0","0","0","0","0","1","0","0","0","0","36","0","1","0","0","0","0","0","10","0","0","0","0","0"
"L8633","SwipeDismissTouchListener","com.marshalchen.ultimaterecyclerview.SwipeDismissTouchListener","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\SwipeDismissTouchListener.java","28","1","254","2","0","0","0","0","0","0","0","0","1","3","2","26","2","3","1","2","5","0.333333","0.131737","22","11","1","2","0.198068","41","0","0","0","0","0","145","190","14","0","14","0","3","0","2","0","3","82","0","2","0","166","227","14","0","14","0","8","0","7","0","8","90","0","7","0","0","0","26","0","0","0","0","0","0","0","0","1","0","0","0","20","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L2662","UltimateDifferentViewTypeAdapter<E extends Enum<E>>","com.marshalchen.ultimaterecyclerview.UltimateDifferentViewTypeAdapter","L106","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\UltimateDifferentViewTypeAdapter.java","15","1","160","2","0","0","0","0","0","0","0","0","1","3","3","34","3","4","8","2","24","0.0434783","0.119658","14","3","1","22","0.116667","14","2","3","1","1","1","103","143","13","22","1","10","22","0","22","0","74","52","2","65","5","106","146","21","22","2","10","22","1","22","0","74","52","10","65","5","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","14","0","0","0","0","0"
