"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L122","CirclePageIndicator","com.viewpagerindicator.CirclePageIndicator","L105","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","44","1","555","2","0.365452","13","78","13","0.273438","0.298765","140","121","2","5","4","90","2","7","2","1","35","0.0322581","0.0845411","35","23","1","30","0.0795455","35","1","1","0","0","1","379","481","18","6","18","6","34","0","30","12","34","224","0","30","12","405","512","20","6","20","6","39","1","34","12","39","231","1","34","12","0","0","142","0","0","0","0","0","37","0","2","4","0","0","0","81","0","0","0","0","0","0","0","18","0","0","0","0","0"
"L502","IconPageIndicator","com.viewpagerindicator.IconPageIndicator","L105","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\IconPageIndicator.java","36","1","172","2","0.419355","3","10","3","0.350365","0.391667","48","47","1","2","2","27","3","2","0","3","16","0.0769231","0.0416667","5","4","1","12","0.04","5","1","1","0","0","1","115","132","5","0","5","0","13","0","12","4","13","62","0","12","4","120","137","5","0","5","0","14","0","13","4","14","65","0","13","4","0","0","69","0","0","0","0","0","35","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L508","IcsLinearLayout","com.viewpagerindicator.IcsLinearLayout","L105","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\IcsLinearLayout.java","17","1","182","2","0.382445","1","12","2","0.313253","0.317241","52","46","1","3","3","35","0","2","2","0","9","0.333333","0.110429","18","7","1","2","0.110429","18","0","0","0","0","0","145","166","9","0","9","0","9","0","2","1","9","85","0","2","1","145","166","9","0","9","0","9","0","2","1","9","85","0","2","1","0","0","42","0","0","0","0","0","19","0","0","0","0","0","0","21","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L734","LinePageIndicator","com.viewpagerindicator.LinePageIndicator","L105","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\LinePageIndicator.java","39","1","448","2","0.412744","10","73","10","0.317073","0.34375","130","110","2","5","4","74","2","4","1","1","31","0.037037","0.0869565","28","18","1","26","0.0804598","28","1","1","0","0","1","294","379","13","5","13","5","30","0","26","10","30","170","0","26","10","320","410","15","5","15","5","35","1","30","10","35","177","1","30","10","0","0","129","0","0","0","0","0","34","0","2","3","0","0","0","75","0","0","0","0","0","0","0","15","0","0","0","0","0"
"L877","TabPageIndicator","com.viewpagerindicator.TabPageIndicator","L105","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\TabPageIndicator.java","37","1","283","2","0.241379","3","10","3","0.194332","0.235","48","47","1","2","2","40","5","6","3","5","21","0.0666667","0.0404624","7","5","1","14","0.0740741","16","1","1","0","0","1","166","203","9","0","9","0","16","0","14","5","16","92","0","14","5","200","247","10","1","10","1","22","0","20","5","22","106","0","20","5","0","0","91","0","0","0","0","0","35","0","0","0","0","0","0","54","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L1016","TitlePageIndicator","com.viewpagerindicator.TitlePageIndicator","L105","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\TitlePageIndicator.java","47","1","870","2","0.165653","9","29","9","0.114078","0.133005","94","81","2","6","5","124","5","9","3","4","54","0.0454545","0.148607","96","59","2","42","0.145863","104","1","1","0","0","1","550","749","31","14","31","14","50","0","43","19","50","344","0","43","19","609","824","40","14","40","14","60","8","50","19","60","361","8","50","19","0","0","194","0","0","0","0","0","28","0","2","8","0","0","0","123","0","0","0","0","0","0","0","33","0","0","0","0","0"
"L1350","UnderlinePageIndicator","com.viewpagerindicator.UnderlinePageIndicator","L105","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\UnderlinePageIndicator.java","38","1","402","2","0.364086","5","43","5","0.29863","0.3125","109","95","2","5","4","65","2","7","2","1","24","0.0434783","0.0258303","7","4","1","22","0.022508","7","1","1","0","0","1","264","319","17","4","17","4","23","0","22","8","23","149","0","22","8","304","365","19","4","19","4","30","1","28","8","30","165","1","28","8","0","0","119","0","0","0","0","0","25","0","2","3","0","0","0","75","0","0","0","0","0","0","0","14","0","0","0","0","0"
"L442","CirclePageIndicator$SavedState","com.viewpagerindicator.CirclePageIndicator$SavedState","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","524","5","554","6","0","0","0","0","0","0","0","0","1","0","0","3","0","2","2","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","18","22","2","0","2","0","3","1","2","0","3","5","1","2","0","26","31","2","0","2","0","5","1","4","0","5","7","1","4","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L835","LinePageIndicator$SavedState","com.viewpagerindicator.LinePageIndicator$SavedState","L734","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\LinePageIndicator.java","417","5","447","6","0","0","0","0","0","0","0","0","1","0","0","3","0","2","2","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","18","22","2","0","2","0","3","1","2","0","3","5","1","2","0","26","31","2","0","2","0","5","1","4","0","5","7","1","4","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","16","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L894","TabPageIndicator$1","com.viewpagerindicator.TabPageIndicator$1","L877","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\TabPageIndicator.java","55","77","65","6","0","0","0","0","0","0","0","0","1","1","1","3","2","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","11","11","0","0","0","0","1","0","1","0","1","6","0","1","0","11","11","0","0","0","0","1","0","1","0","1","6","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
