"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L7483","DataBinderMapper","android.databinding.DataBinderMapper","L7479","L103","D:\PR_assignment_src\agera\extensions\rvdatabinding\src\test\java\android\databinding\DataBinderMapper.java","12","1","28","2","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","0","3","0.25","0.0666667","1","1","1","3","0.0666667","1","0","0","0","0","0","14","17","2","2","2","2","3","1","3","1","3","3","1","3","1","14","17","2","2","2","2","3","1","3","1","3","3","1","3","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L193","BaseObservable","com.google.android.agera.BaseObservable","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\BaseObservable.java","41","1","189","2","0","0","0","0","0","0","0","0","2","3","2","28","4","21","27","5","15","0.333333","0.154362","23","23","1","2","0.154362","23","1","1","15","15","1","126","149","8","0","8","0","10","0","2","0","10","74","0","2","0","126","149","8","0","8","0","10","0","2","0","10","74","0","2","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","17","0","1","0","0","0","0","0","1","0","0","0","0","0"
"L317","Common","com.google.android.agera.Common","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\Common.java","23","1","95","2","0","0","0","0","0","0","0","0","0","0","0","1","4","6","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","7","12","4","0","4","0","1","0","0","0","1","0","0","0","0","60","73","6","0","6","0","11","0","8","0","11","9","0","8","0","0","0","41","0","0","0","0","0","0","0","1","0","0","0","0","37","0","3","0","0","0","0","0","0","0","0","0","0","0"
"L420","CompiledRepository","com.google.android.agera.CompiledRepository","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\CompiledRepository.java","40","1","625","2","0.0665336","2","22","4","0.0511945","0.0672646","30","30","1","4","3","91","16","2","13","18","60","0.25","0.152964","80","50","1","3","0.155303","82","2","5","0","0","3","443","583","39","0","31","0","42","0","3","4","52","221","0","5","4","446","586","39","0","31","0","42","0","3","4","52","221","0","5","4","0","0","96","0","0","0","0","0","9","0","0","1","0","2","0","75","0","1","0","0","0","0","0","8","0","0","0","0","0"
"L760","Conditions","com.google.android.agera.Conditions","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\Conditions.java","27","1","185","2","0.158416","1","6","1","0.0943396","0.135135","15","15","4","3","2","20","7","3","29","4","13","1","0.33","33","33","8","0","0.229167","33","0","0","0","0","0","67","109","0","0","0","0","9","0","7","0","9","30","0","7","0","111","159","5","0","5","0","15","0","10","0","15","41","0","10","0","0","0","38","0","0","0","0","0","9","0","1","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L843","FailedResultException","com.google.android.agera.FailedResultException","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\FailedResultException.java","24","1","29","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0.444444","4","4","1","0","0.444444","4","0","0","0","0","0","5","6","0","0","0","0","1","0","0","0","1","1","0","0","0","5","6","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L858","FunctionCompiler","com.google.android.agera.FunctionCompiler","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\FunctionCompiler.java","33","1","272","2","0.0392799","1","2","1","0.0416667","0.0295567","10","6","1","1","1","22","10","1","2","5","22","0","0.034188","4","0","0","13","0.0193237","4","2","3","0","0","2","113","140","2","0","2","0","17","0","12","0","17","41","0","12","0","203","240","7","0","7","0","27","0","17","0","27","71","0","17","0","0","0","78","0","0","0","0","0","7","0","0","0","0","0","0","70","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L1134","Functions","com.google.android.agera.Functions","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\Functions.java","35","1","115","2","0","0","0","0","0","0","0","0","6","0","0","7","9","10","39","3","10","1","0.451613","28","28","7","0","0.378378","28","0","0","0","0","0","34","67","0","0","0","0","7","0","6","0","7","7","0","6","0","46","81","1","0","1","0","9","0","7","0","9","9","0","7","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1212","IdentityMultimap<K extends Object, V extends Object>","com.google.android.agera.IdentityMultimap","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\IdentityMultimap.java","7","1","62","2","0","0","0","0","0","0","0","0","1","3","3","15","0","2","12","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","52","56","2","0","2","0","3","0","0","0","3","36","0","0","0","52","56","2","0","2","0","3","0","0","0","3","36","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1245","Mergers","com.google.android.agera.Mergers","L107","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\Mergers.java","25","1","56","2","0","0","0","0","0","0","0","0","2","0","0","3","3","5","5","1","4","1","0.434783","10","10","3","0","0.333333","10","0","0","0","0","0","13","25","1","0","1","0","3","0","2","0","3","2","0","2","0","20","32","1","0","1","0","4","0","3","0","4","3","0","3","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
