"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2916","PtrClassicDefaultHeader","in.srain.cube.views.ptr.PtrClassicDefaultHeader","L108","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","19","1","301","2","0","0","0","0","0","0","0","0","1","4","3","50","4","2","4","6","26","0.166667","0.0502283","11","10","2","10","0.0458333","11","1","1","0","0","1","208","258","13","1","13","1","20","0","11","3","20","118","0","11","3","229","283","14","1","14","1","23","0","12","3","23","127","0","12","3","0","0","51","0","0","0","0","0","0","0","0","1","0","0","0","48","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L312","PtrClassicFrameLayout","in.srain.cube.views.ptr.PtrClassicFrameLayout","L108","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicFrameLayout.java","6","1","56","2","0","0","0","0","0","0","0","0","1","1","1","9","2","14","7","8","15","0.285714","0.232558","10","10","2","5","0.232558","10","1","1","0","0","1","33","51","38","10","1","1","7","0","6","2","80","14","5","50","18","33","51","38","10","1","1","7","0","6","2","80","14","5","50","18","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L351","PtrDefaultHandler","in.srain.cube.views.ptr.PtrDefaultHandler","L108","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrDefaultHandler.java","6","1","39","2","0","0","0","0","0","0","0","0","1","2","2","7","2","12","6","0","3","0.25","0.258065","8","8","1","3","0.258065","8","1","1","3","3","1","23","34","0","0","0","0","3","0","3","0","4","8","0","4","0","23","34","0","0","0","0","3","0","3","0","4","8","0","4","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L361","PtrFrameLayout","in.srain.cube.views.ptr.PtrFrameLayout","L108","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrFrameLayout.java","17","1","1046","2","0","0","0","0","0","0","0","0","5","7","5","209","8","80","65","58","131","0.244444","0.149045","117","88","11","34","0.133033","118","0","0","1","1","0","668","914","37","9","37","9","73","5","44","16","73","335","5","44","16","769","1030","42","9","42","9","86","5","54","16","86","384","5","54","16","0","0","185","0","0","0","0","0","0","0","1","8","0","4","0","153","0","0","0","0","0","0","0","19","0","0","0","0","0"
"L3158","PtrUIHandlerHolder","in.srain.cube.views.ptr.PtrUIHandlerHolder","L108","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrUIHandlerHolder.java","8","1","159","2","0.266187","1","9","3","0.197368","0.245902","30","30","1","3","3","37","3","1","8","5","17","0.1","0.0542636","7","3","1","9","0.0542636","7","1","1","0","0","1","122","152","2","1","2","1","12","0","9","0","12","66","0","9","0","122","152","2","1","2","1","12","0","9","0","12","66","0","9","0","0","0","50","0","0","0","0","0","23","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1901","PtrUIHandlerHook","in.srain.cube.views.ptr.PtrUIHandlerHook","L108","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrUIHandlerHook.java","8","1","56","2","0","0","0","0","0","0","0","0","1","1","1","10","0","4","4","0","5","0.333333","0.208333","10","10","2","4","0.208333","10","0","0","1","1","0","38","49","5","0","5","0","5","0","5","1","5","15","0","5","1","38","49","5","0","5","0","5","0","5","1","5","15","0","5","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1110","MaterialHeader","in.srain.cube.views.ptr.header.MaterialHeader","L1867","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\header\MaterialHeader.java","17","1","182","2","0","0","0","0","0","0","0","0","2","1","1","17","5","3","1","15","30","0.333333","0.177966","21","20","4","8","0.152174","21","1","1","0","0","1","97","142","4","0","4","0","15","0","11","2","15","46","0","11","2","117","166","9","0","4","0","20","0","16","2","25","51","0","21","3","0","0","46","0","0","0","0","0","0","0","2","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1875","MaterialProgressDrawable","in.srain.cube.views.ptr.header.MaterialProgressDrawable","L1867","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\header\MaterialProgressDrawable.java","42","1","758","2","0","0","0","0","0","0","0","0","2","2","2","30","3","7","11","24","47","0.421053","0.248175","68","66","8","11","0.222052","145","0","0","0","0","0","206","304","39","5","39","5","23","2","18","10","23","89","2","18","10","508","717","66","17","66","17","69","2","62","24","69","221","2","62","24","0","0","152","0","0","0","0","0","0","0","4","0","0","0","0","122","0","0","0","0","0","0","0","26","0","0","0","0","0"
"L2509","StoreHouseBarItem","in.srain.cube.views.ptr.header.StoreHouseBarItem","L1867","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseBarItem.java","14","1","74","2","0","0","0","0","0","0","0","0","2","0","0","8","0","2","6","0","8","0.125","0.0588235","3","3","1","7","0.0588235","3","0","0","0","0","0","48","61","8","0","8","0","8","3","7","3","8","21","3","7","3","48","61","8","0","8","0","8","3","7","3","8","21","3","7","3","0","0","25","0","0","0","0","0","0","0","1","0","0","0","0","19","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L1378","StoreHouseHeader","in.srain.cube.views.ptr.header.StoreHouseHeader","L1867","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\header\StoreHouseHeader.java","18","1","331","2","0","0","0","0","0","0","0","0","2","4","4","41","7","7","6","12","39","0","0.00462963","1","0","0","21","0.00390625","1","1","1","0","0","1","215","264","21","4","21","4","27","1","20","6","27","129","1","20","6","255","314","26","4","26","4","30","1","21","6","30","154","1","21","6","0","0","80","0","0","0","0","0","0","0","1","2","0","0","0","66","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L2736","StoreHousePath","in.srain.cube.views.ptr.header.StoreHousePath","L1867","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\header\StoreHousePath.java","10","1","369","2","0","0","0","0","0","0","0","0","1","4","4","8","0","1","1","0","3","0.5","0.0390071","11","9","2","2","0.0390071","11","0","0","0","0","0","271","360","1","2","1","2","3","0","3","0","3","27","0","3","0","271","360","1","2","1","2","3","0","3","0","3","27","0","3","0","0","0","11","0","0","0","0","0","0","0","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
