"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1453","TestSetupHelper","com.example.android.uamp.TestSetupHelper","L107","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\androidTest\java\com\example\android\uamp\TestSetupHelper.java","25","1","41","2","0","0","0","0","0","0","0","0","1","0","0","1","3","4","4","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","11","13","0","0","0","0","1","0","1","0","1","5","0","1","0","15","17","0","0","0","0","2","0","2","0","2","6","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1439","AlbumArtCache","com.example.android.uamp.AlbumArtCache","L107","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\AlbumArtCache.java","31","1","130","2","0","0","0","0","0","0","0","0","1","1","1","8","2","15","7","3","8","0.2","0.310345","18","7","1","4","0.189474","18","0","0","0","0","0","40","62","10","3","10","3","5","0","4","0","5","14","0","4","0","77","100","10","3","10","3","10","0","6","0","10","28","0","6","0","0","0","32","0","0","0","0","0","0","0","1","0","0","0","0","29","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L2005","CastOptionsProvider","com.example.android.uamp.CastOptionsProvider","L107","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\CastOptionsProvider.java","30","1","43","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0.333333","0.2","3","3","1","2","0.2","3","0","0","0","0","0","12","14","0","2","0","2","2","0","2","0","2","2","0","2","0","12","14","0","2","0","2","2","0","2","0","2","2","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2014","MediaNotificationManager","com.example.android.uamp.MediaNotificationManager","L107","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\MediaNotificationManager.java","47","1","392","2","0","0","0","0","0","0","0","0","1","3","3","42","5","3","3","7","17","0.6","0.130112","35","19","3","2","0.115385","36","0","0","0","0","0","234","301","23","0","23","0","10","5","4","1","10","120","5","4","1","276","346","23","0","23","0","14","5","8","1","15","141","5","9","1","0","0","44","0","0","0","0","0","0","0","1","1","0","0","0","35","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L1041","MusicService","com.example.android.uamp.MusicService","L107","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\MusicService.java","113","1","479","2","0","0","0","0","0","0","0","0","1","4","3","23","16","13","0","21","32","0.6","0.424354","115","84","6","4","0.342246","128","1","1","0","0","1","156","257","19","0","19","0","11","5","9","0","11","76","5","9","0","246","367","20","0","20","0","28","5","25","0","28","105","5","25","0","0","0","72","0","0","0","0","0","0","0","2","0","0","2","0","60","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L2175","PackageValidator","com.example.android.uamp.PackageValidator","L107","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\PackageValidator.java","46","1","161","2","0","0","0","0","0","0","0","0","1","4","4","16","2","1","0","7","10","0.666667","0.209524","22","19","2","1","0.191304","22","0","0","0","0","0","83","105","2","0","2","0","3","0","2","0","3","46","0","2","0","93","116","5","0","5","0","4","0","3","0","4","49","0","3","0","0","0","16","0","0","0","0","0","0","0","0","2","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1801","VoiceSearchParams","com.example.android.uamp.VoiceSearchParams","L107","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\VoiceSearchParams.java","27","1","115","2","0","0","0","0","0","0","0","0","1","6","4","10","0","1","1","0","2","0.666667","0.206897","18","9","2","1","0.206897","18","0","0","0","0","0","69","89","11","0","11","0","2","11","2","0","2","32","11","2","0","69","89","11","0","11","0","2","11","2","0","2","32","11","2","0","0","0","15","0","0","0","0","0","0","0","0","4","0","0","0","5","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L140","MusicProviderTest","com.example.android.uamp.model.MusicProviderTest","L132","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\androidTest\java\com\example\android\uamp\model\MusicProviderTest.java","47","1","230","2","0.281602","4","9","6","0.298913","0.344371","55","52","1","1","1","20","4","0","0","15","28","0.0714286","0.0536913","8","3","1","13","0.0503145","8","0","0","0","0","0","141","174","1","0","1","0","13","0","13","0","13","78","0","13","0","151","184","1","2","1","2","15","0","15","0","15","80","0","15","0","0","0","85","0","0","0","0","0","49","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","MusicProvider","com.example.android.uamp.model.MusicProvider","L132","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\model\MusicProvider.java","48","1","347","2","0","0","0","0","0","0","0","0","1","4","3","45","7","16","33","9","30","0.5625","0.22314","54","41","9","7","0.208494","54","0","0","0","0","0","188","282","6","5","6","5","21","0","15","1","21","90","0","15","1","205","300","9","5","9","5","24","3","16","1","24","94","3","16","1","0","0","53","0","0","0","0","0","0","0","1","0","0","0","0","43","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L306","MutableMediaMetadata","com.example.android.uamp.model.MutableMediaMetadata","L132","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\model\MutableMediaMetadata.java","26","1","54","2","0","0","0","0","0","0","0","0","1","1","1","6","0","1","1","0","3","0.25","0.148148","4","4","1","3","0.148148","4","0","0","0","0","0","23","29","2","0","2","0","3","2","3","0","3","9","2","3","0","23","29","2","0","2","0","3","2","3","0","3","9","2","3","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L346","RemoteJSONSource","com.example.android.uamp.model.RemoteJSONSource","L132","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\model\RemoteJSONSource.java","39","1","156","2","0","0","0","0","0","0","0","0","1","4","4","14","2","1","0","4","7","0.5","0.176991","20","10","1","1","0.176991","20","1","1","0","0","1","93","118","13","0","12","0","3","0","1","0","3","46","1","1","0","93","118","13","0","12","0","3","0","1","0","3","46","1","1","0","0","0","15","0","0","0","0","0","0","0","0","2","0","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L638","PlaybackManagerTest","com.example.android.uamp.playback.PlaybackManagerTest","L625","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\androidTest\java\com\example\android\uamp\playback\PlaybackManagerTest.java","43","1","209","2","0.37451","3","6","4","0.407186","0.455285","68","56","1","1","1","5","10","0","0","10","14","0.25","0.125","9","3","1","3","0.145833","21","0","0","0","0","0","63","91","2","0","2","0","4","0","3","1","4","30","0","3","1","123","167","2","8","2","2","16","0","15","1","62","48","0","61","9","0","0","140","0","0","0","0","0","86","0","2","0","0","0","0","52","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L736","QueueManagerTest","com.example.android.uamp.playback.QueueManagerTest","L625","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\androidTest\java\com\example\android\uamp\playback\QueueManagerTest.java","46","1","281","2","0.109151","3","3","3","0.101695","0.148148","24","24","1","1","1","12","7","0","0","19","28","0.125","0.218935","37","3","1","7","0.18593","37","0","0","0","0","0","132","203","1","0","1","0","9","0","7","0","9","82","0","7","0","162","236","1","2","1","2","15","0","13","0","15","92","0","13","0","0","0","65","0","0","0","0","0","29","0","1","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L668","SimpleMetadataUpdateListener","com.example.android.uamp.playback.SimpleMetadataUpdateListener","L625","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\androidTest\java\com\example\android\uamp\playback\SimpleMetadataUpdateListener.java","23","1","39","2","0","0","0","0","0","0","0","0","4","0","0","4","2","3","0","0","4","0","0","0","0","0","5","0","0","1","1","2","2","1","14","17","0","0","0","0","4","0","4","0","4","0","0","4","0","14","17","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L695","SimplePlayback","com.example.android.uamp.playback.SimplePlayback","L625","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\androidTest\java\com\example\android\uamp\playback\SimplePlayback.java","20","1","95","2","0","0","0","0","0","0","0","0","8","0","0","15","2","3","0","0","15","0","0","0","0","0","16","0","0","1","1","2","2","1","52","76","0","3","0","3","15","0","15","4","15","5","0","15","4","52","76","0","3","0","3","15","0","15","4","15","5","0","15","4","0","0","34","0","0","0","0","0","0","0","1","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L680","SimplePlaybackServiceCallback","com.example.android.uamp.playback.SimplePlaybackServiceCallback","L625","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\androidTest\java\com\example\android\uamp\playback\SimplePlaybackServiceCallback.java","20","1","40","2","0","0","0","0","0","0","0","0","4","0","0","4","2","3","0","0","4","0","0","0","0","0","5","0","0","1","1","2","2","1","14","21","0","0","0","0","4","0","4","0","4","0","0","4","0","14","21","0","0","0","0","4","0","4","0","4","0","0","4","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
