"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L155","AsyncHttpClient","com.loopj.android.http.AsyncHttpClient","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\AsyncHttpClient.java","115","1","1688","2","0","0","0","0","0","0","0","0","4","4","4","171","14","59","57","32","132","0.945652","0.570688","771","763","87","5","0.536704","775","0","0","2","2","0","580","1475","22","12","22","12","100","13","91","27","100","294","13","91","27","669","1574","25","14","25","14","108","13","99","27","108","339","13","99","27","0","0","87","0","0","0","0","0","0","0","1","5","0","2","0","50","0","0","0","0","0","0","0","29","0","0","0","0","0"
"L926","AsyncHttpRequest","com.loopj.android.http.AsyncHttpRequest","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\AsyncHttpRequest.java","35","1","257","2","0","0","0","0","0","0","0","0","1","4","4","39","5","8","8","13","25","0.5","0.278351","54","36","5","5","0.278351","54","0","0","1","1","0","140","223","9","1","9","1","12","0","9","1","12","77","0","9","1","140","223","9","1","9","1","12","0","9","1","12","77","0","9","1","0","0","21","0","0","0","0","0","0","0","0","2","0","0","0","17","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L905","AsyncHttpResponseHandler","com.loopj.android.http.AsyncHttpResponseHandler","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\AsyncHttpResponseHandler.java","81","1","515","2","0","0","0","0","0","0","0","0","3","5","5","85","5","41","32","9","48","0.323529","0.333333","139","119","11","23","0.329466","142","1","1","19","34","1","278","422","19","7","19","7","39","2","33","6","39","119","2","33","6","289","435","20","7","20","7","41","2","34","6","41","122","2","34","6","0","0","77","0","0","0","0","0","0","0","1","4","0","0","0","58","0","1","0","0","0","0","0","13","0","0","0","0","0"
"L1355","Base64","com.loopj.android.http.Base64","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\Base64.java","25","1","714","2","0","0","0","0","0","0","0","0","2","2","2","22","3","5","1","4","12","1","0.611399","118","108","8","0","0.376396","236","0","0","0","0","0","75","216","6","0","6","0","8","6","7","0","8","35","6","7","0","391","690","25","0","25","0","16","12","15","0","16","221","12","15","0","0","0","45","0","0","0","0","0","0","0","3","5","0","0","0","10","0","0","0","0","0","0","0","27","0","0","0","0","0"
"L1535","Base64DataException","com.loopj.android.http.Base64DataException","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\Base64DataException.java","21","1","25","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1538","Base64OutputStream","com.loopj.android.http.Base64OutputStream","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\Base64OutputStream.java","23","1","146","2","0","0","0","0","0","0","0","0","1","2","2","21","5","1","2","5","13","0.333333","0.292035","33","28","2","4","0.292035","33","0","0","0","0","0","80","124","5","0","5","0","8","0","5","0","8","39","0","5","0","80","124","5","0","5","0","8","0","5","0","8","39","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1600","BaseJsonHttpResponseHandler<JSON_TYPE extends Object>","com.loopj.android.http.BaseJsonHttpResponseHandler","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\BaseJsonHttpResponseHandler.java","33","1","155","2","0","0","0","0","0","0","0","0","1","2","2","13","2","14","6","3","10","0.714286","0.529412","45","43","5","2","0.36","45","3","3","4","4","1","40","83","21","8","1","0","7","0","6","0","49","14","2","42","6","80","123","21","8","1","0","13","0","12","0","55","28","2","48","6","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L320","BearerAuthSchemeFactory","com.loopj.android.http.BearerAuthSchemeFactory","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\BearerAuthSchemeFactory.java","34","1","89","2","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","8","0","0","0","0","1","0","1","0","1","1","0","1","0","46","56","1","3","1","3","9","0","9","0","9","13","0","9","0","0","0","25","0","0","0","0","0","0","0","1","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1702","BinaryHttpResponseHandler","com.loopj.android.http.BinaryHttpResponseHandler","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\BinaryHttpResponseHandler.java","52","1","160","2","0","0","0","0","0","0","0","0","1","3","3","14","3","2","0","6","13","0.625","0.366667","44","42","5","3","0.366667","44","2","2","1","1","1","76","109","21","8","2","1","7","0","7","0","44","26","2","38","6","76","109","21","8","2","1","7","0","7","0","44","26","2","38","6","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1741","BlackholeHttpResponseHandler","com.loopj.android.http.BlackholeHttpResponseHandler","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\BlackholeHttpResponseHandler.java","13","1","64","2","0","0","0","0","0","0","0","0","10","0","0","10","2","0","0","0","10","0.0909091","0.179487","7","7","1","10","0.179487","7","2","2","0","0","1","32","52","19","7","0","0","10","0","10","0","47","0","2","41","6","32","52","19","7","0","0","10","0","10","0","47","0","2","41","6","0","0","27","0","0","0","0","0","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1769","DataAsyncHttpResponseHandler","com.loopj.android.http.DataAsyncHttpResponseHandler","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\DataAsyncHttpResponseHandler.java","29","1","150","2","0","0","0","0","0","0","0","0","1","5","5","20","3","0","0","9","15","0.6","0.280702","32","31","3","2","0.280702","32","2","2","0","0","1","82","122","21","8","2","1","6","0","4","0","45","47","2","37","6","82","122","21","8","2","1","6","0","4","0","45","47","2","37","6","0","0","12","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L1804","FileAsyncHttpResponseHandler","com.loopj.android.http.FileAsyncHttpResponseHandler","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\FileAsyncHttpResponseHandler.java","31","1","241","2","0","0","0","0","0","0","0","0","1","4","4","32","4","7","4","9","24","0.75","0.398964","77","76","9","3","0.398964","77","2","2","3","5","1","116","211","24","12","5","5","15","0","11","0","52","64","2","42","6","116","211","24","12","5","5","15","0","11","0","52","64","2","42","6","0","0","12","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L889","HttpDelete","com.loopj.android.http.HttpDelete","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\HttpDelete.java","31","1","59","2","0","0","0","0","0","0","0","0","0","0","0","4","0","1","5","0","4","0.6","0.419355","13","13","3","2","0.419355","13","0","0","0","0","0","18","29","1","1","1","1","4","1","4","0","4","6","1","4","0","18","29","1","1","1","1","4","1","4","0","4","6","1","4","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L739","HttpGet","com.loopj.android.http.HttpGet","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\HttpGet.java","31","1","60","2","0","0","0","0","0","0","0","0","0","0","0","4","0","1","3","0","4","0.6","0.419355","13","13","3","2","0.419355","13","0","0","0","0","0","18","30","1","1","1","1","4","1","4","0","4","6","1","4","0","18","30","1","1","1","1","4","1","4","0","4","6","1","4","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L1933","JsonHttpResponseHandler","com.loopj.android.http.JsonHttpResponseHandler","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\JsonHttpResponseHandler.java","37","1","285","2","0","0","0","0","0","0","0","0","2","4","3","33","4","6","6","8","23","0.6","0.421053","72","65","9","6","0.317797","75","3","3","0","0","1","99","182","22","8","2","0","15","0","14","1","55","43","2","48","7","161","249","22","8","2","0","21","0","20","1","61","73","2","54","7","0","0","49","0","0","0","0","0","0","0","1","1","0","0","0","43","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2036","JsonStreamerEntity","com.loopj.android.http.JsonStreamerEntity","L107","L103","D:\PR_assignment_src\android-async-http\library\src\main\java\com\loopj\android\http\JsonStreamerEntity.java","41","1","391","2","0","0","0","0","0","0","0","0","5","13","6","56","9","1","1","7","23","0.166667","0.204082","60","16","2","10","0.204082","60","0","0","0","0","0","234","351","16","4","16","4","16","0","11","0","16","134","0","11","0","234","351","16","4","16","4","16","0","11","0","16","134","0","11","0","0","0","42","0","0","0","0","0","0","0","1","7","0","0","0","29","0","0","0","0","0","0","0","5","0","0","0","0","0"
