"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L133","MainActivity","com.futurice.project.MainActivity","L106","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\MainActivity.java","10","1","40","2","0","0","0","0","0","0","0","0","3","1","1","5","1","1","0","0","3","0","0.137931","4","0","0","3","0.137931","4","0","0","0","0","0","25","31","0","0","0","0","3","0","2","0","3","10","0","2","0","25","31","0","0","0","0","3","0","2","0","3","10","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L216","BookFragment","com.futurice.project.fragments.BookFragment","L213","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\fragments\BookFragment.java","22","1","121","2","0","0","0","0","0","0","0","0","2","0","0","10","4","3","0","3","13","0","0.0649351","5","0","0","6","0.0561798","5","0","0","0","0","0","72","88","6","4","6","4","10","0","5","0","10","19","0","5","0","84","100","6","4","6","4","17","0","12","0","17","28","0","12","0","0","0","59","0","0","0","0","0","0","0","1","0","0","0","0","57","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L184","BiographiesModel","com.futurice.project.models.BiographiesModel","L381","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\models\BiographiesModel.java","15","1","64","2","0","0","0","0","0","0","0","0","1","1","1","7","4","4","7","2","8","0","0.0645161","2","0","0","5","0.0465116","2","0","0","0","0","0","29","37","1","4","1","4","6","0","4","0","6","9","0","4","0","41","50","1","4","1","4","8","0","6","0","8","21","0","6","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L457","ApiConstants","com.futurice.project.network.ApiConstants","L451","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\network\ApiConstants.java","3","1","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0.272727","3","1","0","1","0.272727","3","0","0","0","0","0","8","10","6","0","6","0","0","6","0","0","0","0","6","0","0","8","10","6","0","6","0","0","6","0","0","0","0","6","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L466","JacksonConverter","com.futurice.project.network.JacksonConverter","L451","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\network\JacksonConverter.java","22","1","58","2","0","0","0","0","0","0","0","0","1","1","1","9","0","1","1","0","4","0.2","0.0857143","3","3","1","4","0.0857143","3","0","0","0","0","0","32","37","2","0","2","0","4","0","4","0","4","13","0","4","0","32","37","2","0","2","0","4","0","4","0","4","13","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L499","MyProjectApi","com.futurice.project.network.MyProjectApi","L451","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\network\MyProjectApi.java","17","1","71","2","0","0","0","0","0","0","0","0","1","1","1","6","4","1","1","2","7","1","0.433962","23","22","3","0","0.433962","23","0","0","0","0","0","30","55","2","3","2","3","5","0","2","0","5","11","0","2","0","30","55","2","3","2","3","5","0","2","0","5","11","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L537","SubscriptionUtils","com.futurice.project.utils.SubscriptionUtils","L534","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\utils\SubscriptionUtils.java","10","1","22","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","11","12","0","0","0","0","2","0","1","0","2","1","0","1","0","12","13","0","0","0","0","3","0","2","0","3","2","0","2","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L130","BookFragmentTest","com.futurice.project.test.device.BookFragmentTest","L121","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\androidTest\java\com\futurice\project\test\device\BookFragmentTest.java","11","1","29","2","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","16","19","1","0","1","0","3","0","2","1","3","6","0","2","1","16","19","1","0","1","0","3","0","2","1","3","6","0","2","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L197","RobolectricGradleTestRunner","com.futurice.project.test.robolectric.RobolectricGradleTestRunner","L170","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\androidTest\java\com\futurice\project\test\robolectric\RobolectricGradleTestRunner.java","9","1","26","2","0","0","0","0","0","0","0","0","0","1","1","4","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","16","18","0","1","0","1","2","0","1","0","2","7","0","1","0","16","18","0","1","0","1","2","0","1","0","2","7","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L306","Author","com.futurice.project.models.pojo.Author","L439","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\models\pojo\Author.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0"
