"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L144","DbConstants","cn.trinea.android.common.constant.DbConstants","L140","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\constant\DbConstants.java","8","1","110","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0.0786517","7","7","1","0","0.0786517","7","0","0","0","0","0","82","103","46","0","46","0","0","45","0","0","0","0","45","0","0","82","103","46","0","46","0","0","45","0","0","0","0","45","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L242","HttpConstants","cn.trinea.android.common.constant.HttpConstants","L140","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\constant\HttpConstants.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0.6","6","6","1","0","0.6","6","0","0","0","0","0","4","5","2","0","2","0","0","2","0","0","0","0","2","0","0","4","5","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L427","CacheObject<V extends Object>","cn.trinea.android.common.entity.CacheObject","L501","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\entity\CacheObject.java","12","1","212","2","0","0","0","0","0","0","0","0","1","1","1","27","1","30","34","2","22","0.857143","0.530387","96","96","18","3","0.530387","96","0","0","0","0","0","85","201","8","6","8","6","20","0","20","7","20","29","0","20","7","85","201","8","6","8","6","20","0","20","7","20","29","0","20","7","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L594","FailedReason","cn.trinea.android.common.entity.FailedReason","L501","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\entity\FailedReason.java","8","1","49","2","0","0","0","0","0","0","0","0","0","0","0","4","1","10","4","0","4","0.6","0.454545","15","15","3","2","0.439024","18","0","0","0","0","0","18","34","2","2","2","2","4","0","4","0","4","6","0","4","0","23","42","5","2","5","2","4","3","4","0","4","6","3","4","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L635","HttpRequest","cn.trinea.android.common.entity.HttpRequest","L501","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\entity\HttpRequest.java","28","1","158","2","0","0","0","0","0","0","0","0","0","1","1","17","1","4","11","1","16","0.8125","0.514925","69","69","13","3","0.514925","69","0","0","0","0","0","65","131","5","7","5","7","15","0","15","6","15","26","0","15","6","65","131","5","7","5","7","15","0","15","6","15","26","0","15","6","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L259","HttpResponse","cn.trinea.android.common.entity.HttpResponse","L501","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\entity\HttpResponse.java","36","1","297","2","0","0","0","0","0","0","0","0","1","4","4","34","4","10","14","3","25","0.578947","0.522901","137","137","11","8","0.522901","137","0","0","0","0","0","125","262","8","10","8","10","22","0","18","8","22","56","0","18","8","125","262","8","10","8","10","22","0","18","8","22","56","0","18","8","0","0","27","0","0","0","0","0","0","0","0","2","0","0","0","19","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L790","PatchResult","cn.trinea.android.common.entity.PatchResult","L501","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\entity\PatchResult.java","8","1","53","2","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0","5","0.833333","0.555556","25","25","5","1","0.555556","25","0","0","0","0","0","20","46","2","2","2","2","5","0","5","2","5","6","0","5","2","20","46","2","2","2","2","5","0","5","2","5","6","0","5","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L895","HttpCache","cn.trinea.android.common.service.HttpCache","L809","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\service\HttpCache.java","50","1","406","2","0","0","0","0","0","0","0","0","2","4","4","40","12","3","3","19","34","0.909091","0.565543","151","149","10","1","0.524638","181","0","0","0","0","0","116","282","5","2","5","2","15","1","10","0","15","60","1","10","0","164","357","7","2","7","2","25","1","12","0","25","76","1","12","0","0","0","37","0","0","0","0","0","0","0","4","3","0","1","0","25","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2556","AppUtils","cn.trinea.android.common.util.AppUtils","L2519","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\util\AppUtils.java","19","1","79","2","0","0","0","0","0","0","0","0","2","2","2","13","2","0","0","2","5","1","0.46875","30","30","3","0","0.46875","30","0","0","0","0","0","34","61","0","0","0","0","3","0","2","0","3","19","0","2","0","34","61","0","0","0","0","3","0","2","0","3","19","0","2","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2611","ArrayUtils","cn.trinea.android.common.util.ArrayUtils","L2519","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\util\ArrayUtils.java","21","1","179","2","0.311688","1","10","2","0.176101","0.325","28","26","1","2","2","27","1","7","9","3","13","1","0.490446","77","77","10","0","0.490446","77","0","0","0","0","0","80","159","0","8","0","8","10","0","9","0","10","48","0","9","0","80","159","0","8","0","8","10","0","9","0","10","48","0","9","0","0","0","20","0","0","0","0","0","17","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2698","AssetDatabaseOpenHelper","cn.trinea.android.common.util.AssetDatabaseOpenHelper","L2519","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\util\AssetDatabaseOpenHelper.java","22","1","84","2","0.666667","1","6","2","0.380952","0.578947","24","22","1","2","2","11","1","0","0","1","6","0.8","0.424242","28","28","4","1","0.424242","28","0","0","0","0","0","38","63","2","3","2","3","5","0","4","0","5","18","0","4","0","38","63","2","3","2","3","5","0","4","0","5","18","0","4","0","0","0","22","0","0","0","0","0","17","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2740","CacheManager","cn.trinea.android.common.util.CacheManager","L2519","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\util\CacheManager.java","14","1","58","2","0.528302","1","3","1","0.222222","0.454545","10","10","0","2","2","6","4","1","0","3","7","1","0.511111","23","23","4","0","0.511111","23","0","0","0","0","0","22","45","1","3","1","3","4","0","3","0","4","8","0","3","0","22","45","1","3","1","3","4","0","3","0","4","8","0","3","0","0","0","13","0","0","0","0","0","11","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2762","CollectionUtils","cn.trinea.android.common.util.CollectionUtils","L2519","L103","D:\PR_assignment_src\android-common\src\cn\trinea\android\common\util\CollectionUtils.java","12","1","54","2","0","0","0","0","0","0","0","0","2","0","0","5","0","0","0","0","3","1","0.727273","32","32","3","0","0.727273","32","0","0","0","0","0","12","43","1","0","1","0","3","1","2","0","3","3","1","2","0","12","43","1","0","1","0","3","1","2","0","3","3","1","2","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0"
