"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L149","AuthFailureError","com.android.volley.AuthFailureError","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\AuthFailureError.java","24","1","58","2","0","0","0","0","0","0","0","0","0","1","1","8","2","8","2","4","11","0.125","0.129032","4","4","1","7","0.129032","4","1","1","0","0","1","27","35","3","3","1","2","7","0","7","0","14","8","1","13","1","27","35","3","3","1","2","7","0","7","0","14","8","1","13","1","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L271","CacheDispatcher","com.android.volley.CacheDispatcher","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\CacheDispatcher.java","32","1","164","2","0.076412","1","3","1","0.0827068","0.1125","11","9","1","3","3","12","7","3","4","15","18","0.75","0.37069","43","27","3","1","0.354839","44","0","0","0","0","0","73","125","6","0","6","0","3","0","3","0","3","44","0","3","0","80","133","6","0","6","0","4","0","4","0","4","46","0","4","0","0","0","15","0","0","0","0","0","5","0","0","0","0","1","0","8","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L381","DefaultRetryPolicy","com.android.volley.DefaultRetryPolicy","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\DefaultRetryPolicy.java","22","1","106","2","0","0","0","0","0","0","0","0","1","1","1","8","2","2","2","0","7","1","0.472973","35","35","7","0","0.472973","35","1","1","0","0","1","39","85","7","3","7","3","7","3","6","0","7","12","3","6","0","39","85","7","3","7","3","7","3","6","0","7","12","3","6","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L433","ExecutorDelivery","com.android.volley.ExecutorDelivery","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\ExecutorDelivery.java","26","1","118","2","0","0","0","0","0","0","0","0","1","0","0","5","5","3","5","4","9","0.5","0.35","14","13","3","3","0.270588","23","1","1","1","1","1","26","47","1","0","1","0","5","0","5","0","5","9","0","5","0","62","93","4","0","4","0","8","0","8","0","8","24","0","8","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L502","InternalUtils","com.android.volley.InternalUtils","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\InternalUtils.java","12","1","43","2","0","0","0","0","0","0","0","0","1","1","1","5","0","1","1","0","2","0.5","0.1875","6","6","1","1","0.1875","6","0","0","0","0","0","26","32","1","0","1","0","2","0","1","0","2","17","0","1","0","26","32","1","0","1","0","2","0","1","0","2","17","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L545","NetworkDispatcher","com.android.volley.NetworkDispatcher","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\NetworkDispatcher.java","35","1","154","2","0.0721003","1","3","1","0.0916667","0.118421","11","9","1","3","3","16","8","2","4","17","22","0.75","0.33913","39","26","3","1","0.33913","39","0","0","0","0","0","76","120","5","0","5","0","5","0","3","0","5","44","0","3","0","76","120","5","0","5","0","5","0","3","0","5","44","0","3","0","0","0","15","0","0","0","0","0","6","0","0","1","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L611","NetworkError","com.android.volley.NetworkError","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\NetworkError.java","22","1","35","2","0","0","0","0","0","0","0","0","0","0","0","3","2","2","3","3","6","0.25","0.2","3","3","1","3","0.2","3","1","1","1","1","1","12","14","2","1","0","0","3","0","3","0","10","3","1","9","1","12","14","2","1","0","0","3","0","3","0","10","3","1","9","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L170","NetworkResponse","com.android.volley.NetworkResponse","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\NetworkResponse.java","28","1","75","2","0","0","0","0","0","0","0","0","0","0","0","4","0","34","10","0","4","0.4","0.380952","16","16","2","3","0.380952","16","0","0","0","0","0","26","48","6","0","6","0","4","5","4","0","4","8","5","4","0","26","48","6","0","6","0","4","5","4","0","4","8","5","4","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L656","NoConnectionError","com.android.volley.NoConnectionError","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\NoConnectionError.java","22","1","31","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","2","4","0.333333","0.25","3","3","1","2","0.25","3","2","2","0","0","1","9","10","2","1","0","0","2","0","2","0","12","2","1","11","1","9","10","2","1","0","0","2","0","2","0","12","2","1","11","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L665","ParseError","com.android.volley.ParseError","L106","L103","D:\PR_assignment_src\android-volley\src\main\java\com\android\volley\ParseError.java","22","1","33","2","0","0","0","0","0","0","0","0","0","0","0","3","2","3","4","3","6","0.25","0.230769","3","3","1","3","0.230769","3","1","1","0","0","1","10","12","2","1","0","0","3","0","3","0","10","2","1","9","1","10","12","2","1","0","0","3","0","3","0","10","2","1","9","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0","0","0","0"
