"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L21847","R","android.R","L21844","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\test\java\android\R.java","3","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7903","ElementValidation","org.androidannotations.ElementValidation","L105","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\ElementValidation.java","25","1","109","2","0","0","0","0","0","0","0","0","1","2","2","13","1","119","122","1","12","0.0833333","0.109091","6","6","1","11","0.0869565","6","0","0","0","0","0","49","68","5","5","5","5","11","0","11","0","11","18","0","11","0","63","85","7","7","7","7","14","0","14","0","14","22","0","14","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7822","Option","org.androidannotations.Option","L105","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\Option.java","18","1","35","2","0","0","0","0","0","0","0","0","0","0","0","3","0","14","2","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","14","18","2","2","2","2","3","0","3","0","3","4","0","3","0","14","18","2","2","2","2","3","0","3","0","3","4","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21564","ParameterizedRobolectricTestRunnerWorkaround","org.robolectric.ParameterizedRobolectricTestRunnerWorkaround","L21561","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations-test\src\test\java\org\robolectric\ParameterizedRobolectricTestRunnerWorkaround.java","33","1","108","2","0","0","0","0","0","0","0","0","0","1","1","3","1","0","0","1","3","0","0.102564","4","0","0","2","0.109375","7","0","0","0","0","0","35","49","5","1","5","1","2","0","1","0","2","21","0","1","0","57","76","5","1","5","1","4","0","1","0","4","30","0","1","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22368","Build","android.os.Build","L22366","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\test\resources\org\androidannotations\generation\Build.java","22","1","34","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.571429","4","4","1","0","0.285714","4","0","0","0","0","0","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","10","13","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L1237","Context","android.content.Context","L23170","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\test\resources\org\androidannotations\generation\Context.java","22","1","38","2","0","0","0","0","0","0","0","0","1","0","0","4","0","32","0","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","13","17","0","3","0","3","4","0","4","0","4","3","0","4","0","13","17","0","3","0","3","4","0","4","0","4","3","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3844","Fragment","android.app.Fragment","L24520","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\test\resources\org\androidannotations\generation\Fragment.java","24","1","69","2","0","0","0","0","0","0","0","0","5","0","0","9","1","21","4","0","9","0.1","0.142857","4","4","1","9","0.125","4","0","0","16","20","0","24","40","0","3","0","3","9","0","9","1","9","4","0","9","1","28","46","0","3","0","3","11","0","11","1","11","4","0","11","1","0","0","30","0","0","0","0","0","0","0","1","0","0","0","0","28","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L730","ResId","org.androidannotations.annotations.ResId","L120","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations-api\src\main\java\org\androidannotations\annotations\ResId.java","21","1","35","2","0","0","0","0","0","0","0","0","0","0","0","1","0","61","0","0","1","1","0.666667","10","10","1","0","0.666667","10","0","0","0","0","0","5","15","1","0","1","0","1","1","0","0","1","0","1","0","0","5","15","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L975","BackgroundExecutor","org.androidannotations.api.BackgroundExecutor","L970","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations-api\src\main\java\org\androidannotations\api\BackgroundExecutor.java","32","1","489","2","0","0","0","0","0","0","0","0","2","4","4","37","2","8","17","4","18","0.909091","0.590106","167","158","10","1","0.540094","229","0","0","0","0","0","116","314","7","0","7","0","14","2","10","2","14","59","2","10","2","195","458","14","0","14","0","25","2","20","2","28","91","2","22","2","0","0","37","0","0","0","0","0","0","0","2","2","0","0","0","26","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L2240","UiThreadExecutor","org.androidannotations.api.UiThreadExecutor","L970","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations-api\src\main\java\org\androidannotations\api\UiThreadExecutor.java","30","1","124","2","0","0","0","0","0","0","0","0","1","2","2","10","1","5","4","1","6","1","0.347222","25","21","3","0","0.280899","25","0","0","0","0","0","47","77","2","0","2","0","5","0","2","0","5","24","0","2","0","64","95","4","0","4","0","7","0","3","0","7","30","0","3","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2361","ViewServer","org.androidannotations.api.ViewServer","L970","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations-api\src\main\java\org\androidannotations\api\ViewServer.java","114","1","874","2","0.0304723","1","8","2","0.0289093","0.0405904","22","22","2","4","4","44","4","2","3","4","22","1","0.465823","184","183","12","0","0.25855","189","0","0","1","1","0","211","368","21","0","21","0","18","0","11","2","18","104","0","11","2","542","761","26","1","26","1","49","0","34","4","67","276","0","45","6","0","0","120","0","0","0","0","0","16","0","3","6","0","0","0","88","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L2833","AbstractActivity","org.androidannotations.test.AbstractActivity","L2753","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations-test\src\main\java\org\androidannotations\test\AbstractActivity.java","24","1","30","2","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","2","2","0","5","7","1","0","1","0","0","0","0","0","0","0","0","0","0","5","7","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2845","ActivityWithGenerics","org.androidannotations.test.ActivityWithGenerics","L2753","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations-test\src\main\java\org\androidannotations\test\ActivityWithGenerics.java","26","1","52","2","0","0","0","0","0","0","0","0","5","0","0","5","3","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","18","27","0","0","0","0","5","0","0","0","5","0","0","0","0","18","27","0","0","0","0","5","0","0","0","5","0","0","0","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2902","ActivityWithServices","org.androidannotations.test.ActivityWithServices","L2753","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations-test\src\main\java\org\androidannotations\test\ActivityWithServices.java","54","1","330","2","0","0","0","0","0","0","0","0","4","0","0","4","2","0","0","0","4","0","0.543147","107","107","0","1","0.543147","107","0","0","0","0","0","90","277","38","0","38","0","4","0","0","0","4","5","0","0","0","90","277","38","0","38","0","4","0","0","0","4","5","0","0","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0"
