"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L115","Jni","bazel.Jni","L104","L103","D:\PR_assignment_src\bazel\examples\android\java\bazel\Jni.java","6","1","8","2","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0.5","0.5","3","3","1","1","0.5","3","1","1","0","0","1","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","3","3","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L127","Lib","bazel.Lib","L104","L103","D:\PR_assignment_src\bazel\examples\android\java\bazel\Lib.java","6","1","10","2","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0.5","0.375","3","3","1","1","0.375","3","1","1","0","0","1","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L131","MainActivity","bazel.MainActivity","L104","L103","D:\PR_assignment_src\bazel\examples\android\java\bazel\MainActivity.java","10","1","20","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","2","3","0.5","0.230769","3","3","1","1","0.230769","3","0","0","0","0","0","10","11","0","0","0","0","1","0","1","0","1","5","0","1","0","10","11","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171878","A","A","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\A.java","19","1","71","2","0","0","0","0","0","0","0","0","3","0","0","3","1","1","1","0","3","0.5","0.333333","6","5","1","1","0.361111","13","1","1","1","1","1","12","33","3","0","3","0","3","1","1","0","3","2","1","1","0","23","53","3","0","3","0","8","1","1","0","8","2","1","1","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L171917","AnnotatedClass","AnnotatedClass","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\AnnotatedClass.java","18","1","38","2","0","0","0","0","0","0","0","0","1","0","0","2","4","0","0","0","2","0.5","0.457143","16","16","1","1","0.457143","16","1","1","0","0","1","19","21","1","0","1","0","2","0","1","0","2","2","0","1","0","19","21","1","0","1","0","2","0","1","0","2","2","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171935","Annotations","Annotations","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\Annotations.java","23","1","38","2","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","1","0.5","3","3","1","0","0.1875","3","1","1","0","0","1","3","6","0","0","0","0","1","0","0","0","1","0","0","0","0","13","16","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171950","B","B","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\B.java","18","1","51","2","0","0","0","0","0","0","0","0","2","1","1","5","4","0","0","2","5","0","0.25","7","0","0","2","0.25","7","2","2","0","0","1","21","34","4","0","1","0","3","1","1","0","6","8","2","2","0","21","34","4","0","1","0","3","1","1","0","6","8","2","2","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L171971","DeprecatedParts","DeprecatedParts","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\DeprecatedParts.java","18","1","93","2","0","0","0","0","0","0","0","0","4","0","0","4","1","5","1","0","4","0.8","0.604167","29","29","4","1","0.539474","41","1","1","0","0","1","19","57","4","0","4","0","4","4","4","0","4","0","4","4","0","35","76","4","0","4","0","6","4","6","0","6","0","4","6","0","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L172016","DumbClass<V extends Object>","DumbClass","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\DumbClass.java","19","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0.85","17","17","1","0","0.73913","17","1","1","0","0","1","3","3","1","0","1","0","0","1","0","0","0","0","1","0","0","6","6","2","0","2","0","0","1","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L172041","EnclosingMethod","EnclosingMethod","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\EnclosingMethod.java","21","1","39","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.666667","4","4","1","0","0.181818","4","1","1","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","18","19","0","0","0","0","3","0","2","0","3","5","0","2","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172061","IjarTests","IjarTests","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\IjarTests.java","58","1","269","2","0.0514905","1","3","1","0.0518868","0.0588235","11","10","3","3","3","26","3","0","0","2","13","0.714286","0.16129","30","25","5","2","0.15","30","1","1","0","0","1","156","197","1","2","1","2","11","0","6","0","11","65","0","6","0","170","212","1","3","1","3","14","0","9","0","14","69","0","9","0","0","0","39","0","0","0","0","0","8","0","1","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172131","ClassWithLambda","ClassWithLambda","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\invokedynamic\ClassWithLambda.java","17","1","31","2","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","0","2","0","0","0","0","0","1","0","0","1","1","0","0","1","10","14","1","0","1","0","2","0","0","0","2","3","0","0","0","11","15","1","0","1","0","2","0","0","0","2","3","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172153","LocalAndAnonymous","LocalAndAnonymous","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\LocalAndAnonymous.java","18","1","37","2","0","0","0","0","0","0","0","0","2","0","0","2","3","2","0","1","3","0.5","0.666667","18","16","1","1","0.558824","19","1","1","2","3","1","9","14","0","0","0","0","2","0","1","0","2","3","0","1","0","15","20","0","0","0","0","3","0","1","0","9","3","0","4","0","0","0","22","0","0","0","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172195","PrivateMembersClass","PrivateMembersClass","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\PrivateMembersClass.java","18","1","51","2","0","0","0","0","0","0","0","0","1","0","0","4","3","0","0","2","6","0.5","0.533333","16","16","1","1","0.380952","16","1","1","0","0","1","14","22","1","0","1","0","4","0","1","0","4","4","0","1","0","26","34","1","0","1","0","6","0","1","0","6","6","0","1","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172236","PrivateNestedClass","PrivateNestedClass","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\PrivateNestedClass.java","18","1","20","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0.842105","16","16","1","0","0.842105","16","1","1","0","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172105","StripVerifyingVisitor","StripVerifyingVisitor","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\StripVerifyingVisitor.java","28","1","224","2","0","0","0","0","0","0","0","0","6","1","1","13","2","1","1","2","12","0.0909091","0.169014","12","3","1","10","0.132911","21","0","0","0","0","0","59","80","2","0","2","0","10","1","10","0","10","12","1","10","0","137","197","8","0","8","0","39","1","37","0","39","25","1","37","0","0","0","76","0","0","0","0","0","0","0","3","0","0","0","0","63","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L172422","Util","Util","L171851","L103","D:\PR_assignment_src\bazel\third_party\ijar\test\typeannotations2\Util.java","15","1","19","2","0","0","0","0","0","0","0","0","1","0","0","1","2","1","1","0","1","0.5","0.722222","13","13","1","1","0.722222","13","1","1","0","0","1","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
