"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2258","ButterKnifeTest","butterknife.ButterKnifeTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\androidTest\java\butterknife\ButterKnifeTest.java","19","1","247","2","0.296467","2","4","4","0.262009","0.275132","60","52","3","0","0","15","5","0","0","14","29","0","0.00578035","1","0","0","16","0.00526316","1","0","0","0","0","0","172","211","5","0","5","0","15","0","15","0","15","126","0","15","0","189","229","5","0","5","0","20","0","20","0","20","131","0","20","0","0","0","89","0","0","0","0","0","29","0","2","0","0","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2300","ButterKnife","butterknife.ButterKnife","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\main\java\butterknife\ButterKnife.java","85","1","379","2","0","0","0","0","0","0","0","0","16","2","2","52","3","30","40","2","27","1","0.4081","131","121","23","0","0.405405","135","0","0","0","0","0","190","285","3","0","3","0","25","0","22","1","25","99","0","22","1","198","295","3","0","3","0","27","0","24","1","27","99","0","24","1","0","0","29","0","0","0","0","0","0","0","1","0","0","0","0","26","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L2667","BindArrayTest","butterknife.BindArrayTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindArrayTest.java","11","1","244","2","0.849023","3","10","10","0.846154","0.863636","198","190","5","0","0","5","1","0","0","0","5","0","0","0","0","0","6","0","0","0","0","0","0","0","220","234","0","0","0","0","5","0","5","0","5","14","0","5","0","220","234","0","0","0","0","5","0","5","0","5","14","0","5","0","0","0","49","0","0","0","0","0","35","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2680","BindBitmapTest","butterknife.BindBitmapTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindBitmapTest.java","11","1","83","2","0.847826","3","3","3","0.794521","0.811594","58","56","2","0","0","2","1","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","69","73","0","0","0","0","2","0","2","0","2","5","0","2","0","69","73","0","0","0","0","2","0","2","0","2","5","0","2","0","0","0","27","0","0","0","0","0","19","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2684","BindBoolTest","butterknife.BindBoolTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindBoolTest.java","11","1","81","2","0.994444","4","4","4","0.957747","0.970149","68","65","2","0","0","2","1","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","67","71","0","0","0","0","2","0","2","0","2","5","0","2","0","67","71","0","0","0","0","2","0","2","0","2","5","0","2","0","0","0","27","0","0","0","0","0","19","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2688","BindColorTest","butterknife.BindColorTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindColorTest.java","11","1","236","2","0.989071","8","11","11","0.964602","0.981221","218","209","5","0","0","5","1","0","0","0","5","0","0","0","0","0","6","0","0","0","0","0","0","0","213","226","0","0","0","0","5","0","5","0","5","14","0","5","0","213","226","0","0","0","0","5","0","5","0","5","14","0","5","0","0","0","56","0","0","0","0","0","42","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2695","BindDimenTest","butterknife.BindDimenTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindDimenTest.java","11","1","134","2","0.996721","4","7","7","0.967742","0.982906","120","115","3","0","0","3","1","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","117","124","0","0","0","0","3","0","3","0","3","8","0","3","0","117","124","0","0","0","0","3","0","3","0","3","8","0","3","0","0","0","37","0","0","0","0","0","27","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2700","BindDrawableTest","butterknife.BindDrawableTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindDrawableTest.java","11","1","186","2","0.997669","6","8","8","0.971591","0.987952","171","164","4","0","0","4","1","0","0","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","166","176","0","0","0","0","4","0","4","0","4","11","0","4","0","166","176","0","0","0","0","4","0","4","0","4","11","0","4","0","0","0","47","0","0","0","0","0","35","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2706","BindFloatTest","butterknife.BindFloatTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindFloatTest.java","11","1","80","2","0.994382","3","3","3","0.957143","0.969697","67","64","2","0","0","2","1","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","66","70","0","0","0","0","2","0","2","0","2","5","0","2","0","66","70","0","0","0","0","2","0","2","0","2","5","0","2","0","0","0","27","0","0","0","0","0","19","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2710","BindIntTest","butterknife.BindIntTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindIntTest.java","11","1","81","2","0.994444","4","4","4","0.957747","0.970149","68","65","2","0","0","2","1","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","67","71","0","0","0","0","2","0","2","0","2","5","0","2","0","67","71","0","0","0","0","2","0","2","0","2","5","0","2","0","0","0","27","0","0","0","0","0","19","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2714","BindStringTest","butterknife.BindStringTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindStringTest.java","11","1","81","2","0.994444","4","4","4","0.957747","0.970149","68","65","2","0","0","2","1","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","67","71","0","0","0","0","2","0","2","0","2","5","0","2","0","67","71","0","0","0","0","2","0","2","0","2","5","0","2","0","0","0","27","0","0","0","0","0","19","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2718","BindViewsTest","butterknife.BindViewsTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindViewsTest.java","15","1","535","2","0.931241","14","36","36","0.904031","0.939203","471","448","15","0","0","15","2","0","0","1","16","0","0.0124224","6","0","0","16","0.0124224","6","0","0","0","0","0","477","521","0","0","0","0","15","0","15","0","15","38","0","15","0","477","521","0","0","0","0","15","0","15","0","15","38","0","15","0","0","0","145","0","0","0","0","0","111","0","1","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2744","BindViewTest","butterknife.BindViewTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\BindViewTest.java","15","1","950","2","0.799824","20","52","52","0.769231","0.797454","720","689","23","0","0","23","2","0","0","1","24","0","0.00689655","6","0","0","24","0.00689655","6","0","0","0","0","0","864","936","0","0","0","0","23","0","23","0","23","67","0","23","0","864","936","0","0","0","0","23","0","23","0","23","67","0","23","0","0","0","214","0","0","0","0","0","158","0","1","0","0","0","0","49","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L2769","OnCheckedChangedTest","butterknife.OnCheckedChangedTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\OnCheckedChangedTest.java","11","1","66","2","0.645833","1","1","1","0.803571","0.814815","45","44","1","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","54","56","0","0","0","0","1","0","1","0","1","3","0","1","0","54","56","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","17","0","0","0","0","0","12","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2772","OnClickTest","butterknife.OnClickTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\OnClickTest.java","11","1","756","2","0.559627","14","28","28","0.466488","0.477952","348","336","18","0","0","18","1","0","0","0","18","0","0","0","0","0","19","0","0","0","0","0","0","0","703","746","0","0","0","0","18","0","18","0","18","44","0","18","0","703","746","0","0","0","0","18","0","18","0","18","44","0","18","0","0","0","161","0","0","0","0","0","114","0","1","0","0","0","0","39","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L2792","OnEditorActionTest","butterknife.OnEditorActionTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\OnEditorActionTest.java","11","1","67","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","55","57","0","0","0","0","1","0","1","0","1","3","0","1","0","55","57","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2795","OnFocusChangeTest","butterknife.OnFocusChangeTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\OnFocusChangeTest.java","11","1","65","2","0.796875","2","2","2","0.763636","0.773585","42","41","1","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","53","55","0","0","0","0","1","0","1","0","1","3","0","1","0","53","55","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","17","0","0","0","0","0","12","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2798","OnItemClickTest","butterknife.OnItemClickTest","L104","L103","D:\PR_assignment_src\butterknife\butterknife\src\test\java\butterknife\OnItemClickTest.java","12","1","421","2","0.563855","8","10","10","0.509756","0.529716","209","205","8","0","0","8","1","0","0","0","8","0.111111","0.00769231","3","1","1","8","0.00769231","3","0","0","0","0","0","387","410","0","0","0","0","8","0","8","0","8","22","0","8","0","387","410","0","0","0","0","8","0","8","0","8","22","0","8","0","0","0","79","0","0","0","0","0","59","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
