"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L11812","MainActivity","it.gmariotti.cardslib.demo.MainActivity","L107","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","78","1","509","2","0.702773","33","592","54","0.608796","0.605505","263","198","4","2","2","52","35","4","2","12","26","0.125","0.109034","35","4","1","7","0.113821","42","0","0","0","0","0","286","376","40","1","40","1","14","1","7","0","14","133","1","7","0","327","432","40","1","40","1","19","1","12","0","19","151","1","12","0","0","0","130","0","0","0","0","0","77","0","2","1","0","1","0","40","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L12206","MainNativeActivity","it.gmariotti.cardslib.demo.MainNativeActivity","L107","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainNativeActivity.java","78","1","506","2","0.66813","32","589","53","0.582751","0.580247","250","188","4","2","2","52","36","3","1","12","26","0.125","0.107256","34","4","1","7","0.112329","41","0","0","0","0","0","283","373","39","1","39","1","14","1","7","0","14","134","1","7","0","324","429","39","1","39","1","19","1","12","0","19","152","1","12","0","0","0","124","0","0","0","0","0","71","0","2","1","0","1","0","40","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L13054","Utils","it.gmariotti.cardslib.demo.Utils","L107","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\Utils.java","46","1","122","2","0.879032","2","4","2","0.688312","0.773585","53","41","2","1","1","3","1","4","4","1","3","0.333333","0.227273","5","5","1","2","0.19697","13","0","0","0","0","0","17","28","0","0","0","0","2","0","2","0","2","8","0","2","0","53","77","1","0","1","0","5","0","5","0","5","24","0","5","0","0","0","53","0","0","0","0","0","33","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14269","Constants","it.gmariotti.cardslib.library.Constants","L13274","L103","D:\PR_assignment_src\cardslib\library-core\src\main\java\it\gmariotti\cardslib\library\Constants.java","26","1","58","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0.5","3","3","1","0","0.625","15","0","0","0","0","0","3","7","1","0","1","0","0","1","0","0","0","0","1","0","0","9","33","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L2849","MainActivity","it.gmariotti.cardslib.demo.extras.MainActivity","L123","L103","D:\PR_assignment_src\cardslib\demo\extras\src\main\java\it\gmariotti\cardslib\demo\extras\MainActivity.java","63","1","422","2","0.587709","21","249","29","0.494444","0.513619","178","132","4","2","2","42","23","5","2","11","25","0.125","0.117886","29","2","1","7","0.154605","47","0","0","0","0","0","217","295","27","1","27","1","14","2","7","0","14","103","2","7","0","257","360","27","1","27","1","19","2","12","0","19","120","2","12","0","0","0","105","0","0","0","0","0","57","0","2","1","0","1","0","36","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L5483","Utils","it.gmariotti.cardslib.demo.extras.Utils","L123","L103","D:\PR_assignment_src\cardslib\demo\extras\src\main\java\it\gmariotti\cardslib\demo\extras\Utils.java","47","1","123","2","0.879032","2","4","2","0.688312","0.773585","53","41","2","1","1","3","1","1","1","1","3","0.333333","0.227273","5","5","1","2","0.19697","13","0","0","0","0","0","17","28","0","0","0","0","2","0","2","0","2","8","0","2","0","53","77","1","0","1","0","5","0","5","0","5","24","0","5","0","0","0","53","0","0","0","0","0","33","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5882","ColorCard","it.gmariotti.cardslib.demo.cards.ColorCard","L5863","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\cards\ColorCard.java","35","1","88","2","0.274336","2","2","2","0.185185","0.216216","10","8","2","1","1","9","2","5","4","2","10","0.125","0.175","7","5","1","7","0.159091","7","3","3","0","0","1","33","50","43","30","2","2","8","0","7","2","97","11","6","94","30","37","54","43","30","2","2","9","0","8","2","98","12","6","95","30","0","0","57","0","0","0","0","0","20","0","1","0","0","0","0","24","0","0","0","0","0","0","0","12","0","0","0","0","0"
"L5911","CustomCard","it.gmariotti.cardslib.demo.cards.CustomCard","L5863","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\cards\CustomCard.java","35","1","99","2","0","0","0","0","0","0","0","0","2","1","1","7","1","4","8","1","5","0.75","0.473684","27","17","3","1","0.473684","27","3","3","0","0","1","30","65","44","28","3","0","4","0","3","0","93","15","6","90","28","30","65","44","28","3","0","4","0","3","0","93","15","6","90","28","0","0","15","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L5933","CustomExpandCard","it.gmariotti.cardslib.demo.cards.CustomExpandCard","L5863","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\cards\CustomExpandCard.java","37","1","75","2","0","0","0","0","0","0","0","0","1","2","2","7","2","4","4","2","5","0.5","0.289474","11","9","2","2","0.289474","11","3","3","0","0","1","27","39","10","9","1","0","3","0","3","0","24","15","0","23","7","27","39","10","9","1","0","3","0","3","0","24","15","0","23","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5946","CustomHeaderExample1","it.gmariotti.cardslib.demo.cards.CustomHeaderExample1","L5863","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\cards\CustomHeaderExample1.java","37","1","53","2","0","0","0","0","0","0","0","0","1","2","2","4","2","2","2","2","4","0.333333","0.380952","8","8","1","2","0.380952","8","3","3","0","0","1","13","17","20","15","0","0","2","0","2","0","44","5","1","43","18","13","17","20","15","0","0","2","0","2","0","44","5","1","43","18","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
