"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L123","CheeseDetailActivity","com.support.android.designlibdemo.CheeseDetailActivity","L107","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\CheeseDetailActivity.java","32","1","65","2","0","0","0","0","0","0","0","0","2","0","0","3","1","1","0","1","4","0","0","0","0","0","3","0","0","0","0","0","0","0","26","34","1","0","1","0","3","1","2","0","3","14","1","2","0","26","34","1","0","1","0","3","1","2","0","3","14","1","2","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L164","CheeseListFragment","com.support.android.designlibdemo.CheeseListFragment","L107","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\CheeseListFragment.java","40","1","138","2","0","0","0","0","0","0","0","0","1","1","1","4","2","1","0","1","4","0","0","0","0","0","2","0","0","0","0","0","0","0","23","27","0","1","0","1","3","0","1","0","3","10","0","1","0","82","99","7","3","7","3","11","4","9","0","11","31","4","9","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L322","Cheeses","com.support.android.designlibdemo.Cheeses","L107","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\Cheeses.java","21","1","174","2","0","0","0","0","0","0","0","0","0","1","1","6","0","3","2","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","150","154","2","1","2","1","1","1","1","0","1","6","1","1","0","150","154","2","1","2","1","1","1","1","0","1","6","1","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L326","MainActivity","com.support.android.designlibdemo.MainActivity","L107","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\MainActivity.java","48","1","192","2","0","0","0","0","0","0","0","0","3","1","1","19","2","1","0","2","9","0.25","0.0326087","3","3","1","3","0.0238095","3","0","0","0","0","0","89","106","1","0","1","0","7","0","3","1","7","51","0","3","1","123","145","3","3","3","3","14","0","10","1","14","61","0","10","1","0","0","41","0","0","0","0","0","0","0","1","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L187","CheeseListFragment$SimpleStringRecyclerViewAdapter","com.support.android.designlibdemo.CheeseListFragment$SimpleStringRecyclerViewAdapter","L164","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\CheeseListFragment.java","66","5","137","6","0","0","0","0","0","0","0","0","1","0","0","5","2","1","1","2","7","0","0","0","0","0","6","0","0","0","0","0","0","0","36","45","3","2","3","2","5","0","5","0","5","12","0","5","0","59","72","7","2","7","2","8","4","8","0","8","21","4","8","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L373","MainActivity$Adapter","com.support.android.designlibdemo.MainActivity$Adapter","L326","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\MainActivity.java","164","5","191","6","0","0","0","0","0","0","0","0","1","0","0","5","0","1","1","0","5","0","0","0","0","0","6","0","0","0","0","0","0","0","23","28","2","3","2","3","5","0","5","0","5","6","0","5","0","23","28","2","3","2","3","5","0","5","0","5","6","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","CheeseListFragment$SimpleStringRecyclerViewAdapter$ViewHolder","com.support.android.designlibdemo.CheeseListFragment$SimpleStringRecyclerViewAdapter$ViewHolder","L187","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\CheeseListFragment.java","73","9","91","10","0","0","0","0","0","0","0","0","1","0","0","2","0","2","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","16","19","4","0","4","0","2","4","2","0","2","5","4","2","0","16","19","4","0","4","0","2","4","2","0","2","5","4","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L345","MainActivity$1","com.support.android.designlibdemo.MainActivity$1","L333","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\MainActivity.java","77","59","83","10","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","7","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L386","MainActivity$2","com.support.android.designlibdemo.MainActivity$2","L336","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\MainActivity.java","154","71","161","10","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","8","8","0","0","0","0","1","0","1","0","1","3","0","1","0","8","8","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L303","CheeseListFragment$SimpleStringRecyclerViewAdapter$1","com.support.android.designlibdemo.CheeseListFragment$SimpleStringRecyclerViewAdapter$1","L290","L103","D:\PR_assignment_src\cheesesquare\app\src\main\java\com\support\android\designlibdemo\CheeseListFragment.java","116","72","125","14","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","9","10","0","0","0","0","1","0","1","0","1","4","0","1","0","9","10","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
