"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L22316","main","clojure.main","L104","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\main.java","17","1","39","2","0","0","0","0","0","0","0","0","1","0","0","3","3","2","2","5","8","0","0","0","0","0","4","0","0","0","0","0","0","0","19","23","5","0","5","0","3","0","3","0","3","6","0","3","0","19","23","5","0","5","0","3","0","3","0","3","6","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22363","TestDispatch","compilation.TestDispatch","L22360","L103","D:\PR_assignment_src\clojure\test\java\compilation\TestDispatch.java","3","1","15","2","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","11","13","0","0","0","0","3","0","3","0","3","3","0","3","0","11","13","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22389","Bar","reflector.Bar","L22374","L103","D:\PR_assignment_src\clojure\test\java\reflector\IBar.java","13","1","17","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","1","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L22384","SubBar","reflector.SubBar","L22374","L103","D:\PR_assignment_src\clojure\test\java\reflector\IBar.java","19","1","20","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","2","2","2","0","0","0","0","0","0","0","0","2","0","0","2","0","2","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L134","AnnotationVisitor","clojure.asm.AnnotationVisitor","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\AnnotationVisitor.java","40","1","169","2","0","0","0","0","0","0","0","0","1","1","1","13","1","8","5","0","7","1","0.682171","88","88","8","0","0.682171","88","0","0","1","1","0","41","130","2","0","2","0","7","0","7","0","7","17","0","7","0","41","130","2","0","2","0","7","0","7","0","7","17","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L196","AnnotationWriter","clojure.asm.AnnotationWriter","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\AnnotationWriter.java","38","1","318","2","0","0","0","0","0","0","0","0","1","15","2","46","6","3","10","13","22","0.333333","0.319703","86","82","2","4","0.319703","86","1","1","0","0","1","183","281","10","1","8","1","9","0","5","0","16","144","0","12","0","183","281","10","1","8","1","9","0","5","0","16","144","0","12","0","0","0","16","0","0","0","0","0","0","0","0","3","0","0","0","11","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L367","Attribute","clojure.asm.Attribute","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\Attribute.java","38","1","255","2","0","0","0","0","0","0","0","0","3","1","1","12","4","9","11","5","14","1","0.707547","150","150","3","0","0.707547","150","0","0","1","1","0","62","218","3","3","3","3","9","1","2","0","9","31","1","2","0","62","218","3","3","3","3","9","1","2","0","9","31","1","2","0","0","0","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L212","ByteVector","clojure.asm.ByteVector","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\ByteVector.java","38","1","306","2","0","0","0","0","0","0","0","0","1","5","4","33","0","8","55","0","11","1","0.416031","109","103","9","0","0.416031","109","0","0","0","0","0","153","269","2","0","2","0","11","0","8","0","11","114","0","8","0","153","269","2","0","2","0","11","0","8","0","11","114","0","8","0","0","0","5","0","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L394","ClassReader","clojure.asm.ClassReader","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\ClassReader.java","44","1","2202","2","0.0884118","6","56","11","0.0602131","0.0873515","130","125","1","12","5","378","14","5","2","60","97","1","0.319544","672","508","22","0","0.319544","672","0","0","0","0","0","1431","2159","14","9","14","9","37","6","21","0","37","1066","6","21","0","1431","2159","14","9","14","9","37","6","21","0","37","1066","6","21","0","0","0","124","0","0","0","0","0","36","0","0","21","0","8","0","20","0","0","0","0","0","0","0","39","0","0","0","0","0"
"L660","ClassVisitor","clojure.asm.ClassVisitor","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\ClassVisitor.java","41","1","286","2","0","0","0","0","0","0","0","0","1","1","1","21","5","12","20","0","11","1","0.727273","176","176","12","0","0.727273","176","0","0","3","3","0","66","246","2","0","2","0","11","0","11","0","11","26","0","11","0","66","246","2","0","2","0","11","0","11","0","11","26","0","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L200","ClassWriter","clojure.asm.ClassWriter","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\ClassWriter.java","41","1","1693","2","0.0413917","1","6","3","0.0181488","0.0418994","30","30","3","12","3","152","14","11","36","41","84","0.636364","0.508242","740","726","14","8","0.508242","740","1","1","0","0","1","716","1653","81","2","79","2","43","2","21","0","54","432","2","32","0","716","1653","81","2","79","2","43","2","21","0","54","432","2","32","0","0","0","73","0","0","0","0","0","20","0","1","5","0","5","0","23","0","0","0","0","0","0","0","19","0","0","0","0","0"
"L671","Context","clojure.asm.Context","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\Context.java","38","1","110","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.75","48","48","1","0","0.75","48","0","0","0","0","0","16","73","14","0","14","0","0","0","0","0","0","0","0","0","0","16","73","14","0","14","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L3562","Edge","clojure.asm.Edge","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\Edge.java","37","1","75","2","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0.820513","32","32","1","0","0.820513","32","0","0","0","0","0","7","39","5","0","5","0","0","0","0","0","0","0","0","0","0","7","39","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L719","FieldVisitor","clojure.asm.FieldVisitor","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\FieldVisitor.java","39","1","121","2","0","0","0","0","0","0","0","0","1","1","1","9","3","6","3","0","5","1","0.638554","53","53","6","0","0.638554","53","0","0","1","1","0","30","83","2","0","2","0","5","0","5","0","5","12","0","5","0","30","83","2","0","2","0","5","0","5","0","5","12","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1233","FieldWriter","clojure.asm.FieldWriter","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\FieldWriter.java","37","1","273","2","0.31383","4","16","4","0.219409","0.337748","52","51","2","2","2","48","9","1","2","12","18","0.5","0.325893","73","72","2","2","0.325893","73","1","1","0","0","1","151","237","11","1","9","1","6","0","3","0","11","88","0","8","0","151","237","11","1","9","1","6","0","3","0","11","88","0","8","0","0","0","42","0","0","0","0","0","25","0","1","2","0","0","0","11","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L3651","Frame","clojure.asm.Frame","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\Frame.java","37","1","1453","2","0.340432","11","127","20","0.191955","0.340967","272","268","1","5","5","286","6","2","14","5","19","1","0.317708","366","326","1","0","0.317708","366","0","0","0","0","0","786","1417","33","0","33","0","14","0","0","0","14","445","0","0","0","786","1417","33","0","33","0","14","0","0","0","14","445","0","0","0","0","0","68","0","0","0","0","0","42","0","0","7","0","0","0","6","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L892","Handle","clojure.asm.Handle","L112","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\Handle.java","39","1","167","2","0","0","0","0","0","0","0","0","1","1","1","13","0","9","2","0","8","0.777778","0.642276","79","79","7","2","0.642276","79","0","0","0","0","0","44","129","4","4","4","4","8","0","8","0","8","16","0","8","0","44","129","4","4","4","4","8","0","8","0","8","16","0","8","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
