"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L8897","UnusedStub","android.UnusedStub","L8892","L103","D:\PR_assignment_src\coursera-android\Examples\google-play-services_lib\src\android\UnusedStub.java","19","1","21","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0.25","1","1","1","0","0.25","1","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1526","CheckActivityIntents","course.examples.checkintents.CheckActivityIntents","L1519","L103","D:\PR_assignment_src\coursera-android\Examples\CheckActivityIntents\src\course\examples\checkintents\CheckActivityIntents.java","18","1","57","2","0.652174","1","2","1","0.575","0.588235","23","20","1","1","1","3","0","1","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","24","30","0","1","0","1","2","0","2","0","2","13","0","2","0","34","40","0","1","0","1","3","0","3","0","3","18","0","3","0","0","0","35","0","0","0","0","0","23","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1576","CheckBroadcastIntents","course.examples.checkbroadcastintents.CheckBroadcastIntents","L1569","L103","D:\PR_assignment_src\coursera-android\Examples\CheckBroadcastIntents\src\course\examples\checkbroadcastintents\CheckBroadcastIntents.java","18","1","56","2","0.664557","1","2","1","0.589744","0.606061","23","20","1","1","1","3","0","1","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","23","29","0","1","0","1","2","0","2","0","2","13","0","2","0","33","39","0","1","0","1","3","0","3","0","3","18","0","3","0","0","0","35","0","0","0","0","0","23","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3755","HelloAndroid","course.examples.helloworld.HelloAndroid","L3748","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroid\src\course\examples\helloworld\HelloAndroid.java","6","1","17","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0.333333","3","0","0","2","0.333333","3","0","0","0","0","0","6","12","0","0","0","0","1","0","1","0","1","2","0","1","0","6","12","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3799","HelloAndroid","course.examples.helloworldwithlogin.HelloAndroid","L3791","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithLogin\src\course\examples\helloworldwithlogin\HelloAndroid.java","6","1","16","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0.333333","3","0","0","2","0.333333","3","0","0","0","0","0","6","11","0","0","0","0","1","0","1","0","1","2","0","1","0","6","11","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3803","LoginScreen","course.examples.helloworldwithlogin.LoginScreen","L3791","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithLogin\src\course\examples\helloworldwithlogin\LoginScreen.java","14","1","48","2","0","0","0","0","0","0","0","0","2","0","0","2","0","1","1","0","2","0","0.0625","1","0","0","2","0.137931","4","0","0","0","0","0","15","19","0","0","0","0","2","0","1","0","2","7","0","1","0","25","35","0","0","0","0","3","0","2","0","3","12","0","2","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3830","HelloAndroidWithMenuActivity","course.examples.helloandroidwithmenu.HelloAndroidWithMenuActivity","L3823","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithMenus\src\course\examples\helloandroidwithmenu\HelloAndroidWithMenuActivity.java","14","1","74","2","0","0","0","0","0","0","0","0","5","1","1","9","0","0","0","0","5","0.666667","0.0925926","5","4","4","2","0.0925926","5","0","0","0","0","0","49","61","0","0","0","0","5","0","5","0","5","21","0","5","0","49","61","0","0","0","0","5","0","5","0","5","21","0","5","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3868","AlbumsActivity","course.examples.helloworldtabwidget.AlbumsActivity","L3858","L103","D:\PR_assignment_src\coursera-android\Examples\HelloTabWidget\src\course\examples\helloworldtabwidget\AlbumsActivity.java","7","1","15","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","8","9","0","0","0","0","1","0","1","0","1","4","0","1","0","8","9","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3874","ArtistsActivity","course.examples.helloworldtabwidget.ArtistsActivity","L3858","L103","D:\PR_assignment_src\coursera-android\Examples\HelloTabWidget\src\course\examples\helloworldtabwidget\ArtistsActivity.java","7","1","15","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","8","9","0","0","0","0","1","0","1","0","1","4","0","1","0","8","9","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3878","HelloTabWidget","course.examples.helloworldtabwidget.HelloTabWidget","L3858","L103","D:\PR_assignment_src\coursera-android\Examples\HelloTabWidget\src\course\examples\helloworldtabwidget\HelloTabWidget.java","9","1","45","2","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","1","0.5","0.228571","8","1","1","1","0.228571","8","0","0","0","0","0","27","37","0","0","0","0","1","0","1","0","1","16","0","1","0","27","37","0","0","0","0","1","0","1","0","1","16","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3913","SongsActivity","course.examples.helloworldtabwidget.SongsActivity","L3858","L103","D:\PR_assignment_src\coursera-android\Examples\HelloTabWidget\src\course\examples\helloworldtabwidget\SongsActivity.java","7","1","15","2","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","8","9","0","0","0","0","1","0","1","0","1","4","0","1","0","8","9","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
