"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L114","Machine","Question10_2.Machine","L104","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Machine.java","5","1","12","2","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","8","2","1","2","1","1","2","1","0","1","1","2","1","0","7","8","2","1","2","1","1","2","1","0","1","1","2","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L127","Person","Question10_2.Person","L104","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Person.java","5","1","28","2","0","0","0","0","0","0","0","0","1","1","1","7","0","2","0","0","6","0","0","0","0","0","7","0","0","0","0","0","0","0","21","24","3","3","3","3","6","0","6","1","6","11","0","6","1","21","24","3","3","3","3","6","0","6","1","6","11","0","6","1","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178","Server","Question10_2.Server","L104","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Server.java","5","1","29","2","0","0","0","0","0","0","0","0","0","1","1","6","2","0","0","1","4","0","0","0","0","0","4","0","0","0","0","0","0","0","22","25","2","3","2","3","3","0","3","0","3","10","0","3","0","22","25","2","3","2","3","3","0","3","0","3","10","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L204","Question","Question10_3.Question","L200","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_3\Question.java","8","1","39","2","0","0","0","0","0","0","0","0","1","3","3","6","0","0","0","0","2","0","0.214286","6","0","0","3","0.214286","6","0","0","0","0","0","22","32","2","0","2","0","2","2","2","0","2","14","2","2","0","22","32","2","0","2","0","2","2","2","0","2","14","2","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L248","QuestionB","Question10_3.QuestionB","L200","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_3\QuestionB.java","6","1","55","2","0","0","0","0","0","0","0","0","1","3","3","11","0","0","0","0","2","0","0.173913","8","0","0","3","0.173913","8","0","0","0","0","0","38","50","4","0","4","0","2","4","2","0","2","26","4","2","0","38","50","4","0","4","0","2","4","2","0","2","26","4","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L266","BitSet","Question10_4.BitSet","L262","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_4\BitSet.java","3","1","21","2","0","0","0","0","0","0","0","0","1","0","0","3","0","1","1","0","3","0","0.238095","5","0","0","2","0.238095","5","0","0","0","0","0","16","19","1","0","1","0","3","0","1","0","3","7","0","1","0","16","19","1","0","1","0","3","0","1","0","3","7","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L278","Question","Question10_4.Question","L262","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_4\Question.java","5","1","26","2","0","0","0","0","0","0","0","0","1","2","2","4","2","0","0","5","7","0","0.05","1","0","0","3","0.05","1","0","0","0","0","0","19","22","0","0","0","0","2","0","2","0","2","12","0","2","0","19","22","0","0","0","0","2","0","2","0","2","12","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L301","Cache","Question10_7.Cache","L296","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Cache.java","5","1","95","2","0","0","0","0","0","0","0","0","1","1","1","19","1","1","1","1","7","0","0","0","0","0","7","0","0","0","0","0","0","0","76","91","5","1","5","1","6","5","6","0","6","45","5","6","0","76","91","5","1","5","1","6","5","6","0","6","45","5","6","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L304","Node","Question10_7.Node","L296","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Node.java","3","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","10","11","4","0","4","0","1","4","1","0","1","2","4","1","0","10","11","4","0","4","0","1","4","1","0","1","2","4","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L352","Question","Question10_7.Question","L296","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Question.java","3","1","36","2","0","0","0","0","0","0","0","0","1","3","3","9","1","0","0","3","5","0","0","0","0","0","3","0","0","0","0","0","0","0","31","34","0","0","0","0","2","0","2","0","2","23","0","2","0","31","34","0","0","0","0","2","0","2","0","2","23","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L389","BinarySearch","Introduction.BinarySearch","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 11\Introduction\BinarySearch.java","3","1","67","2","0","0","0","0","0","0","0","0","1","3","2","17","0","0","0","0","4","0.2","0.0508475","3","1","1","4","0.0508475","3","0","0","0","0","0","56","65","0","0","0","0","4","0","4","0","4","41","0","4","0","56","65","0","0","0","0","4","0","4","0","4","41","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L410","MergeSort","Introduction.MergeSort","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 11\Introduction\MergeSort.java","5","1","72","2","0","0","0","0","0","0","0","0","1","2","2","16","1","0","0","2","6","0","0.153846","10","0","0","5","0.153846","10","0","0","0","0","0","55","68","0","0","0","0","4","0","4","0","4","45","0","4","0","55","68","0","0","0","0","4","0","4","0","4","45","0","4","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L432","Quicksort","Introduction.Quicksort","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 11\Introduction\Quicksort.java","5","1","53","2","0","0","0","0","0","0","0","0","1","2","2","10","1","0","0","2","6","0","0.152174","7","0","0","5","0.152174","7","0","0","0","0","0","39","49","0","0","0","0","4","0","4","0","4","23","0","4","0","39","49","0","0","0","0","4","0","4","0","4","23","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L451","Ambiguous","Introduction.Ambiguous","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 14\Introduction\Ambiguous.java","3","1","9","2","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","6","7","1","0","1","0","1","0","1","0","2","1","0","2","0","6","7","1","0","1","0","1","0","1","0","2","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L464","Circle","Introduction.Circle","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 14\Introduction\Circle.java","3","1","12","2","0","0","0","0","0","0","0","0","2","0","0","2","1","1","1","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","9","10","1","0","1","0","2","0","2","0","3","2","0","3","0","9","10","1","0","1","0","2","0","2","0","3","2","0","3","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L470","Introduction","Introduction.Introduction","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 14\Introduction\Introduction.java","3","1","37","2","0","0","0","0","0","0","0","0","1","1","1","5","0","0","0","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","31","35","0","0","0","0","4","0","4","0","4","17","0","4","0","31","35","0","0","0","0","4","0","4","0","4","17","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L483","IntroductionCollections","Introduction.IntroductionCollections","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 14\Introduction\IntroductionCollections.java","9","1","38","2","0","0","0","0","0","0","0","0","1","1","1","2","0","0","0","0","1","0","0.148148","4","0","0","2","0.148148","4","0","0","0","0","0","23","30","0","0","0","0","1","0","1","0","1","18","0","1","0","23","30","0","0","0","0","1","0","1","0","1","18","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L531","IntroductionOverriding","Introduction.IntroductionOverriding","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 14\Introduction\IntroductionOverriding.java","3","1","30","2","0","0","0","0","0","0","0","0","4","1","1","5","4","0","0","4","8","0","0","0","0","0","5","0","0","0","0","0","0","0","22","28","0","0","0","0","4","0","4","0","4","11","0","4","0","22","28","0","0","0","0","4","0","4","0","4","11","0","4","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L452","Shape","Introduction.Shape","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 14\Introduction\Shape.java","3","1","9","2","0","0","0","0","0","0","0","0","1","0","0","2","0","4","1","0","2","0","0","0","0","0","3","0","0","0","0","3","3","0","6","7","0","0","0","0","2","0","2","0","2","1","0","2","0","6","7","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L540","Square","Introduction.Square","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 14\Introduction\Square.java","3","1","12","2","0","0","0","0","0","0","0","0","2","0","0","2","1","1","1","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","9","10","1","0","1","0","2","0","2","0","3","2","0","3","0","9","10","1","0","1","0","2","0","2","0","3","2","0","3","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L564","PrimeNumbers","Introduction.PrimeNumbers","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 7\Introduction\PrimeNumbers.java","3","1","32","2","0","0","0","0","0","0","0","0","2","2","2","9","0","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","26","30","0","0","0","0","3","0","3","0","3","18","0","3","0","26","30","0","0","0","0","3","0","3","0","3","18","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L575","SieveOfEratosthenes","Introduction.SieveOfEratosthenes","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 7\Introduction\SieveOfEratosthenes.java","3","1","71","2","0","0","0","0","0","0","0","0","2","2","2","16","0","0","0","0","6","0","0.0833333","5","0","0","7","0.0833333","5","0","0","0","0","0","55","69","0","1","0","1","6","0","6","0","6","40","0","6","0","55","69","0","1","0","1","6","0","6","0","6","40","0","6","0","0","0","14","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L597","Fibonacci","Introduction.Fibonacci","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 9\Introduction\Fibonacci.java","3","1","38","2","0","0","0","0","0","0","0","0","1","2","2","7","0","0","0","0","2","0.333333","0.2","7","3","1","2","0.2","7","0","0","0","0","0","28","36","0","0","0","0","2","0","2","0","2","23","0","2","0","28","36","0","0","0","0","2","0","2","0","2","23","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L608","FibonacciFB","Introduction.FibonacciFB","L366","L103","D:\PR_assignment_src\ctci\java\Chapter 9\Introduction\FibonacciFB.java","3","1","43","2","0","0","0","0","0","0","0","0","1","2","2","8","0","0","0","0","2","0.333333","0.170732","7","3","1","2","0.170732","7","0","0","0","0","0","34","41","2","0","2","0","2","2","2","0","2","26","2","2","0","34","41","2","0","2","0","2","2","2","0","2","26","2","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L623","Question","Question11_1.Question","L620","L103","D:\PR_assignment_src\ctci\java\Chapter 11\Question11_1\Question.java","5","1","39","2","0","0","0","0","0","0","0","0","1","2","2","5","1","0","0","1","3","0.333333","0.378378","14","6","1","2","0.378378","14","0","0","0","0","0","23","35","0","0","0","0","2","0","2","0","2","14","0","2","0","23","35","0","0","0","0","2","0","2","0","2","14","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
