"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L38279","ActionBarSherlock","com.actionbarsherlock.ActionBarSherlock","L38273","L103","D:\PR_assignment_src\cw-omnibus\external\ActionBarSherlock\src\com\actionbarsherlock\ActionBarSherlock.java","42","1","799","2","0.117188","1","8","2","0.0290237","0.0843882","22","20","16","4","3","92","15","11","173","11","57","0.952381","0.679186","434","429","40","2","0.653001","446","0","0","2","2","0","205","725","7","3","7","3","46","1","41","12","46","117","1","41","12","237","758","9","3","9","3","56","1","49","12","56","117","1","49","12","0","0","69","0","0","0","0","0","14","0","1","1","0","1","0","39","0","0","0","0","0","0","0","13","0","0","0","0","0"
"L53143","CirclePageIndicator","com.viewpagerindicator.CirclePageIndicator","L53132","L103","D:\PR_assignment_src\cw-omnibus\external\ViewPagerIndicator\src\com\viewpagerindicator\CirclePageIndicator.java","43","1","546","2","0.365707","13","74","13","0.27381","0.297229","138","118","2","4","3","87","2","0","0","1","35","0.0322581","0.0859951","35","23","1","30","0.0810185","35","1","1","0","0","1","372","474","18","6","18","6","34","0","30","12","34","220","0","30","12","397","504","20","6","20","6","39","1","34","12","39","227","1","34","12","0","0","140","0","0","0","0","0","37","0","2","2","0","0","0","81","0","0","0","0","0","0","0","18","0","0","0","0","0"
"L53350","LinePageIndicator","com.viewpagerindicator.LinePageIndicator","L53132","L103","D:\PR_assignment_src\cw-omnibus\external\ViewPagerIndicator\src\com\viewpagerindicator\LinePageIndicator.java","38","1","439","2","0.414254","10","69","10","0.318408","0.342949","128","107","2","4","3","71","2","0","0","1","31","0.037037","0.0888889","28","18","1","26","0.0823529","28","1","1","0","0","1","287","372","13","5","13","5","30","0","26","10","30","166","0","26","10","312","402","15","5","15","5","35","1","30","10","35","173","1","30","10","0","0","127","0","0","0","0","0","34","0","2","1","0","0","0","75","0","0","0","0","0","0","0","15","0","0","0","0","0"
"L30225","TabPageIndicator","com.viewpagerindicator.TabPageIndicator","L53132","L103","D:\PR_assignment_src\cw-omnibus\external\ViewPagerIndicator\src\com\viewpagerindicator\TabPageIndicator.java","37","1","270","2","0.196581","2","5","2","0.119658","0.142857","28","27","1","2","2","37","3","4","1","3","19","0.0666667","0.0432099","7","5","1","14","0.0780488","16","1","1","0","0","1","155","190","9","0","9","0","16","0","14","5","16","84","0","14","5","189","234","10","1","10","1","22","0","20","5","22","98","0","20","5","0","0","81","0","0","0","0","0","25","0","0","0","0","0","0","54","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L53582","TitlePageIndicator","com.viewpagerindicator.TitlePageIndicator","L53132","L103","D:\PR_assignment_src\cw-omnibus\external\ViewPagerIndicator\src\com\viewpagerindicator\TitlePageIndicator.java","46","1","805","2","0.157611","7","21","7","0.103947","0.118492","79","66","2","5","4","115","4","0","0","3","51","0.047619","0.153213","93","59","2","40","0.153495","101","1","1","0","0","1","514","704","31","13","31","13","48","0","41","18","48","323","0","41","18","557","760","37","13","37","13","56","5","47","18","56","335","5","47","18","0","0","170","0","0","0","0","0","22","0","2","5","0","0","0","112","0","0","0","0","0","0","0","29","0","0","0","0","0"
"L53857","UnderlinePageIndicator","com.viewpagerindicator.UnderlinePageIndicator","L53132","L103","D:\PR_assignment_src\cw-omnibus\external\ViewPagerIndicator\src\com\viewpagerindicator\UnderlinePageIndicator.java","37","1","391","2","0.366581","5","41","5","0.301408","0.311864","107","92","2","4","3","62","2","2","0","1","24","0.0434783","0.0265152","7","4","1","22","0.0231788","7","1","1","0","0","1","257","312","17","4","17","4","23","0","22","8","23","145","0","22","8","295","355","19","4","19","4","30","1","28","8","30","159","1","28","8","0","0","117","0","0","0","0","0","25","0","2","1","0","0","0","75","0","0","0","0","0","0","0","14","0","0","0","0","0"
"L34929","ApplicationTest","com.commonsware.andprojector.ApplicationTest","L34866","L103","D:\PR_assignment_src\cw-omnibus\Assist\AssistLogger\app\src\androidTest\java\com\commonsware\andprojector\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.5","0.375","3","3","1","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L34932","ApplicationTest","com.commonsware.andprojector.ApplicationTest","L34866","L103","D:\PR_assignment_src\cw-omnibus\Assist\TapOffNow\app\src\androidTest\java\com\commonsware\andprojector\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.666667","0.375","3","3","2","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L34935","ApplicationTest","com.commonsware.andprojector.ApplicationTest","L34866","L103","D:\PR_assignment_src\cw-omnibus\MediaProjection\andprojector\app\src\androidTest\java\com\commonsware\andprojector\ApplicationTest.java","9","1","13","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.666667","0.375","3","3","2","1","0.375","3","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L34938","ImageTransmogrifier","com.commonsware.andprojector.ImageTransmogrifier","L34866","L103","D:\PR_assignment_src\cw-omnibus\MediaProjection\andprojector\app\src\main\java\com\commonsware\andprojector\ImageTransmogrifier.java","27","1","114","2","0.855738","2","7","2","0.715909","0.716418","63","48","1","3","3","13","1","1","2","3","9","0","0","0","0","0","2","0","0","0","0","0","0","0","67","88","5","3","5","3","6","0","1","0","6","37","0","1","0","67","88","5","3","5","3","6","0","1","0","6","37","0","1","0","0","0","34","0","0","0","0","0","19","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
