"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L116","TestApp","TestApp","L104","L103","D:\PR_assignment_src\dagger\compiler\src\it\default-package-injected-type\src\main\java\TestApp.java","23","1","42","2","0","0","0","0","0","0","0","0","1","0","0","2","3","1","0","3","5","0","0","0","0","0","3","0","0","0","0","0","0","0","9","13","1","0","1","0","2","0","2","0","2","2","0","2","0","16","20","1","0","1","0","4","0","3","0","4","2","0","3","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L305","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\extension-graph-setvalues\src\main\java\test\TestApp.java","34","1","64","2","0","0","0","0","0","0","0","0","1","0","0","2","3","2","0","3","5","0.333333","0.2","3","3","1","2","0.1","3","0","0","0","0","0","12","16","2","0","2","0","2","0","2","0","2","4","0","2","0","27","31","2","0","2","0","5","0","2","0","5","7","0","2","0","0","0","20","0","0","0","0","0","0","0","1","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L366","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\extension-graph\src\main\java\test\TestApp.java","24","1","59","2","0","0","0","0","0","0","0","0","1","0","0","2","4","1","0","4","6","0","0","0","0","0","3","0","0","0","0","0","0","0","11","18","1","0","1","0","2","0","2","0","2","4","0","2","0","29","36","4","0","4","0","6","0","3","0","6","4","0","3","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L403","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\final-field-inject\src\main\java\test\TestApp.java","21","1","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L406","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\include-non-module\src\main\java\test\TestApp.java","24","1","39","2","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","6","8","1","0","1","0","1","0","1","0","1","1","0","1","0","14","16","1","0","1","0","2","0","1","0","2","2","0","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L419","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\inject-on-class\src\main\java\test\TestApp.java","20","1","22","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L421","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\inject-parameterized-type\src\main\java\test\TestApp.java","23","1","41","2","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","5","8","0","0","0","0","1","0","1","0","1","1","0","1","0","16","19","1","0","1","0","2","0","1","0","2","2","0","1","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L448","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\inner-classes-complaint-injection\src\main\java\test\TestApp.java","26","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L452","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\method-injection\src\main\java\test\TestApp.java","20","1","23","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","4","4","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L456","TestApp","test.TestApp","L165","L103","D:\PR_assignment_src\dagger\compiler\src\it\missing-at-inject-constructor\src\main\java\test\TestApp.java","24","1","44","2","0","0","0","0","0","0","0","0","1","0","0","2","3","1","0","3","5","0","0","0","0","0","3","0.166667","3","0","0","0","0","0","9","13","1","0","1","0","2","0","2","0","2","2","0","2","0","15","21","1","0","1","0","3","0","3","0","3","3","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
