"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L210","AbstractSequencer","com.lmax.disruptor.AbstractSequencer","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","28","1","136","2","0","0","0","0","0","0","0","0","2","1","1","11","9","3","4","7","16","0.9","0.359223","37","37","9","1","0.359223","37","2","3","2","4","1","66","109","6","4","5","3","9","0","9","0","20","14","1","20","0","66","109","6","4","5","3","9","0","9","0","20","14","1","20","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L336","AggregateEventHandler<T extends Object>","com.lmax.disruptor.AggregateEventHandler","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AggregateEventHandler.java","23","1","71","2","0.571429","1","6","2","0.44898","0.564103","22","22","1","2","2","9","2","1","4","3","7","0.4","0.2","10","10","2","3","0.2","10","1","2","0","0","2","40","49","1","0","1","0","4","0","4","0","4","9","0","4","0","40","49","1","0","1","0","4","0","4","0","4","9","0","4","0","0","0","27","0","0","0","0","0","17","0","0","0","0","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L371","AlertException","com.lmax.disruptor.AlertException","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AlertException.java","23","1","48","2","0","0","0","0","0","0","0","0","1","0","0","2","0","17","0","0","2","1","0.551724","16","16","2","0","0.551724","16","0","0","0","0","0","13","26","1","0","1","0","2","1","1","0","2","1","1","1","0","13","26","1","0","1","0","2","1","1","0","2","1","1","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L389","BatchEventProcessor<T extends Object>","com.lmax.disruptor.BatchEventProcessor","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\BatchEventProcessor.java","30","1","211","2","0.30663","3","13","4","0.291209","0.378571","53","53","1","4","4","25","11","25","40","14","23","0.571429","0.188571","33","33","4","3","0.188571","33","1","1","0","0","1","142","182","7","1","7","1","9","0","6","1","9","48","0","6","1","142","182","7","1","7","1","9","0","6","1","9","48","0","6","1","0","0","50","0","0","0","0","0","29","0","0","2","0","1","0","17","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L496","BlockingWaitStrategy","com.lmax.disruptor.BlockingWaitStrategy","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\BlockingWaitStrategy.java","27","1","83","2","0.196581","2","2","2","0.22807","0.244898","13","12","1","3","3","6","4","7","0","2","5","0.25","0.0877193","5","5","1","3","0.0877193","5","1","1","0","0","1","52","57","2","0","2","0","3","0","3","0","3","16","0","3","0","52","57","2","0","2","0","3","0","3","0","3","16","0","3","0","0","0","20","0","0","0","0","0","11","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L534","BusySpinWaitStrategy","com.lmax.disruptor.BusySpinWaitStrategy","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\BusySpinWaitStrategy.java","25","1","46","2","0","0","0","0","0","0","0","0","2","1","1","3","4","2","0","2","4","0.333333","0.24","6","6","1","2","0.24","6","1","1","0","0","1","19","22","0","0","0","0","2","0","2","0","2","4","0","2","0","19","22","0","0","0","0","2","0","2","0","2","4","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L310","EventPoller<T extends Object>","com.lmax.disruptor.EventPoller","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\EventPoller.java","6","1","103","2","0","0","0","0","0","0","0","0","1","3","3","9","7","10","9","7","11","0.2","0.0365854","3","3","1","4","0.0333333","3","0","0","0","0","0","79","90","4","1","4","1","4","0","4","0","4","29","0","4","0","87","98","7","1","7","1","5","3","5","0","5","29","3","5","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L408","FatalExceptionHandler","com.lmax.disruptor.FatalExceptionHandler","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\FatalExceptionHandler.java","25","1","59","2","0","0","0","0","0","0","0","0","1","0","0","5","1","6","7","0","5","0.166667","0.121212","4","4","1","5","0.121212","4","1","1","0","0","1","29","35","2","0","2","0","5","0","5","0","5","6","0","5","0","29","35","2","0","2","0","5","0","5","0","5","6","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1980","FixedSequenceGroup","com.lmax.disruptor.FixedSequenceGroup","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\FixedSequenceGroup.java","25","1","91","2","0","0","0","0","0","0","0","0","5","0","0","7","2","3","3","2","9","0.875","0.396825","25","25","7","1","0.396825","25","4","4","0","0","1","38","67","19","0","1","0","7","0","7","0","16","7","0","16","1","38","67","19","0","1","0","7","0","7","0","16","7","0","16","1","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2443","IgnoreExceptionHandler","com.lmax.disruptor.IgnoreExceptionHandler","L106","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\IgnoreExceptionHandler.java","25","1","57","2","0","0","0","0","0","0","0","0","1","0","0","5","1","1","1","0","5","0.166667","0.125","4","4","1","5","0.125","4","1","1","0","0","1","28","33","2","0","2","0","5","0","5","0","5","5","0","5","0","28","33","2","0","2","0","5","0","5","0","5","5","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
