"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L119","$","$.$","L104","L103","D:\PR_assignment_src\dropwizard\dropwizard-archetypes\java-simple\src\main\resources\archetype-resources\src\main\java\__name__Application.java","7","1","7","60","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0.666667","2","0","0","1","0.666667","2","0","0","0","0","0","1","1","3","0","3","0","0","0","0","0","0","0","0","0","0","1","1","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L136","$","$.$","L104","L103","D:\PR_assignment_src\dropwizard\dropwizard-archetypes\java-simple\src\main\resources\archetype-resources\src\main\java\__name__Configuration.java","8","1","10","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0.333333","1","0","0","2","0.333333","1","0","0","0","0","0","2","3","3","0","3","0","0","0","0","0","0","0","0","0","0","2","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L130","Application<T extends Configuration>","io.dropwizard.Application","L145","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","24","1","114","2","0","0","0","0","0","0","0","0","2","1","1","10","9","42","24","10","19","1","0.634409","59","56","6","0","0.634409","59","0","0","24","26","0","34","91","0","2","0","2","9","0","5","0","9","14","0","5","0","34","91","0","2","0","2","9","0","5","0","9","14","0","5","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L140","Configuration","io.dropwizard.Configuration","L145","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Configuration.java","62","1","129","2","0","0","0","0","0","0","0","0","1","0","0","7","3","105","10","0","7","0.625","0.598131","64","64","5","3","0.598131","64","0","0","7","7","0","43","68","3","3","3","3","7","0","7","3","7","7","0","7","3","43","68","3","3","3","3","7","0","7","3","7","7","0","7","3","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5962","ApplicationTest","io.dropwizard.ApplicationTest","L145","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\test\java\io\dropwizard\ApplicationTest.java","11","1","78","2","0","0","0","0","0","0","0","0","4","1","1","4","5","0","0","3","7","0","0","0","0","0","5","0","0","0","0","0","0","0","29","36","0","0","0","0","4","0","4","0","4","10","0","4","0","56","68","5","9","2","0","9","0","7","0","42","14","0","27","3","0","0","35","0","0","0","0","0","0","0","2","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6023","ConfigurationTest","io.dropwizard.ConfigurationTest","L145","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\test\java\io\dropwizard\ConfigurationTest.java","15","1","57","2","0","0","0","0","0","0","0","0","1","0","0","3","4","0","0","3","6","0","0.0555556","2","0","0","4","0.0555556","2","0","0","0","0","0","34","43","1","0","1","0","3","0","3","0","3","10","0","3","0","34","43","1","0","1","0","3","0","3","0","3","10","0","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L177","AssetsBundle","io.dropwizard.assets.AssetsBundle","L162","L103","D:\PR_assignment_src\dropwizard\dropwizard-assets\src\main\java\io\dropwizard\assets\AssetsBundle.java","17","1","128","2","0","0","0","0","0","0","0","0","2","0","0","13","5","2","7","3","14","0.545455","0.509804","52","51","6","5","0.509804","52","1","1","0","0","1","50","112","8","3","8","3","11","0","10","0","11","16","0","10","0","50","112","8","3","8","3","11","0","10","0","11","16","0","10","0","0","0","13","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L266","AssetsBundleTest","io.dropwizard.assets.AssetsBundleTest","L162","L103","D:\PR_assignment_src\dropwizard\dropwizard-assets\src\test\java\io\dropwizard\assets\AssetsBundleTest.java","23","1","156","2","0.569672","2","8","8","0.514925","0.520833","69","50","1","0","0","9","5","0","0","12","21","0","0","0","0","0","7","0","0","0","0","0","0","0","96","134","4","0","4","0","9","0","6","1","9","42","0","6","1","96","134","4","0","4","0","9","0","6","1","9","42","0","6","1","0","0","53","0","0","0","0","0","32","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L365","AuthDynamicFeature","io.dropwizard.auth.AuthDynamicFeature","L314","L103","D:\PR_assignment_src\dropwizard\dropwizard-auth\src\main\java\io\dropwizard\auth\AuthDynamicFeature.java","30","1","77","2","0","0","0","0","0","0","0","0","1","4","4","14","1","4","4","0","4","0.25","0.285714","16","15","1","3","0.285714","16","0","0","0","0","0","40","48","2","0","2","0","4","0","3","0","4","19","0","3","0","40","48","2","0","2","0","4","0","3","0","4","19","0","3","0","0","0","11","0","0","0","0","0","0","0","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L395","AuthenticationException","io.dropwizard.auth.AuthenticationException","L314","L103","D:\PR_assignment_src\dropwizard\dropwizard-auth\src\main\java\io\dropwizard\auth\AuthenticationException.java","8","1","22","2","0","0","0","0","0","0","0","0","0","0","0","3","0","5","2","0","3","0.25","0.294118","5","5","1","3","0.294118","5","0","0","0","0","0","12","15","1","0","1","0","3","0","3","0","3","3","0","3","0","12","15","1","0","1","0","3","0","3","0","3","3","0","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
