"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L148","DruidRuntimeException","com.alibaba.druid.DruidRuntimeException","L106","L103","D:\PR_assignment_src\druid\src\main\java\com\alibaba\druid\DruidRuntimeException.java","18","1","38","2","0","0","0","0","0","0","0","0","0","0","0","4","0","5","12","0","4","0","0","0","0","0","5","0","0","0","0","1","1","0","15","21","1","0","1","0","4","0","4","0","4","4","0","4","0","15","21","1","0","1","0","4","0","4","0","4","4","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16015","TransactionTimeoutException","com.alibaba.druid.TransactionTimeoutException","L106","L103","D:\PR_assignment_src\druid\src\main\java\com\alibaba\druid\TransactionTimeoutException.java","20","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","3","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L60269","VERSION","com.alibaba.druid.VERSION","L106","L103","D:\PR_assignment_src\druid\src\main\java\com\alibaba\druid\VERSION.java","18","1","27","2","0","0","0","0","0","0","0","0","0","0","0","1","0","3","3","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","8","10","3","1","3","1","1","3","1","0","1","1","3","1","0","8","10","3","1","3","1","1","3","1","0","1","1","3","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L64958","Bug_for_alibank","com.alibaba.druid.Bug_for_alibank","L106","L103","D:\PR_assignment_src\druid\src\test\java\com\alibaba\druid\Bug_for_alibank.java","23","1","31","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","9","9","0","0","0","0","1","0","1","0","1","5","0","1","0","9","9","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L81653","DBCPTest","com.alibaba.druid.DBCPTest","L106","L103","D:\PR_assignment_src\druid\src\test\java\com\alibaba\druid\DBCPTest.java","27","1","72","2","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0","2","3","0","0.0769231","2","0","0","2","0.0512821","2","0","0","0","0","0","24","32","0","0","0","0","1","0","1","0","1","20","0","1","0","37","46","0","0","0","0","2","0","2","0","2","29","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L81673","DragoonMetaInfTest","com.alibaba.druid.DragoonMetaInfTest","L106","L103","D:\PR_assignment_src\druid\src\test\java\com\alibaba\druid\DragoonMetaInfTest.java","28","1","57","2","0","0","0","0","0","0","0","0","2","2","2","4","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","27","30","1","0","1","0","2","0","2","0","2","16","0","2","0","27","30","1","0","1","0","2","0","2","0","2","16","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L81683","LockTest","com.alibaba.druid.LockTest","L106","L103","D:\PR_assignment_src\druid\src\test\java\com\alibaba\druid\LockTest.java","23","1","31","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","7","9","0","0","0","0","1","0","1","0","1","3","0","1","0","7","9","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L83383","TestForZY","com.alibaba.druid.TestForZY","L106","L103","D:\PR_assignment_src\druid\src\test\java\com\alibaba\druid\TestForZY.java","22","1","30","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","5","6","0","0","0","0","1","0","1","0","1","1","0","1","0","8","9","1","0","1","0","1","0","1","0","1","1","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L83401","TestHibernateCRUDWithTransactional","com.alibaba.druid.TestHibernateCRUDWithTransactional","L106","L103","D:\PR_assignment_src\druid\src\test\java\com\alibaba\druid\TestHibernateCRUDWithTransactional.java","9","1","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.666667","4","4","1","0","0.666667","4","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L83404","TestHistogram","com.alibaba.druid.TestHistogram","L106","L103","D:\PR_assignment_src\druid\src\test\java\com\alibaba\druid\TestHistogram.java","20","1","29","2","0","0","0","0","0","0","0","0","1","1","1","2","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","9","10","0","0","0","0","1","0","1","0","1","6","0","1","0","9","10","0","0","0","0","1","0","1","0","1","6","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
