"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L49273","$__ClassNameTestDubboStub","$__ClassNameTestDubboStub","L49268","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\$__ClassNameTestDubboStub.java","23","1","658","2","0.406643","9","60","16","0.350629","0.416838","223","203","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0.0828625","44","0","0","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","487","636","17","11","17","11","67","6","57","6","67","220","6","57","6","0","0","276","0","0","0","0","0","108","0","4","0","0","0","0","136","0","0","0","0","0","0","0","28","0","0","0","0","0"
"L49540","ClassNameTest","ClassNameTest","L49268","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\ClassNameTest.java","22","1","45","2","0","0","0","0","0","0","0","0","1","0","0","1","9","0","0","4","5","0.5","0.15","3","3","1","1","0.15","3","0","0","0","0","0","17","24","0","0","0","0","1","0","1","0","1","4","0","1","0","17","24","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49552","ClassNameTestThrift","ClassNameTestThrift","L49268","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\ClassNameTestThrift.java","21","1","757","2","0.339072","9","60","16","0.302578","0.354895","223","203","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0.0714286","44","0","0","0","0","0","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","572","737","20","15","20","15","83","6","73","6","83","254","6","73","6","0","0","327","0","0","0","0","0","108","0","4","0","0","0","0","186","0","0","0","0","0","0","0","29","0","0","0","0","0"
"L49278","$__ClassNameTestDubboStub$Processor<I extends Iface>","$__ClassNameTestDubboStub$Processor","L49273","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\$__ClassNameTestDubboStub.java","31","3","62","4","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","1","4","0","0","0","0","0","2","0","0","0","0","0","0","0","13","17","1","1","1","1","3","0","1","0","3","4","0","1","0","26","32","1","3","1","3","6","0","2","0","6","9","0","2","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49304","$__ClassNameTestDubboStub$echo_args","$__ClassNameTestDubboStub$echo_args","L49273","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\$__ClassNameTestDubboStub.java","64","3","361","4","0.432921","8","30","8","0.375839","0.443478","112","102","3","3","3","54","1","2","1","1","25","0.130435","0.0492611","10","6","3","20","0.0873016","22","0","0","0","0","0","193","242","4","2","4","2","24","2","22","3","24","95","2","22","3","230","298","8","4","8","4","30","3","27","3","30","107","3","27","3","0","0","119","0","0","0","0","0","50","0","2","0","0","0","0","56","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L49310","$__ClassNameTestDubboStub$echo_result","$__ClassNameTestDubboStub$echo_result","L49273","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\$__ClassNameTestDubboStub.java","363","3","656","4","0.439571","8","30","8","0.377551","0.446903","111","101","3","3","3","53","1","2","1","1","25","0.130435","0.0502513","10","6","3","20","0.0887097","22","0","0","0","0","0","189","238","4","2","4","2","24","2","22","3","24","92","2","22","3","226","294","8","4","8","4","30","3","27","3","30","104","3","27","3","0","0","117","0","0","0","0","0","50","0","2","0","0","0","0","54","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L49576","ClassNameTestThrift$Client","ClassNameTestThrift$Client","L49552","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\ClassNameTestThrift.java","35","3","78","4","0","0","0","0","0","0","0","0","1","1","1","6","3","2","3","4","9","0","0","0","0","0","6","0","0","1","1","0","0","1","29","35","0","0","0","0","5","0","5","0","5","12","0","5","0","38","44","0","2","0","2","8","0","8","0","8","14","0","8","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49573","ClassNameTestThrift$AsyncClient","ClassNameTestThrift$AsyncClient","L49552","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\ClassNameTestThrift.java","79","3","128","4","0","0","0","0","0","0","0","0","1","0","0","2","2","2","1","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","11","15","0","0","0","0","2","0","2","0","2","5","0","2","0","44","50","3","2","3","2","7","0","7","0","7","20","0","7","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49644","ClassNameTestThrift$Processor<I extends Iface>","ClassNameTestThrift$Processor","L49552","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\ClassNameTestThrift.java","130","3","161","4","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","1","4","0","0","0","0","0","2","0","0","0","0","0","0","0","13","17","1","1","1","1","3","0","1","0","3","4","0","1","0","26","32","1","3","1","3","6","0","2","0","6","9","0","2","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L49549","ClassNameTestThrift$echo_args","ClassNameTestThrift$echo_args","L49552","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\ClassNameTestThrift.java","163","3","460","4","0.432921","8","30","8","0.375839","0.443478","112","102","3","3","3","54","1","4","3","1","25","0.130435","0.0492611","10","6","3","20","0.0873016","22","0","0","0","0","0","193","242","4","2","4","2","24","2","22","3","24","95","2","22","3","230","298","8","4","8","4","30","3","27","3","30","107","3","27","3","0","0","119","0","0","0","0","0","50","0","2","0","0","0","0","56","0","0","0","0","0","0","0","11","0","0","0","0","0"
"L49558","ClassNameTestThrift$echo_result","ClassNameTestThrift$echo_result","L49552","L103","D:\PR_assignment_src\dubbo\dubbo-rpc\dubbo-rpc-thrift\src\test\java\ClassNameTestThrift.java","462","3","755","4","0.439571","8","30","8","0.377551","0.446903","111","101","3","3","3","53","1","3","2","1","25","0.130435","0.0502513","10","6","3","20","0.0887097","22","0","0","0","0","0","189","238","4","2","4","2","24","2","22","3","24","92","2","22","3","226","294","8","4","8","4","30","3","27","3","30","104","3","27","3","0","0","117","0","0","0","0","0","50","0","2","0","0","0","0","54","0","0","0","0","0","0","0","11","0","0","0","0","0"
