"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L124","DLBasePluginActivity","com.ryg.dynamicload.DLBasePluginActivity","L106","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","52","1","451","2","0.0681382","1","4","1","0.0375","0.0457516","15","14","1","2","2","89","5","11","13","8","50","0.0697674","0.145251","52","25","3","40","0.145251","52","1","1","3","3","1","306","400","6","11","6","11","42","0","42","3","42","122","0","42","3","306","400","6","11","6","11","42","0","42","3","42","122","0","42","3","0","0","96","0","0","0","0","0","8","0","0","0","0","0","0","81","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L408","DLBasePluginFragmentActivity","com.ryg.dynamicload.DLBasePluginFragmentActivity","L106","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginFragmentActivity.java","47","1","436","2","0.0652574","1","4","1","0.0384615","0.04375","15","14","1","2","2","93","5","4","4","8","52","0.0666667","0.0588235","20","20","3","42","0.0588235","20","1","1","1","1","1","320","390","6","13","6","13","44","0","44","3","44","128","0","44","3","320","390","6","13","6","13","44","0","44","3","44","128","0","44","3","0","0","100","0","0","0","0","0","8","0","0","0","0","0","0","85","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L546","DLBasePluginService","com.ryg.dynamicload.DLBasePluginService","L106","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginService.java","30","1","116","2","0","0","0","0","0","0","0","0","1","0","0","12","4","2","3","1","13","0","0.152778","11","0","0","12","0.152778","11","1","1","1","1","1","61","87","5","0","5","0","12","1","11","0","13","19","1","12","0","61","87","5","0","5","0","12","1","11","0","13","19","1","12","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L632","DLProxyActivity","com.ryg.dynamicload.DLProxyActivity","L106","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLProxyActivity.java","38","1","181","2","0","0","0","0","0","0","0","0","3","0","0","27","4","1","0","22","46","0","0","0","0","0","14","0","0","1","1","0","0","1","118","144","2","4","2","4","24","0","13","0","24","42","0","13","0","118","144","2","4","2","4","24","0","13","0","24","42","0","13","0","0","0","53","0","0","0","0","0","0","0","1","0","0","0","0","51","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L729","DLProxyFragmentActivity","com.ryg.dynamicload.DLProxyFragmentActivity","L106","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLProxyFragmentActivity.java","37","1","175","2","0","0","0","0","0","0","0","0","2","0","0","26","4","1","0","22","45","0","0","0","0","0","13","0","0","1","1","0","0","1","114","139","2","4","2","4","23","0","12","0","23","41","0","12","0","114","139","2","4","2","4","23","0","12","0","23","41","0","12","0","0","0","51","0","0","0","0","0","0","0","1","0","0","0","0","49","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L774","DLProxyService","com.ryg.dynamicload.DLProxyService","L106","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLProxyService.java","15","1","125","2","0","0","0","0","0","0","0","0","1","1","1","13","4","1","0","10","21","0.0833333","0.214286","21","7","1","11","0.214286","21","1","1","0","0","1","77","111","4","0","4","0","11","0","11","0","11","34","0","11","0","77","111","4","0","4","0","11","0","11","0","11","34","0","11","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2079","DLConfigs","com.ryg.utils.DLConfigs","L2072","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\utils\DLConfigs.java","31","1","51","2","0","0","0","0","0","0","0","0","0","0","0","2","1","6","2","0","2","0.333333","0.272727","6","6","1","2","0.272727","6","0","0","0","0","0","16","21","2","1","2","1","2","2","2","1","2","4","2","2","1","16","21","2","1","2","1","2","2","2","1","2","4","2","2","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2083","DLConstants","com.ryg.utils.DLConstants","L2072","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\utils\DLConstants.java","21","1","55","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0.148148","4","4","0","1","0.148148","4","0","0","0","0","0","23","35","19","0","19","0","0","19","0","0","0","0","19","0","0","23","35","19","0","19","0","0","19","0","0","0","0","19","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L2124","DLUtils","com.ryg.utils.DLUtils","L2072","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\utils\DLUtils.java","37","1","174","2","0.287918","1","6","2","0.231884","0.238532","32","26","2","2","2","27","3","4","6","0","10","0","0.0521739","6","0","0","8","0.0521739","6","0","0","0","0","0","109","138","1","8","1","8","10","0","7","0","10","59","0","7","0","109","138","1","8","1","8","10","0","7","0","10","59","0","7","0","0","0","44","0","0","0","0","0","19","0","1","0","0","0","0","23","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2209","LOG","com.ryg.utils.LOG","L2072","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\utils\LOG.java","6","1","31","2","0","0","0","0","0","0","0","0","4","1","1","8","1","1","11","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","22","26","0","0","0","0","4","0","4","0","4","8","0","4","0","22","26","0","0","0","0","4","0","4","0","4","8","0","4","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
