"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1257","AsyncRequestTests","com.facebook.AsyncRequestTests","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","39","1","377","2","0.397276","4","7","7","0.377581","0.408922","128","110","14","2","2","20","1","0","0","0","14","0","0.0446429","10","0","0","15","0.0358423","10","2","2","0","0","1","214","284","9","11","0","0","14","0","14","0","50","94","2","16","2","269","339","9","11","0","0","22","0","18","0","58","117","2","20","2","0","0","155","0","0","0","0","0","81","0","1","0","0","0","0","71","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L1309","BatchRequestTests","com.facebook.BatchRequestTests","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\BatchRequestTests.java","38","1","601","2","0.382775","7","13","13","0.326241","0.331096","184","148","19","2","2","26","1","0","0","0","21","0","0.0078125","3","0","0","20","0.00666667","3","2","2","0","0","1","381","494","9","12","0","1","21","0","19","1","57","250","2","21","3","447","564","9","12","0","1","35","0","33","1","71","269","2","35","3","0","0","179","0","0","0","0","0","65","0","5","0","0","0","0","103","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L1378","FacebookActivityTestCase<T extends Activity>","com.facebook.FacebookActivityTestCase","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\FacebookActivityTestCase.java","49","1","675","2","0","0","0","0","0","0","0","0","21","3","3","70","6","3","0","0","35","0","0.047619","17","1","0","2","0.0689655","36","0","0","3","47","0","340","447","9","11","9","11","35","2","1","2","35","189","2","1","2","486","627","80","40","12","13","62","2","24","2","196","243","6","115","19","0","0","182","0","0","0","0","0","0","0","3","1","0","0","0","157","0","0","0","0","0","0","0","21","0","0","0","0","0"
"L1594","FacebookActivityTests","com.facebook.FacebookActivityTests","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\FacebookActivityTests.java","38","1","174","2","0.265625","1","2","2","0.270073","0.283333","37","34","4","1","1","6","3","0","0","0","5","0","0.027027","1","0","0","5","0.0163934","2","1","1","0","0","1","36","44","9","11","0","0","5","0","4","0","40","15","2","5","2","120","137","9","11","0","0","14","0","13","0","49","53","2","14","2","0","0","131","0","0","0","0","0","73","0","4","0","0","0","0","52","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L1634","FacebookAppLinkResolverTests","com.facebook.FacebookAppLinkResolverTests","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\FacebookAppLinkResolverTests.java","36","1","213","2","0.356808","2","4","4","0.303371","0.314286","54","44","7","3","3","27","2","0","0","0","7","0","0.0526316","7","0","0","5","0.0604027","9","2","2","0","0","1","126","162","10","11","1","0","7","0","4","0","43","71","2","6","2","140","178","10","11","1","0","9","0","6","0","45","77","2","8","2","0","0","53","0","0","0","0","0","23","0","1","0","0","0","0","27","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L228","FacebookTestCase","com.facebook.FacebookTestCase","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\FacebookTestCase.java","25","1","34","2","0","0","0","0","0","0","0","0","0","0","0","1","2","44","0","0","1","0","0","0","0","0","2","0","0","1","1","44","44","1","7","8","9","11","0","0","1","0","1","0","36","3","2","2","2","9","10","9","11","0","0","1","0","1","0","36","3","2","2","2","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","2","0","0","0","0","0"
"L1677","FragmentTestCase<T extends TestFragmentActivity<?>>","com.facebook.FragmentTestCase","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\FragmentTestCase.java","28","1","100","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","2","0","0","0","0","0","2","0","0","1","1","0","0","1","8","10","9","12","0","1","2","0","1","0","37","2","2","2","2","59","73","12","14","3","3","9","1","1","2","44","24","3","2","4","0","0","32","0","0","0","0","0","0","0","1","0","0","0","0","24","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L1731","GraphRequestBatchBridge","com.facebook.GraphRequestBatchBridge","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\GraphRequestBatchBridge.java","25","1","30","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","5","6","0","0","0","0","1","0","1","1","1","1","0","1","1","5","6","0","0","0","0","1","0","1","1","1","1","0","1","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1739","GraphRequestTests","com.facebook.GraphRequestTests","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\GraphRequestTests.java","34","1","95","2","0","0","0","0","0","0","0","0","2","0","0","3","1","0","0","0","3","0.333333","0.0588235","3","2","1","2","0.0588235","3","2","2","0","0","1","48","62","9","12","0","1","3","0","2","0","39","37","2","4","2","48","62","9","12","0","1","3","0","2","0","39","37","2","4","2","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L1746","GraphResponseBridge","com.facebook.GraphResponseBridge","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\GraphResponseBridge.java","27","1","36","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","9","10","0","0","0","0","1","0","1","0","1","1","0","1","0","9","10","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1753","GraphUtilTests","com.facebook.GraphUtilTests","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\GraphUtilTests.java","30","1","37","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","2","0","0","2","2","0","0","1","7","8","9","11","0","0","1","0","1","0","37","3","2","3","2","7","8","9","11","0","0","1","0","1","0","37","3","2","3","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L6423","ProfileManagerTest","com.facebook.ProfileManagerTest","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\ProfileManagerTest.java","25","1","60","2","0","0","0","0","0","0","0","0","1","2","2","3","1","0","0","0","1","0","0","0","0","0","2","0","0","2","2","0","0","1","26","28","9","11","0","0","1","0","1","0","37","15","2","3","2","34","36","9","11","0","0","3","0","2","0","39","17","2","4","2","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L6432","RequestTests","com.facebook.RequestTests","L105","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\RequestTests.java","57","1","1038","2","0.341184","12","32","32","0.321792","0.323457","316","262","34","2","2","50","3","0","0","0","36","0","0.0134128","9","0","0","33","0.010989","9","2","2","0","0","1","662","817","15","12","6","1","36","2","32","1","72","352","4","34","3","810","982","15","12","6","1","67","2","58","1","103","400","4","60","3","0","0","483","0","0","0","0","0","281","0","8","0","0","0","0","182","0","0","0","0","0","0","0","12","0","0","0","0","0"
