"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L63027","ReprUtil","data.ReprUtil","L62659","L103","D:\PR_assignment_src\fastjson\src\test\java\data\ReprUtil.java","3","1","23","2","0","0","0","0","0","0","0","0","1","1","1","4","0","2","2","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","20","21","0","0","0","0","2","0","2","0","2","12","0","2","0","20","21","0","0","0","0","2","0","2","0","2","12","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L62672","FieldMapping","data.media.FieldMapping","L62662","L103","D:\PR_assignment_src\fastjson\src\test\java\data\media\FieldMapping.java","5","1","85","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.43038","34","34","0","1","0.43038","34","0","0","0","0","0","45","81","27","0","27","0","0","27","0","0","0","0","27","0","0","45","81","27","0","27","0","0","27","0","0","0","0","27","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L45600","Image","data.media.Image","L62662","L103","D:\PR_assignment_src\fastjson\src\test\java\data\media\Image.java","5","1","107","2","0","0","0","0","0","0","0","0","1","1","1","28","2","14","7","1","16","0","0.0125","1","0","0","16","0.0120482","1","0","0","0","0","0","79","100","6","5","6","5","15","5","15","5","15","46","5","15","5","82","103","8","5","8","5","15","7","15","5","15","46","7","15","5","0","0","46","0","0","0","0","0","0","0","0","1","0","0","0","36","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L56336","ImageGenDecoder","data.media.ImageGenDecoder","L62662","L103","D:\PR_assignment_src\fastjson\src\test\java\data\media\ImageGenDecoder.java","13","1","180","2","0.898021","17","154","24","0.857143","0.87234","144","123","2","2","2","41","10","1","1","19","22","0","0.00704225","1","0","0","4","0.00704225","1","2","2","0","0","2","141","168","12","4","7","0","3","0","3","0","21","92","1","15","0","141","168","12","4","7","0","3","0","3","0","21","92","1","15","0","0","0","34","0","0","0","0","0","15","0","1","1","0","1","0","9","0","1","0","0","0","0","0","6","0","0","0","0","0"
"L45626","Media","data.media.Media","L62662","L103","D:\PR_assignment_src\fastjson\src\test\java\data\media\Media.java","7","1","196","2","0","0","0","0","0","0","0","0","1","1","1","54","2","14","9","2","29","0","0.0258065","4","1","0","28","0.0253165","4","0","0","0","0","0","151","187","12","11","12","11","27","1","27","11","27","93","1","27","11","154","190","14","11","14","11","27","3","27","11","27","93","3","27","11","0","0","79","0","0","0","0","0","0","0","0","1","0","0","0","60","0","0","0","0","0","0","0","18","0","0","0","0","0"
"L11054","MediaContent","data.media.MediaContent","L62662","L103","D:\PR_assignment_src\fastjson\src\test\java\data\media\MediaContent.java","5","1","64","2","0","0","0","0","0","0","0","0","1","1","1","18","2","22","6","2","11","0","0","0","0","0","10","0","0","0","0","0","0","0","48","60","2","2","2","2","9","2","9","2","9","25","2","9","2","48","60","2","2","2","2","9","2","9","2","9","25","2","9","2","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L62874","MediaContentDeserializer","data.media.MediaContentDeserializer","L62662","L103","D:\PR_assignment_src\fastjson\src\test\java\data\media\MediaContentDeserializer.java","10","1","41","2","0","0","0","0","0","0","0","0","1","1","1","3","6","0","0","4","6","0","0.130435","3","0","0","3","0.130435","3","1","1","0","0","1","20","32","4","1","4","1","2","0","2","0","2","9","0","2","0","20","32","4","1","4","1","2","0","2","0","2","9","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L56346","MediaContentGenDecoder","data.media.MediaContentGenDecoder","L62662","L103","D:\PR_assignment_src\fastjson\src\test\java\data\media\MediaContentGenDecoder.java","15","1","162","2","0.364907","4","21","5","0.412162","0.392","61","49","2","6","6","34","13","1","1","26","29","0","0.00793651","1","0","0","4","0.00793651","1","2","2","0","0","2","125","148","10","4","5","0","3","0","3","0","21","86","1","15","0","125","148","10","4","5","0","3","0","3","0","21","86","1","15","0","0","0","35","0","0","0","0","0","12","0","1","5","0","2","0","9","0","1","0","0","0","0","0","5","0","0","0","0","0"
"L56341","MediaGenDecoder","data.media.MediaGenDecoder","L62662","L103","D:\PR_assignment_src\fastjson\src\test\java\data\media\MediaGenDecoder.java","13","1","316","2","0.820431","18","296","45","0.815789","0.815094","248","216","2","2","2","79","10","1","1","27","30","0","0.0037594","1","0","0","4","0.0037594","1","2","2","0","0","2","265","304","22","4","17","0","3","0","3","0","21","172","1","15","0","265","304","22","4","17","0","3","0","3","0","21","172","1","15","0","0","0","40","0","0","0","0","0","16","0","1","1","0","1","0","9","0","1","0","0","0","0","0","11","0","0","0","0","0"
"L43948","DATE","oracle.sql.DATE","L63035","L103","D:\PR_assignment_src\fastjson\src\test\java\oracle\sql\DATE.java","6","1","19","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","11","14","1","0","1","0","2","0","2","0","2","4","0","2","0","11","14","1","0","1","0","2","0","2","0","2","4","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
