"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L156","FlexboxLayout","com.google.android.flexbox.FlexboxLayout","L1204","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","77","1","2815","2","0.260692","13","116","26","0.195327","0.247826","535","456","4","8","6","378","9","95","190","4","74","0.392857","0.272804","646","494","11","17","0.280969","719","0","0","0","0","0","1722","2525","42","15","42","15","70","27","27","13","70","1072","27","27","13","1840","2739","65","15","65","15","76","44","33","13","76","1102","44","33","13","0","0","316","0","0","0","0","0","114","0","1","27","0","3","0","118","0","0","0","0","0","0","0","53","0","0","0","0","0"
"L2066","FlexLine","com.google.android.flexbox.FlexLine","L1204","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexLine.java","27","1","149","2","0","0","0","0","0","0","0","0","0","0","0","10","0","1","4","0","10","1","0.59434","63","63","10","0","0.59434","63","0","0","0","0","0","43","123","12","9","12","9","10","0","9","0","10","9","0","9","0","43","123","12","9","12","9","10","0","9","0","10","9","0","9","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L292","FlexItem","com.google.android.apps.flexbox.FlexItem","L108","L103","D:\PR_assignment_src\flexbox-layout\app\src\main\java\com\google\android\apps\flexbox\FlexItem.java","31","1","197","2","0","0","0","0","0","0","0","0","2","0","0","7","3","9","3","3","9","0.166667","0.0676692","9","9","1","5","0.0638298","9","0","0","0","0","0","124","158","22","0","22","0","6","22","5","0","6","83","22","5","0","132","167","22","0","22","0","8","22","7","0","8","85","22","7","0","0","0","31","0","0","0","0","0","0","0","2","0","0","0","0","22","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L459","FlexItemEditFragment","com.google.android.apps.flexbox.FlexItemEditFragment","L108","L103","D:\PR_assignment_src\flexbox-layout\app\src\main\java\com\google\android\apps\flexbox\FlexItemEditFragment.java","56","1","441","2","0.358491","10","41","33","0.277202","0.295181","107","98","1","2","1","16","9","6","1","1","7","0.2","0.0434783","8","3","1","4","0.0376812","13","0","0","0","0","0","176","218","9","0","9","0","6","0","4","2","6","93","0","4","2","332","386","12","0","12","0","18","0","15","2","18","164","0","15","2","0","0","93","0","0","0","0","0","25","0","2","4","0","0","0","56","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L147","MainActivity","com.google.android.apps.flexbox.MainActivity","L108","L103","D:\PR_assignment_src\flexbox-layout\app\src\main\java\com\google\android\apps\flexbox\MainActivity.java","44","1","545","2","0.256034","6","116","18","0.258964","0.292343","130","126","4","2","2","28","6","15","1","9","25","0","0.027907","6","6","0","5","0.0357942","16","0","0","0","0","0","209","263","20","0","20","0","16","0","4","0","16","106","0","4","0","431","502","21","0","21","0","37","0","24","0","37","216","0","24","0","0","0","246","0","0","0","0","0","125","0","6","2","0","0","0","108","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L1081","SettingsActivity","com.google.android.apps.flexbox.SettingsActivity","L108","L103","D:\PR_assignment_src\flexbox-layout\app\src\main\java\com\google\android\apps\flexbox\SettingsActivity.java","32","1","156","2","0.894168","3","29","11","0.808","0.872727","101","96","1","0","0","1","1","1","0","0","1","0","0.111111","1","0","0","1","0.0350877","4","0","0","0","0","0","8","15","0","0","0","0","1","0","0","0","1","2","0","0","0","110","125","0","0","0","0","8","0","7","0","8","45","0","7","0","0","0","125","0","0","0","0","0","85","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1154","Util","com.google.android.apps.flexbox.Util","L108","L103","D:\PR_assignment_src\flexbox-layout\app\src\main\java\com\google\android\apps\flexbox\Util.java","25","1","53","2","0","0","0","0","0","0","0","0","2","0","0","4","0","1","2","0","2","1","0.666667","20","20","3","0","0.666667","20","0","0","0","0","0","10","29","0","0","0","0","2","0","2","0","2","4","0","2","0","10","29","0","0","0","0","2","0","2","0","2","4","0","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1227","FlexboxAndroidTest","com.google.android.flexbox.test.FlexboxAndroidTest","L1215","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\androidTest\java\com\google\android\flexbox\test\FlexboxAndroidTest.java","63","1","3885","2","0.871054","145","697","697","0.776354","0.78973","2968","2599","2","0","0","126","5","2","2","12","137","0.00813008","0.0749619","197","3","1","122","0.0567498","198","0","0","0","0","0","2431","2958","1","0","1","0","125","1","122","0","125","1650","1","122","0","3291","3823","1","0","1","0","255","1","248","0","255","2011","1","248","0","0","0","2839","0","0","0","0","0","1933","0","3","1","0","1","0","883","0","0","0","0","0","0","0","18","0","0","0","0","0"
"L1231","FlexboxTestActivity","com.google.android.flexbox.test.FlexboxTestActivity","L1215","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\androidTest\java\com\google\android\flexbox\test\FlexboxTestActivity.java","26","1","28","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1969","IsEqualAllowingError<T extends Number>","com.google.android.flexbox.test.IsEqualAllowingError","L1215","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\androidTest\java\com\google\android\flexbox\test\IsEqualAllowingError.java","30","1","71","2","0","0","0","0","0","0","0","0","1","1","1","8","0","1","34","0","6","0.333333","0.105263","4","4","1","2","0.105263","4","0","0","0","0","0","34","42","2","0","2","0","6","0","2","0","6","10","0","2","0","34","42","2","0","2","0","6","0","2","0","6","10","0","2","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
