"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1250","GenericTransitionOptions<TranscodeType extends Object>","com.bumptech.glide.GenericTransitionOptions","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\GenericTransitionOptions.java","12","1","53","2","0","0","0","0","0","0","0","0","4","0","0","4","4","2","1","4","8","1","0.577778","26","26","5","0","0.577778","26","1","1","0","0","1","19","42","1","1","0","0","4","0","4","0","11","4","0","8","0","19","42","1","1","0","0","4","0","4","0","11","4","0","8","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1313","Glide","com.bumptech.glide.Glide","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","84","1","536","2","0","0","0","0","0","0","0","0","8","3","3","40","85","31","51","63","90","0.727273","0.398585","169","154","16","6","0.398585","169","0","0","0","0","0","255","453","13","8","13","8","27","0","21","1","27","84","0","21","1","255","453","13","8","13","8","27","0","21","1","27","84","0","21","1","0","0","38","0","0","0","0","0","0","0","1","0","0","4","0","25","0","0","0","0","0","0","0","8","0","0","0","0","0"
"L573","GlideBuilder","com.bumptech.glide.GlideBuilder","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\GlideBuilder.java","26","1","316","2","0","0","0","0","0","0","0","0","1","2","2","28","20","12","5","17","33","1","0.537879","142","142","14","0","0.529851","142","0","0","0","0","0","122","287","12","0","12","0","16","0","13","14","16","51","0","13","14","126","291","14","0","12","0","17","0","14","14","17","52","2","14","14","0","0","21","0","0","0","0","0","0","0","0","1","0","2","0","11","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L1342","GlideContext","com.bumptech.glide.GlideContext","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\GlideContext.java","21","1","83","2","0","0","0","0","0","0","0","0","1","0","0","10","5","11","18","1","11","0.0909091","0.0714286","4","4","1","10","0.0714286","4","0","0","0","0","0","52","63","7","5","7","5","10","0","10","0","10","17","0","10","0","52","63","7","5","7","5","10","0","10","0","10","17","0","10","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L961","ListPreloader<T extends Object>","com.bumptech.glide.ListPreloader","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\ListPreloader.java","26","1","230","2","0","0","0","0","0","0","0","0","2","2","2","21","5","9","12","7","15","0.5","0.215517","25","22","2","2","0.333333","64","0","0","0","0","0","91","132","10","0","10","0","8","0","3","0","8","53","0","3","0","128","205","15","5","13","4","16","0","10","0","24","64","1","18","1","0","0","34","0","0","0","0","0","0","0","1","0","0","0","0","28","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L579","Registry","com.bumptech.glide.Registry","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Registry.java","30","1","263","2","0","0","0","0","0","0","0","0","1","4","4","31","23","16","17","31","49","0.111111","0.122807","21","19","2","16","0.164251","34","0","0","0","0","0","150","210","9","7","9","7","18","0","17","0","18","67","0","17","0","173","234","9","7","9","7","23","0","22","0","26","72","0","25","0","0","0","58","0","0","0","0","0","0","0","0","2","0","1","0","51","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2136","RequestBuilder<TranscodeType extends Object>","com.bumptech.glide.RequestBuilder","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\RequestBuilder.java","35","1","645","2","0","0","0","0","0","0","0","0","1","2","2","57","20","30","66","40","70","1","0.519643","291","284","23","0","0.514134","291","0","0","0","0","0","269","605","14","2","14","2","30","0","22","0","30","112","0","22","0","275","611","14","2","14","2","31","0","23","0","31","114","0","23","0","0","0","30","0","0","0","0","0","0","0","0","0","0","3","0","21","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L954","RequestManager","com.bumptech.glide.RequestManager","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\RequestManager.java","47","1","485","2","0","0","0","0","0","0","0","0","1","1","1","39","20","48","66","44","73","0.92","0.518617","195","190","23","2","0.482759","196","1","1","0","0","1","181","405","13","1","13","1","29","0","24","1","29","78","0","24","1","210","439","21","6","14","1","35","0","30","1","53","84","1","46","5","0","0","50","0","0","0","0","0","0","0","0","0","0","2","0","39","0","0","0","0","0","0","0","9","0","0","0","0","0"
"L1253","TransitionOptions<CHILD extends TransitionOptions<CHILD, TranscodeType>, TranscodeType extends Object>","com.bumptech.glide.TransitionOptions","L106","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\TransitionOptions.java","16","1","79","2","0","0","0","0","0","0","0","0","2","1","1","8","7","4","10","4","11","0.8","0.47619","30","30","4","1","0.47619","30","0","0","3","3","0","33","64","1","1","1","1","7","0","4","0","7","10","0","4","0","33","64","1","1","1","1","7","0","4","0","7","10","0","4","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20481","GlideTest","com.bumptech.glide.GlideTest","L106","L103","D:\PR_assignment_src\glide\library\src\test\java\com\bumptech\glide\GlideTest.java","87","1","764","2","0","0","0","0","0","0","0","0","2","1","1","57","33","0","0","42","97","0.0238095","0.0119332","5","3","1","41","0.0181818","10","0","0","0","0","0","414","534","3","1","3","1","55","0","41","1","55","201","0","41","1","540","678","7","2","7","2","71","0","56","1","71","247","0","56","1","0","0","176","0","0","0","0","0","0","0","3","0","0","3","0","166","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L20719","ListPreloaderTest","com.bumptech.glide.ListPreloaderTest","L106","L103","D:\PR_assignment_src\glide\library\src\test\java\com\bumptech\glide\ListPreloaderTest.java","30","1","379","2","0.174603","2","6","4","0.18","0.190164","63","58","1","1","1","16","7","2","0","4","17","0","0","0","0","0","13","0.00326797","1","0","0","0","0","0","160","187","2","1","2","1","13","0","12","1","13","94","0","12","1","305","350","6","57","6","24","37","0","36","1","81","154","0","80","1","0","0","211","0","0","0","0","0","91","0","0","0","0","0","0","113","0","2","0","0","0","0","0","5","0","0","0","0","0"
"L20892","RequestBuilderTest","com.bumptech.glide.RequestBuilderTest","L106","L103","D:\PR_assignment_src\glide\library\src\test\java\com\bumptech\glide\RequestBuilderTest.java","25","1","115","2","0","0","0","0","0","0","0","0","3","0","0","11","9","2","2","10","21","0","0.0434783","3","0","0","11","0.038961","3","0","0","0","0","0","66","82","2","1","2","1","11","0","10","1","11","22","0","10","1","74","91","2","1","2","1","13","0","12","1","13","24","0","12","1","0","0","36","0","0","0","0","0","0","0","1","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20921","RequestManagerTest","com.bumptech.glide.RequestManagerTest","L106","L103","D:\PR_assignment_src\glide\library\src\test\java\com\bumptech\glide\RequestManagerTest.java","33","1","154","2","0","0","0","0","0","0","0","0","3","0","0","13","10","3","0","12","25","0","0","0","0","0","14","0","0","0","0","0","0","0","88","109","6","0","6","0","13","0","13","1","13","29","0","13","1","101","122","6","0","6","0","16","0","16","1","16","33","0","16","1","0","0","46","0","0","0","0","0","0","0","1","0","0","0","0","44","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2110","ListPreloader$PreloadTargetQueue","com.bumptech.glide.ListPreloader$PreloadTargetQueue","L961","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\ListPreloader.java","193","3","211","4","0","0","0","0","0","0","0","0","1","1","1","3","2","1","3","2","4","0","0","0","0","0","3","0","0","0","0","0","0","0","16","19","1","0","1","0","2","0","2","0","2","10","0","2","0","16","19","1","0","1","0","2","0","2","0","2","10","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2218","ListPreloader$PreloadTarget","com.bumptech.glide.ListPreloader$PreloadTarget","L961","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\ListPreloader.java","213","3","229","4","0","0","0","0","0","0","0","0","1","0","0","3","4","1","1","1","4","0","0.0714286","1","0","0","3","0.0714286","1","3","3","0","0","1","13","17","4","2","2","1","3","0","2","0","11","1","1","10","1","13","17","4","2","2","1","3","0","2","0","11","1","1","10","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L2613","HttpException","com.bumptech.glide.load.HttpException","L2265","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\load\HttpException.java","13","1","41","2","0","0","0","0","0","0","0","0","0","0","0","5","0","1","1","0","5","0.333333","0.375","12","11","2","4","0.375","12","0","0","0","0","0","20","29","2","1","2","1","5","1","5","0","5","6","1","5","0","20","29","2","1","2","1","5","1","5","0","5","6","1","5","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L10808","MultiTransformation<T extends Object>","com.bumptech.glide.load.MultiTransformation","L2265","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\load\MultiTransformation.java","13","1","67","2","0","0","0","0","0","0","0","0","1","2","2","14","3","1","7","3","9","0.142857","0.0943396","5","5","1","6","0.0943396","5","2","2","0","0","1","48","55","3","0","1","0","6","0","6","0","6","20","2","6","0","48","55","3","0","1","0","6","0","6","0","6","20","2","6","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L177","Option<T extends Object>","com.bumptech.glide.load.Option","L2265","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\load\Option.java","26","1","153","2","0","0","0","0","0","0","0","0","1","1","1","14","3","15","14","3","15","0.7","0.491525","58","56","7","3","0.511111","69","0","0","0","0","0","60","117","5","2","5","2","12","0","9","0","12","19","0","9","0","66","128","5","2","5","2","14","0","11","0","14","19","0","11","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L256","Options","com.bumptech.glide.load.Options","L2265","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\load\Options.java","11","1","60","2","0","0","0","0","0","0","0","0","1","1","1","11","2","84","36","2","10","0.125","0.0666667","3","3","1","7","0.0666667","3","1","1","0","0","1","42","50","3","0","1","0","8","0","7","0","8","13","2","7","0","42","50","3","0","1","0","8","0","7","0","8","13","2","7","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L14620","MultiTransformationTest","com.bumptech.glide.load.MultiTransformationTest","L2265","L103","D:\PR_assignment_src\glide\library\src\test\java\com\bumptech\glide\load\MultiTransformationTest.java","26","1","124","2","0","0","0","0","0","0","0","0","1","0","0","8","6","0","0","8","16","0","0","0","0","0","9","0","0","0","0","0","0","0","73","99","5","0","5","0","8","0","8","1","8","34","0","8","1","73","99","5","0","5","0","8","0","8","1","8","34","0","8","1","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14645","OptionsTest","com.bumptech.glide.load.OptionsTest","L2265","L103","D:\PR_assignment_src\glide\library\src\test\java\com\bumptech\glide\load\OptionsTest.java","9","1","35","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","25","27","0","0","0","0","1","0","1","0","1","5","0","1","0","25","27","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14677","ActivityFragmentLifecycle","com.bumptech.glide.manager.ActivityFragmentLifecycle","L14651","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\manager\ActivityFragmentLifecycle.java","12","1","67","2","0","0","0","0","0","0","0","0","1","2","1","10","3","6","17","4","9","0.666667","0.277778","15","15","2","1","0.277778","15","1","1","0","0","1","39","56","3","0","3","0","5","0","2","0","5","16","0","2","0","39","56","3","0","3","0","5","0","2","0","5","16","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14719","ApplicationLifecycle","com.bumptech.glide.manager.ApplicationLifecycle","L14651","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\manager\ApplicationLifecycle.java","10","1","20","2","0","0","0","0","0","0","0","0","2","0","0","2","2","1","0","1","3","0.333333","0.470588","8","7","1","2","0.470588","8","1","1","0","0","1","9","11","0","0","0","0","2","0","2","0","2","1","0","2","0","9","11","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14741","DefaultConnectivityMonitor","com.bumptech.glide.manager.DefaultConnectivityMonitor","L14651","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\manager\DefaultConnectivityMonitor.java","14","1","79","2","0","0","0","0","0","0","0","0","2","1","1","10","3","4","10","1","8","0.2","0.08","4","3","1","4","0.0689655","4","2","2","0","0","1","46","58","5","0","5","0","7","0","4","0","7","16","0","4","0","54","66","5","0","5","0","8","0","5","0","8","20","0","5","0","0","0","21","0","0","0","0","0","0","0","1","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
