"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L127","AnalyticsApplication","com.google.samples.quickstart.analytics.AnalyticsApplication","L108","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\AnalyticsApplication.java","28","1","43","2","0","0","0","0","0","0","0","0","0","1","1","2","0","1","1","0","1","1","0.473684","9","8","2","0","0.473684","9","0","0","0","0","0","10","16","1","1","1","1","1","0","1","0","1","4","0","1","0","10","16","1","1","1","1","1","0","1","0","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L142","ImageFragment","com.google.samples.quickstart.analytics.ImageFragment","L108","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\ImageFragment.java","31","1","72","2","0","0","0","0","0","0","0","0","1","1","1","5","0","1","1","0","4","0.4","0.236842","9","9","2","3","0.236842","9","0","0","0","0","0","29","42","2","0","2","0","4","0","4","0","4","12","0","4","0","29","42","2","0","2","0","4","0","4","0","4","12","0","4","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L209","ImageInfo","com.google.samples.quickstart.analytics.ImageInfo","L108","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\ImageInfo.java","22","1","37","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","1","1","0.5","8","8","2","0","0.5","8","0","0","0","0","0","8","16","2","0","2","0","1","2","1","0","1","2","2","1","0","8","16","2","0","2","0","1","2","1","0","1","2","2","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L224","MainActivity","com.google.samples.quickstart.analytics.MainActivity","L108","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\MainActivity.java","39","1","184","2","0","0","0","0","0","0","0","0","2","1","1","6","3","1","1","2","7","0.333333","0.351064","33","22","1","2","0.291339","37","0","0","0","0","0","61","112","5","1","5","1","5","0","2","0","5","26","0","2","0","90","146","6","4","6","4","10","0","7","0","10","37","0","7","0","0","0","22","0","0","0","0","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L365","UiAutomatorTest","com.google.samples.quickstart.signin.UiAutomatorTest","L339","L103","D:\PR_assignment_src\google-services\android\signin\app-legacy\src\androidTest\java\com\google\samples\quickstart\signin\UiAutomatorTest.java","37","1","156","2","0","0","0","0","0","0","0","0","1","1","1","8","0","0","0","0","5","0","0.302083","29","10","0","3","0.302083","29","0","0","0","0","0","67","120","9","0","9","0","5","0","2","1","5","37","0","2","1","67","120","9","0","9","0","5","0","2","1","5","37","0","2","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L581","ChooserActivity","com.google.samples.quickstart.signin.ChooserActivity","L339","L103","D:\PR_assignment_src\google-services\android\signin\app\src\main\java\com\google\samples\quickstart\signin\ChooserActivity.java","20","1","89","2","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","1","3","0.5","0.171429","6","5","1","1","0.101695","6","0","0","0","0","0","29","38","2","0","2","0","2","0","1","0","2","9","0","1","0","53","70","5","1","5","1","5","0","4","1","5","20","0","4","1","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L598","IdTokenActivity","com.google.samples.quickstart.signin.IdTokenActivity","L339","L103","D:\PR_assignment_src\google-services\android\signin\app\src\main\java\com\google\samples\quickstart\signin\IdTokenActivity.java","25","1","211","2","0.249626","3","8","4","0.213904","0.291045","40","39","1","2","2","21","0","3","3","0","11","0.2","0.215686","33","7","1","4","0.197605","33","0","0","0","0","0","120","173","5","1","5","1","11","0","4","0","11","59","0","4","0","134","187","5","1","5","1","14","0","7","0","14","64","0","7","0","0","0","78","0","0","0","0","0","48","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L601","ServerAuthCodeActivity","com.google.samples.quickstart.signin.ServerAuthCodeActivity","L339","L103","D:\PR_assignment_src\google-services\android\signin\app\src\main\java\com\google\samples\quickstart\signin\ServerAuthCodeActivity.java","26","1","184","2","0.427273","5","14","6","0.339623","0.457944","54","49","1","2","2","16","0","2","2","0","9","0.2","0.259542","34","8","1","4","0.241135","34","0","0","0","0","0","97","149","4","1","4","1","9","1","4","0","9","46","1","4","0","107","159","4","1","4","1","11","1","6","0","11","50","1","6","0","0","0","79","0","0","0","0","0","53","0","0","0","0","0","0","22","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L592","SignInActivity","com.google.samples.quickstart.signin.SignInActivity","L339","L103","D:\PR_assignment_src\google-services\android\signin\app\src\main\java\com\google\samples\quickstart\signin\SignInActivity.java","26","1","212","2","0.774648","9","21","10","0.609626","0.716535","114","91","1","1","1","22","0","3","3","0","12","0.6","0.254902","39","14","3","2","0.252941","43","0","0","0","0","0","114","170","5","0","5","0","12","0","4","0","12","53","0","4","0","127","187","5","0","5","0","15","0","7","0","15","57","0","7","0","0","0","102","0","0","0","0","0","83","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L595","SignInActivityWithDrive","com.google.samples.quickstart.signin.SignInActivityWithDrive","L339","L103","D:\PR_assignment_src\google-services\android\signin\app\src\main\java\com\google\samples\quickstart\signin\SignInActivityWithDrive.java","28","1","222","2","0.752137","9","21","10","0.615385","0.705426","120","91","1","1","1","22","0","3","3","0","12","0.6","0.279503","45","14","3","2","0.275281","49","0","0","0","0","0","116","178","5","0","5","0","12","0","4","0","12","54","0","4","0","129","195","5","0","5","0","15","0","7","0","15","58","0","7","0","0","0","102","0","0","0","0","0","83","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L235","MainActivity$ImagePagerAdapter","com.google.samples.quickstart.analytics.MainActivity$ImagePagerAdapter","L224","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\MainActivity.java","154","3","183","4","0","0","0","0","0","0","0","0","0","1","1","6","2","1","1","1","5","0.2","0.137931","4","4","1","4","0.137931","4","0","0","0","0","0","25","30","1","3","1","3","4","0","4","0","4","10","0","4","0","25","30","1","3","1","3","4","0","4","0","4","10","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L378","MainActivity","com.google.samples.quickstart.signin.legacy.MainActivity","L422","L103","D:\PR_assignment_src\google-services\android\signin\app-legacy\src\main\java\com\google\samples\quickstart\signin\legacy\MainActivity.java","54","1","391","2","0.0409182","2","9","2","0.0414201","0.0636364","14","14","1","3","3","40","0","2","1","0","18","1","0.281787","82","39","7","0","0.273927","83","0","0","0","0","0","209","326","9","0","9","0","18","0","6","0","18","103","0","6","0","220","338","9","0","9","0","20","0","8","0","20","106","0","8","0","0","0","38","0","0","0","0","0","8","0","0","0","0","0","0","28","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L610","ChooserActivity$MyArrayAdapter","com.google.samples.quickstart.signin.ChooserActivity$MyArrayAdapter","L581","L103","D:\PR_assignment_src\google-services\android\signin\app\src\main\java\com\google\samples\quickstart\signin\ChooserActivity.java","57","5","88","6","0","0","0","0","0","0","0","0","0","1","1","4","0","1","1","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","24","32","3","1","3","1","3","0","3","1","3","11","0","3","1","24","32","3","1","3","1","3","0","3","1","3","11","0","3","1","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","MainActivity$1","com.google.samples.quickstart.analytics.MainActivity$1","L248","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\MainActivity.java","85","83","90","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L693","IdTokenActivity$1","com.google.samples.quickstart.signin.IdTokenActivity$1","L690","L103","D:\PR_assignment_src\google-services\android\signin\app\src\main\java\com\google\samples\quickstart\signin\IdTokenActivity.java","95","76","100","14","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L700","IdTokenActivity$2","com.google.samples.quickstart.signin.IdTokenActivity$2","L699","L103","D:\PR_assignment_src\google-services\android\signin\app\src\main\java\com\google\samples\quickstart\signin\IdTokenActivity.java","116","46","122","18","1","1","1","1","1","1","7","7","1","0","0","1","1","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","7","7","0","0","0","0","1","0","1","0","1","2","0","1","0","7","7","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","15","0","0","0","0","0","10","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
