"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L126","AbstractDao<T extends Object, K extends Object>","org.greenrobot.greendao.AbstractDao","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDao.java","62","1","1007","2","0.0567901","1","6","2","0.0317125","0.0416667","30","28","4","5","5","172","15","147","362","46","121","0.695652","0.238095","210","196","32","14","0.238095","210","0","0","23","23","0","672","946","10","11","10","11","75","0","45","0","75","368","0","45","0","672","946","10","11","10","11","75","0","45","0","75","368","0","45","0","0","0","117","0","0","0","0","0","14","0","1","9","0","3","0","79","0","1","0","0","0","0","0","10","0","0","0","0","0"
"L710","AbstractDaoMaster","org.greenrobot.greendao.AbstractDaoMaster","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDaoMaster.java","31","1","60","2","0","0","0","0","0","0","0","0","1","0","0","6","5","4","4","1","7","0.333333","0.214286","6","6","2","4","0.214286","6","0","0","3","3","0","22","30","3","2","3","2","6","0","5","0","6","7","0","5","0","22","30","3","2","3","2","6","0","5","0","6","7","0","5","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L169","AbstractDaoSession","org.greenrobot.greendao.AbstractDaoSession","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\AbstractDaoSession.java","52","1","239","2","0","0","0","0","0","0","0","0","4","2","2","25","7","28","41","18","39","0.904762","0.309783","57","57","19","2","0.309783","57","0","0","3","3","0","127","188","4","3","4","3","21","0","20","0","21","56","0","20","0","127","188","4","3","4","3","21","0","20","0","21","56","0","20","0","0","0","32","0","0","0","0","0","0","0","1","0","0","0","0","29","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L282","DaoException","org.greenrobot.greendao.DaoException","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\DaoException.java","26","1","55","2","0","0","0","0","0","0","0","0","1","1","1","6","1","29","43","1","6","0.2","0.206897","6","6","1","4","0.206897","6","0","0","1","1","0","23","30","1","0","1","0","5","0","4","0","5","8","0","4","0","23","30","1","0","1","0","5","0","4","0","5","8","0","4","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1645","DaoLog","org.greenrobot.greendao.DaoLog","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\DaoLog.java","27","1","93","2","0","0","0","0","0","0","0","0","1","0","0","14","0","23","36","0","14","0.0666667","0.105263","6","6","1","14","0.105263","6","0","0","0","0","0","51","67","7","1","7","1","14","6","14","0","14","14","6","14","0","51","67","7","1","7","1","14","6","14","0","14","14","6","14","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L2002","DbUtils","org.greenrobot.greendao.DbUtils","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\DbUtils.java","33","1","138","2","0.160142","1","3","1","0.122642","0.166667","13","13","3","2","2","14","2","2","2","6","15","0.4","0.204082","20","20","4","6","0.204082","20","0","0","0","0","0","78","106","0","0","0","0","9","0","9","0","9","45","0","9","0","78","106","0","0","0","0","9","0","9","0","9","45","0","9","0","0","0","26","0","0","0","0","0","10","0","1","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2656","InternalQueryDaoAccess<T extends Object>","org.greenrobot.greendao.InternalQueryDaoAccess","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\InternalQueryDaoAccess.java","25","1","52","2","0","0","0","0","0","0","0","0","1","0","0","6","2","3","4","4","10","0.142857","0.0454545","1","1","1","6","0.0454545","1","0","0","0","0","0","21","28","1","2","1","2","6","0","6","0","6","6","0","6","0","21","28","1","2","1","2","6","0","6","0","6","6","0","6","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2680","InternalUnitTestDaoAccess<T extends Object, K extends Object>","org.greenrobot.greendao.InternalUnitTestDaoAccess","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\InternalUnitTestDaoAccess.java","27","1","62","2","0","0","0","0","0","0","0","0","1","0","0","7","5","4","11","7","14","0.125","0.0344828","1","1","1","7","0.0344828","1","0","0","0","0","0","28","36","1","3","1","3","7","0","7","0","7","10","0","7","0","28","36","1","3","1","3","7","0","7","0","7","10","0","7","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L228","Property","org.greenrobot.greendao.Property","L106","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\Property.java","30","1","120","2","0","0","0","0","0","0","0","0","12","0","0","15","3","62","56","4","19","0.9375","0.2375","19","19","15","1","0.2375","19","0","0","0","0","0","61","91","5","0","5","0","15","5","15","0","15","24","5","15","0","61","91","5","0","5","0","15","5","15","0","15","24","5","15","0","0","0","16","0","0","0","0","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L948","AsyncDaoException","org.greenrobot.greendao.async.AsyncDaoException","L941","L103","D:\PR_assignment_src\greenDAO\DaoCore\src\main\java\org\greenrobot\greendao\async\AsyncDaoException.java","26","1","41","2","0","0","0","0","0","0","0","0","0","0","0","2","2","2","1","1","3","0.333333","0.3125","5","5","1","2","0.3125","5","1","1","0","0","1","11","16","3","1","2","1","2","0","2","0","7","3","0","6","0","11","16","3","1","2","1","2","0","2","0","7","3","0","6","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
